"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_ES2",5,319,299.650959610427,"near","near","near",1.25,1,1
"Exp5_ES2",2,101,86.9583009371036,"mid","mid","mid",1.25,1,2
"Exp5_ES2",5,92,125.716055571469,"near","near","near",1.25,2,3
"Exp5_ES2",8,321,131.248500608708,"far","far","far",1.25,1,4
"Exp5_ES2",3,222,231.073495109874,"mid","mid","mid",0.625,1,5
"Exp5_ES2",10,230,210.745999918157,"mid","no flankers","mid",Inf,1,6
"Exp5_ES2",12,46,51.7151425093097,"far","no flankers","far",Inf,1,7
"Exp5_ES2",1,248,270.539223308917,"mid","mid","mid",2.5,1,8
"Exp5_ES2",11,295,298.953970925236,"near","no flankers","near",Inf,1,9
"Exp5_ES2",3,113,128.622048532962,"mid","mid","mid",0.625,2,10
"Exp5_ES2",4,146,140.953970925236,"near","near","near",2.5,1,11
"Exp5_ES2",2,194,215.60338830462,"mid","mid","mid",1.25,2,12
"Exp5_ES2",2,96,91.9078446617834,"mid","mid","mid",1.25,3,13
"Exp5_ES2",5,30,44.6509596104268,"near","near","near",1.25,3,14
"Exp5_ES2",3,271,89.7328640995212,"mid","mid","mid",0.625,3,15
"Exp5_ES2",2,129,144.930883496337,"mid","mid","mid",1.25,4,16
"Exp5_ES2",1,78,83.8891844334411,"mid","mid","mid",2.5,2,17
"Exp5_ES2",8,120,133.688905399599,"far","far","far",1.25,2,18
"Exp5_ES2",3,159,134.898514547612,"mid","mid","mid",0.625,4,19
"Exp5_ES2",8,280,306.784257734174,"far","far","far",1.25,3,20
"Exp5_ES2",6,281,221.013481094242,"near","near","near",0.625,1,21
"Exp5_ES2",11,68,54.8978623603552,"near","no flankers","near",Inf,2,22
"Exp5_ES2",6,324,299.650959610427,"near","near","near",0.625,2,23
