"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_ES1",2,20,24.5260874902811,"mid","mid","mid",1.25,9,71
"Exp5_ES1",3,115,92.7882718828006,"mid","mid","mid",0.625,5,72
"Exp5_ES1",7,342,346.202023954454,"far","far","far",2.5,5,73
"Exp5_ES1",9,312,334.427885992552,"far","far","far",0.625,9,74
"Exp5_ES1",8,164,168.240779862504,"far","far","far",1.25,7,75
"Exp5_ES1",4,162,156.958464623317,"near","near","near",2.5,6,76
"Exp5_ES1",4,70,43.548821970782,"near","near","near",2.5,7,77
"Exp5_ES1",5,260,234.483726009739,"near","near","near",1.25,6,78
"Exp5_ES1",10,104,129.364242746655,"mid","no flankers","mid",Inf,7,79
"Exp5_ES1",3,310,322.10091255064,"mid","mid","mid",0.625,6,80
"Exp5_ES1",7,105,120.601273811229,"far","far","far",2.5,6,81
"Exp5_ES1",11,343,350.097643941564,"near","no flankers","near",Inf,6,82
"Exp5_ES1",1,298,308.871097106846,"mid","mid","mid",2.5,4,83
"Exp5_ES1",4,147,149.223342165569,"near","near","near",2.5,8,84
"Exp5_ES1",7,78,75.3224138857061,"far","far","far",2.5,7,85
"Exp5_ES1",6,1,351.581369951303,"near","near","near",0.625,9,86
"Exp5_ES1",5,43,45.3209861071326,"near","near","near",1.25,7,87
"Exp5_ES1",12,246,227.43680625179,"far","no flankers","far",Inf,9,88
"Exp5_ES1",10,20,41.9445922167205,"mid","no flankers","mid",Inf,8,89
"Exp5_ES1",4,118,146.181806788886,"near","near","near",2.5,9,90
"Exp5_ES1",11,306,309.088656545403,"near","no flankers","near",Inf,7,91
"Exp5_ES1",8,128,144.873088835577,"far","far","far",1.25,8,92
"Exp5_ES1",4,146,141.43660484102,"near","near","near",2.5,10,93
"Exp5_ES1",9,4,43.380209825265,"far","far","far",0.625,10,94
"Exp5_ES1",1,36,54.2210582313704,"mid","mid","mid",2.5,5,95
"Exp5_ES1",11,124,145.405148954454,"near","no flankers","near",Inf,8,96
"Exp5_ES1",1,87,87.9813397716577,"mid","mid","mid",2.5,6,97
"Exp5_ES1",1,188,167.691737938372,"mid","mid","mid",2.5,7,98
"Exp5_ES1",1,350,351.838728158121,"mid","mid","mid",2.5,8,99
"Exp5_ES1",1,163,168.714776772926,"mid","mid","mid",2.5,9,100
"Exp5_ES1",12,279,278.628710433973,"far","no flankers","far",Inf,10,101
"Exp5_ES1",11,15,9.45567172729877,"near","no flankers","near",Inf,9,102
"Exp5_ES1",3,283,97.1886892826452,"mid","mid","mid",0.625,7,103
"Exp5_ES1",5,293,342.679013892868,"near","near","near",1.25,8,104
"Exp5_ES1",3,131,133.672504808283,"mid","mid","mid",0.625,8,105
"Exp5_ES1",6,224,206.176220996849,"near","near","near",0.625,10,106
"Exp5_ES1",7,323,321.117990905185,"far","far","far",2.5,8,107
"Exp5_ES1",5,248,224.702574477227,"near","near","near",1.25,9,108
"Exp5_ES1",7,191,230.945802599542,"far","far","far",2.5,9,109
"Exp5_ES1",5,271,259.590357347465,"near","near","near",1.25,10,110
"Exp5_ES1",10,287,290.428407742358,"mid","no flankers","mid",Inf,9,111
"Exp5_ES1",8,305,301.153148274133,"far","far","far",1.25,9,112
"Exp5_ES1",11,294,299.069589659123,"near","no flankers","near",Inf,10,113
"Exp5_ES1",2,162,168.8941359414,"mid","mid","mid",1.25,10,114
"Exp5_ES1",3,221,206.871097106846,"mid","mid","mid",0.625,9,115
"Exp5_ES1",8,231,233.579834753652,"far","far","far",1.25,10,116
"Exp5_ES1",3,72,46.0367475549372,"mid","mid","mid",0.625,10,117
"Exp5_ES1",10,159,139.17555346401,"mid","no flankers","mid",Inf,10,118
"Exp5_ES1",1,114,113.557310635512,"mid","mid","mid",2.5,10,119
"Exp5_ES1",7,257,231.953523345746,"far","far","far",2.5,10,120
