"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp2_ES4",7,101,87.5398345746205,"near","near","near",2.5,1,1,"target in center of ring"
"Exp2_ES4",15,318,306.595952091092,"far","near","far",0.625,1,2,"target in center of ring"
"Exp2_ES4",14,188,158.473163133773,"far","near","far",1.25,1,3,"target not in center of ring"
"Exp2_ES4",6,333,314.48821970782,"near","far","near",0.625,1,4,"target in center of ring"
"Exp2_ES4",13,292,311.119190418219,"far","near","far",2.5,1,5,"target not in center of ring"
"Exp2_ES4",19,140,148.139179318247,"near","no flankers","near",Inf,1,6,"unsure or no ring"
"Exp2_ES4",1,158,135.423123746777,"near","mid","near",2.5,1,7,"target in center of ring"
"Exp2_ES4",8,252,228.260383844171,"near","near","near",1.25,1,8,"target in center of ring"
"Exp2_ES4",1,166,139.427617444858,"near","mid","near",2.5,2,9,"target in center of ring"
"Exp2_ES4",18,257,243.306296548267,"far","far","far",0.625,1,10,"target in center of ring"
"Exp2_ES4",12,267,224.610869915497,"far","mid","far",0.625,1,11,"target in center of ring"
"Exp2_ES4",4,337,311.520767688341,"near","far","near",2.5,1,12,"target in center of ring"
"Exp2_ES4",19,307,327.646465912346,"near","no flankers","near",Inf,2,13,"unsure or no ring"
"Exp2_ES4",13,319,328.430285018619,"far","near","far",2.5,2,14,"target in center of ring"
"Exp2_ES4",5,16,35.1807146949297,"near","far","near",1.25,1,15,"target not in center of ring"
"Exp2_ES4",19,168,166.177313090805,"near","no flankers","near",Inf,3,16,"unsure or no ring"
"Exp2_ES4",6,11,2.96745201947866,"near","far","near",0.625,2,17,"target not in center of ring"
"Exp2_ES4",14,0,1.02383808364367,"far","near","far",1.25,2,18,"target in center of ring"
"Exp2_ES4",11,18,28.6674663420224,"far","mid","far",1.25,1,19,"target in center of ring"
"Exp2_ES4",18,227,212.95832139788,"far","far","far",0.625,2,20,"target in center of ring"
"Exp2_ES4",8,126,134.957372529361,"near","near","near",1.25,2,21,"target in center of ring"
"Exp2_ES4",12,224,223.878410555715,"far","mid","far",0.625,2,22,"target not in center of ring"
"Exp2_ES4",18,166,167.97736142939,"far","far","far",0.625,3,23,"target not in center of ring"
"Exp2_ES4",6,40,45.9955063019192,"near","far","near",0.625,3,24,"ring obstructs target"
"Exp2_ES4",17,11,12.2860570037239,"far","far","far",1.25,1,25,"target in center of ring"
"Exp2_ES4",17,51,39.0226385706101,"far","far","far",1.25,2,26,"target in center of ring"
"Exp2_ES4",3,10,2.96745201947869,"near","mid","near",0.625,1,27,"target not in center of ring"
"Exp2_ES4",3,351,1.48372600973933,"near","mid","near",0.625,2,28,"target not in center of ring"
"Exp2_ES4",9,256,223.358027785735,"near","near","near",0.625,1,29,"target in center of ring"
"Exp2_ES4",7,301,314.48821970782,"near","near","near",2.5,2,30,"target in center of ring"
"Exp2_ES4",8,26,37.0931502434832,"near","near","near",1.25,3,31,"target in center of ring"
"Exp2_ES4",12,265,266.569714981381,"far","mid","far",0.625,3,32,"target in center of ring"
"Exp2_ES4",9,79,90.5072865940991,"near","near","near",0.625,2,33,"target in center of ring"
"Exp2_ES4",15,76,132.60847088943,"far","near","far",0.625,2,34,"ring obstructs target"
"Exp2_ES4",3,234,51.8687159839587,"near","mid","near",0.625,3,35,"ring obstructs target"
"Exp2_ES4",20,174,171.125711651389,"far","no flankers","far",Inf,1,36,"unsure or no ring"
"Exp2_ES4",10,335,331.868290783443,"far","mid","far",2.5,1,37,"target in center of ring"
"Exp2_ES4",6,226,44.5117802921799,"near","far","near",0.625,4,38,"ring obstructs target"
"Exp2_ES4",3,117,139.334467201375,"near","mid","near",0.625,4,39,"target not in center of ring"
"Exp2_ES4",11,33,10.1167913921512,"far","mid","far",1.25,2,40,"target not in center of ring"
"Exp2_ES4",17,14,2.04767616728732,"far","far","far",1.25,3,41,"target not in center of ring"
"Exp2_ES4",10,179,199.845652212833,"far","mid","far",2.5,2,42,"target not in center of ring"
"Exp2_ES4",5,234,230.902356058436,"near","far","near",1.25,2,43,"target not in center of ring"
"Exp2_ES4",2,265,274.427617444858,"near","mid","near",1.25,1,44,"target not in center of ring"
"Exp2_ES4",1,59,41.5443282727012,"near","mid","near",2.5,3,45,"target not in center of ring"
"Exp2_ES4",2,121,133.473646519622,"near","mid","near",1.25,2,46,"target not in center of ring"
"Exp2_ES4",8,29,38.5768762532226,"near","near","near",1.25,4,47,"target in center of ring"
"Exp2_ES4",10,309,309.004798052134,"far","mid","far",2.5,3,48,"target not in center of ring"
"Exp2_ES4",4,33,46.25589014609,"near","far","near",2.5,2,49,"target not in center of ring"
"Exp2_ES4",16,32,39.4177662202807,"far","far","far",2.5,1,50,"target in center of ring"
"Exp2_ES4",15,332,318.898126432254,"far","near","far",0.625,3,51,"target not in center of ring"
"Exp2_ES4",3,244,223.134685620166,"near","mid","near",0.625,5,52,"target in center of ring"
"Exp2_ES4",1,93,63.9304103408765,"near","mid","near",2.5,4,53,"target in center of ring"
"Exp2_ES4",19,309,312.711561873389,"near","no flankers","near",Inf,4,54,"unsure or no ring"
"Exp2_ES4",14,203,204.451724076196,"far","near","far",1.25,3,55,"target not in center of ring"
"Exp2_ES4",5,103,93.2233421655686,"near","far","near",1.25,3,56,"target not in center of ring"
"Exp2_ES4",15,239,232.473163133773,"far","near","far",0.625,4,57,"ring obstructs target"
"Exp2_ES4",9,82,91.9293182469206,"near","near","near",0.625,3,58,"target in center of ring"
"Exp2_ES4",16,180,177.749100365225,"far","far","far",2.5,2,59,"target in center of ring"
"Exp2_ES4",18,241,302.032234674878,"far","far","far",0.625,4,60,"target in center of ring"
"Exp2_ES4",11,39,22.6388302062447,"far","mid","far",1.25,3,61,"target not in center of ring"
"Exp2_ES4",7,324,311.520767688341,"near","near","near",2.5,3,62,"target in center of ring"
"Exp2_ES4",6,242,44.5117802921799,"near","far","near",0.625,5,63,"target not in center of ring"
"Exp2_ES4",19,143,139.343454597537,"near","no flankers","near",Inf,5,64,"unsure or no ring"
"Exp2_ES4",19,109,116.455671727299,"near","no flankers","near",Inf,6,65,"unsure or no ring"
"Exp2_ES4",2,314,311.520767688341,"near","mid","near",1.25,3,66,"target not in center of ring"
"Exp2_ES4",17,175,144.402848395875,"far","far","far",1.25,4,67,"target in center of ring"
"Exp2_ES4",14,258,257.58583231882,"far","near","far",1.25,4,68,"target not in center of ring"
"Exp2_ES4",15,5,41.6072713763965,"far","near","far",0.625,5,69,"target not in center of ring"
"Exp2_ES4",8,143,132.236823259811,"near","near","near",1.25,5,70,"target in center of ring"
"Exp2_ES4",13,121,135.442803816958,"far","near","far",2.5,3,71,"target not in center of ring"
"Exp2_ES4",11,188,207.190704669149,"far","mid","far",1.25,4,72,"target not in center of ring"
"Exp2_ES4",13,228,213.938605521341,"far","near","far",2.5,4,73,"target not in center of ring"
"Exp2_ES4",13,106,118.448125537095,"far","near","far",2.5,5,74,"target not in center of ring"
"Exp2_ES4",20,136,124.673987575193,"far","no flankers","far",Inf,2,75,"unsure or no ring"
"Exp2_ES4",18,36,50.5333580993985,"far","far","far",0.625,5,76,"target in center of ring"
"Exp2_ES4",1,119,307.069589659123,"near","mid","near",2.5,5,77,"unsure or no ring"
"Exp2_ES4",19,53,56.3815883700945,"near","no flankers","near",Inf,7,78,"unsure or no ring"
"Exp2_ES4",14,299,302.176986357777,"far","near","far",1.25,5,79,"target not in center of ring"
"Exp2_ES4",7,50,45.9955063019192,"near","near","near",2.5,4,80,"target in center of ring"
"Exp2_ES4",11,148,147.432684044686,"far","mid","far",1.25,5,81,"target not in center of ring"
"Exp2_ES4",3,298,313.004493698081,"near","mid","near",0.625,6,82,"target in center of ring"
"Exp2_ES4",7,99,88.5813699513033,"near","near","near",2.5,5,83,"target in center of ring"
"Exp2_ES4",1,265,275.911343454598,"near","mid","near",2.5,6,84,"target in center of ring"
"Exp2_ES4",14,76,58.7842577341736,"far","near","far",1.25,6,85,"target not in center of ring"
"Exp2_ES4",16,170,131.196026389287,"far","far","far",2.5,3,86,"target in center of ring"
"Exp2_ES4",20,121,129.438005764824,"far","no flankers","far",Inf,3,87,"unsure or no ring"
"Exp2_ES4",14,212,212.95472285878,"far","near","far",1.25,7,88,"target not in center of ring"
"Exp2_ES4",8,17,20.7721641363506,"near","near","near",1.25,6,89,"target in center of ring"
"Exp2_ES4",11,137,143.337331710112,"far","mid","far",1.25,6,90,"target not in center of ring"
"Exp2_ES4",10,184,165.824213155256,"far","mid","far",2.5,4,91,"target not in center of ring"
"Exp2_ES4",19,80,82.5858636493842,"near","no flankers","near",Inf,8,92,"unsure or no ring"
"Exp2_ES4",3,93,65.4601654253795,"near","mid","near",0.625,7,93,"target not in center of ring"
"Exp2_ES4",2,233,214.622905327986,"near","mid","near",1.25,4,94,"target in center of ring"
"Exp2_ES4",20,287,276.550674949871,"far","no flankers","far",Inf,4,95,"unsure or no ring"
"Exp2_ES4",2,25,31.1582462045259,"near","mid","near",1.25,5,96,"target not in center of ring"
"Exp2_ES4",13,72,72.4380057648239,"far","near","far",2.5,6,97,"target not in center of ring"
"Exp2_ES4",15,219,203.376611286164,"far","near","far",0.625,6,98,"ring obstructs target"
"Exp2_ES4",19,11,7.41863004869665,"near","no flankers","near",Inf,9,99,"unsure or no ring"
"Exp2_ES4",18,348,326.237181323403,"far","far","far",0.625,6,100,"target in center of ring"
"Exp2_ES4",7,172,149.53983457462,"near","near","near",2.5,6,101,"target in center of ring"
"Exp2_ES4",12,356,353.169265611573,"far","mid","far",0.625,4,102,"target in center of ring"
"Exp2_ES4",20,159,149.625111894873,"far","no flankers","far",Inf,5,103,"unsure or no ring"
"Exp2_ES4",9,279,278.451178029218,"near","near","near",0.625,4,104,"target in center of ring"
"Exp2_ES4",4,143,135.343454597536,"near","far","near",2.5,3,105,"target in center of ring"
"Exp2_ES4",20,69,51.1919041821827,"far","no flankers","far",Inf,6,106,"unsure or no ring"
"Exp2_ES4",13,26,21.5005997565168,"far","near","far",2.5,7,107,"target not in center of ring"
"Exp2_ES4",17,24,4.09535233457462,"far","far","far",1.25,5,108,"target in center of ring"
"Exp2_ES4",10,348,7.6787856273274,"far","mid","far",2.5,5,109,"target in center of ring"
"Exp2_ES4",12,19,357.976161916356,"far","mid","far",0.625,5,110,"target not in center of ring"
"Exp2_ES4",9,124,123.776657834431,"near","near","near",0.625,5,111,"target in center of ring"
"Exp2_ES4",8,331,301.134685620166,"near","near","near",1.25,7,112,"target in center of ring"
"Exp2_ES4",10,41,44.0250375966772,"far","mid","far",2.5,6,113,"target not in center of ring"
"Exp2_ES4",16,101,125.762818676597,"far","far","far",2.5,4,114,"target in center of ring"
"Exp2_ES4",16,313,311.1555473002,"far","far","far",2.5,5,115,"target in center of ring"
"Exp2_ES4",14,83,91.2663411271841,"far","near","far",1.25,8,116,"target not in center of ring"
"Exp2_ES4",9,47,61.5813699513033,"near","near","near",0.625,6,117,"target in center of ring"
"Exp2_ES4",10,105,90.5685154683472,"far","mid","far",2.5,7,118,"target not in center of ring"
"Exp2_ES4",7,339,344.162739902607,"near","near","near",2.5,7,119,"target in center of ring"
"Exp2_ES4",17,247,237.176986357777,"far","far","far",1.25,6,120,"target in center of ring"
"Exp2_ES4",15,5,3.71274348324262,"far","near","far",0.625,7,121,"ring obstructs target"
"Exp2_ES4",8,49,41.5443282727013,"near","near","near",1.25,8,122,"target in center of ring"
"Exp2_ES4",7,247,215.078577055285,"near","near","near",2.5,8,123,"target in center of ring"
"Exp2_ES4",15,280,263.78305822114,"far","near","far",0.625,8,124,"target outside ring"
"Exp2_ES4",13,136,143.482083393011,"far","near","far",2.5,8,125,"target not in center of ring"
"Exp2_ES4",9,80,51.9304103408765,"near","near","near",0.625,7,126,"target in center of ring"
"Exp2_ES4",19,332,327.841753795474,"near","no flankers","near",Inf,10,127,"unsure or no ring"
"Exp2_ES4",7,158,149.794632626754,"near","near","near",2.5,9,128,"target in center of ring"
"Exp2_ES4",16,134,146.553597643942,"far","far","far",2.5,6,129,"target in center of ring"
"Exp2_ES4",9,206,198.757590948152,"near","near","near",0.625,8,130,"target in center of ring"
"Exp2_ES4",5,221,198.757590948152,"near","far","near",1.25,4,131,"ring obstructs target"
"Exp2_ES4",11,302,137.339054891149,"far","mid","far",1.25,7,132,"target not in center of ring"
"Exp2_ES4",6,160,143.921422944715,"near","far","near",0.625,6,133,"ring obstructs target"
"Exp2_ES4",5,316,326.358027785735,"near","far","near",1.25,5,134,"ring obstructs target"
"Exp2_ES4",6,191,169.144765110284,"near","far","near",0.625,7,135,"ring obstructs target"
"Exp2_ES4",6,341,324.874301775995,"near","far","near",0.625,8,136,"ring obstructs target"
"Exp2_ES4",20,83,63.1757868447437,"far","no flankers","far",Inf,7,137,"unsure or no ring"
"Exp2_ES4",12,9,22.0125187983386,"far","mid","far",0.625,6,138,"target not in center of ring"
"Exp2_ES4",8,67,47.3905757662561,"near","near","near",1.25,9,139,"target in center of ring"
"Exp2_ES4",1,271,263.832766399313,"near","mid","near",2.5,7,140,"target in center of ring"
"Exp2_ES4",5,89,69.7351224577486,"near","far","near",1.25,6,141,"ring obstructs target"
"Exp2_ES4",17,96,104.58583231882,"far","far","far",1.25,7,142,"target in center of ring"
"Exp2_ES4",14,54,47.60847088943,"far","near","far",1.25,9,143,"ring obstructs target"
"Exp2_ES4",20,205,213.93208428817,"far","no flankers","far",Inf,8,144,"unsure or no ring"
"Exp2_ES4",17,314,323.165667072472,"far","far","far",1.25,8,145,"target in center of ring"
"Exp2_ES4",12,206,227.516717093956,"far","mid","far",0.625,7,146,"target in center of ring"
"Exp2_ES4",5,41,317.455671727299,"near","far","near",1.25,7,147,"target outside ring"
"Exp2_ES4",15,331,319.893328380121,"far","near","far",0.625,9,148,"ring obstructs target"
"Exp2_ES4",17,335,346.202023954454,"far","far","far",1.25,9,149,"target in center of ring"
"Exp2_ES4",1,278,259.590357347465,"near","mid","near",2.5,8,150,"target in center of ring"
"Exp2_ES4",13,14,37.3700900529934,"far","near","far",2.5,9,151,"target not in center of ring"
"Exp2_ES4",9,101,130.567888857061,"near","near","near",0.625,9,152,"target in center of ring"
"Exp2_ES4",2,298,308.553315668863,"near","mid","near",1.25,6,153,"target not in center of ring"
"Exp2_ES4",3,353,0,"near","mid","near",0.625,8,154,"ring obstructs target"
"Exp2_ES4",4,207,228.432111142939,"near","far","near",2.5,4,155,"target not in center of ring"
"Exp2_ES4",12,125,142.06791571183,"far","mid","far",0.625,8,156,"ring obstructs target"
"Exp2_ES4",16,172,146.591154038957,"far","far","far",2.5,7,157,"target in center of ring"
"Exp2_ES4",12,97,133.47556215984,"far","mid","far",0.625,9,158,"ring obstructs target"
"Exp2_ES4",20,345,319.582233779719,"far","no flankers","far",Inf,9,159,"unsure or no ring"
"Exp2_ES4",17,158,148.968441170152,"far","far","far",1.25,10,160,"unsure or no ring"
"Exp2_ES4",14,159,144.085232562303,"far","near","far",1.25,10,161,"target not in center of ring"
"Exp2_ES4",18,123,126.955922371813,"far","far","far",0.625,7,162,"target in center of ring"
"Exp2_ES4",18,48,49.1442280148955,"far","far","far",0.625,8,163,"target in center of ring"
"Exp2_ES4",4,188,198.757590948152,"near","far","near",2.5,5,164,"target not in center of ring"
"Exp2_ES4",15,268,251.062593991693,"far","near","far",0.625,10,165,"ring obstructs target"
"Exp2_ES4",18,160,153.575712546548,"far","far","far",0.625,9,166,"target in center of ring"
"Exp2_ES4",4,102,81.6049305356631,"near","far","near",2.5,6,167,"target not in center of ring"
"Exp2_ES4",10,170,164.371289566027,"far","mid","far",2.5,8,168,"target in center of ring"
"Exp2_ES4",4,146,158.758683042108,"near","far","near",2.5,7,169,"target not in center of ring"
"Exp2_ES4",6,316,345.646465912346,"near","far","near",0.625,9,170,"target not in center of ring"
"Exp2_ES4",10,40,40.6060718633629,"far","mid","far",2.5,9,171,"target in center of ring"
"Exp2_ES4",5,72,54.8978623603552,"near","far","near",1.25,8,172,"ring obstructs target"
"Exp2_ES4",4,299,316.390575766256,"near","far","near",2.5,8,173,"target not in center of ring"
"Exp2_ES4",2,70,56.3815883700945,"near","mid","near",1.25,7,174,"target not in center of ring"
"Exp2_ES4",8,58,41.5443282727012,"near","near","near",1.25,10,175,"target in center of ring"
"Exp2_ES4",4,18,38.5768762532226,"near","far","near",2.5,9,176,"target in center of ring"
"Exp2_ES4",1,62,38.5768762532226,"near","mid","near",2.5,9,177,"target in center of ring"
"Exp2_ES4",5,93,98.6184116299054,"near","far","near",1.25,9,178,"target not in center of ring"
"Exp2_ES4",16,264,278.084033049269,"far","far","far",2.5,8,179,"target in center of ring"
"Exp2_ES4",18,171,180.237181323403,"far","far","far",0.625,10,180,"target in center of ring"
"Exp2_ES4",11,36,46.774137961902,"far","mid","far",1.25,8,181,"target not in center of ring"
"Exp2_ES4",20,32,1.53575712546548,"far","no flankers","far",Inf,10,182,"unsure or no ring"
"Exp2_ES4",3,194,207.060602262962,"near","mid","near",0.625,9,183,"target in center of ring"
"Exp2_ES4",2,130,144.762084646233,"near","mid","near",1.25,8,184,"target in center of ring"
"Exp2_ES4",10,103,90.0977513606417,"far","mid","far",2.5,10,185,"target not in center of ring"
"Exp2_ES4",2,94,77.1537525064452,"near","mid","near",1.25,9,186,"target not in center of ring"
"Exp2_ES4",2,231,215.140271412203,"near","mid","near",1.25,10,187,"target not in center of ring"
"Exp2_ES4",5,310,320.423123746777,"near","far","near",1.25,10,188,"target not in center of ring"
"Exp2_ES4",4,241,249.516273990261,"near","far","near",2.5,10,189,"target not in center of ring"
"Exp2_ES4",7,143,140.017974792323,"near","near","near",2.5,10,190,"target in center of ring"
"Exp2_ES4",9,90,54.6835075909482,"near","near","near",0.625,10,191,"target in center of ring"
"Exp2_ES4",6,193,191.338960899456,"near","far","near",0.625,10,192,"target outside ring"
"Exp2_ES4",12,45,33.2937777499284,"far","mid","far",0.625,10,193,"ring obstructs target"
"Exp2_ES4",1,149,142.437696934976,"near","mid","near",2.5,10,194,"ring obstructs target"
"Exp2_ES4",11,39,43.0840330492695,"far","mid","far",1.25,9,195,"target not in center of ring"
"Exp2_ES4",16,226,205.424287453452,"far","far","far",2.5,9,196,"target in center of ring"
"Exp2_ES4",11,158,142.393928136637,"far","mid","far",1.25,10,197,"target not in center of ring"
"Exp2_ES4",16,91,114.452923589229,"far","far","far",2.5,10,198,"target in center of ring"
"Exp2_ES4",3,239,214.707068175308,"near","mid","near",0.625,10,199,"target in center of ring"
"Exp2_ES4",13,109,133.47556215984,"far","near","far",2.5,10,200,"target not in center of ring"
