ID,Condition_number,Target_Screen,Fixation_Screen,Flanker_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed ,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg,BootStrappedCI
ES1,1,near,near,mid,2.5,1,9,0,0,0,12.24970345,6.95382538
ES1,2,near,near,mid,1.25,0,8,2,0,0,38.1155272,34.17788573
ES1,3,near,near,mid,0.625,0,2,8,0,0,100.1292663,46.12183947
ES1,4,near,near,far,2.5,1,9,0,0,0,12.24890472,3.842362692
ES1,5,near,near,far,1.25,0,6,4,0,0,16.80292445,5.938357447
ES1,6,near,near,far,0.625,0,2,8,0,0,58.97464574,45.61080794
ES1,7,near,near,near,2.5,9,0,0,0,1,15.43867663,5.076111668
ES1,8,near,near,near,1.25,10,0,0,0,0,18.88941904,6.325533277
ES1,9,near,near,near,0.625,10,0,0,0,0,17.55210121,3.706135694
ES1,10,far,far,mid,2.5,9,1,0,0,0,16.48999765,11.15323178
ES1,11,far,far,mid,1.25,5,4,0,0,1,22.33933836,8.306214808
ES1,12,far,far,mid,0.625,10,0,0,0,0,16.73444864,10.1601341
ES1,13,far,far,near,2.5,0,8,0,0,2,8.279630055,2.769251182
ES1,14,far,far,near,1.25,1,6,3,0,0,10.84346831,6.708296197
ES1,15,far,far,near,0.625,0,1,9,0,0,45.19775132,27.50495523
ES1,16,far,far,far,2.5,10,0,0,0,0,34.81392036,18.19821022
ES1,17,far,far,far,1.25,9,1,0,0,0,35.01660234,30.2552425
ES1,18,far,far,far,0.625,10,0,0,0,0,48.88341851,32.86339246
ES1,19,near,near,no flankers,Inf,0,0,0,0,10,9.742009837,4.651879516
ES1,20,far,far,no flankers,Inf,0,0,0,0,10,19.76227877,6.91256297
ES2,1,near,near,mid,2.5,8,2,0,0,0,27.86119858,21.42638033
ES2,2,near,near,mid,1.25,9,1,0,0,0,36.66010561,16.61740499
ES2,3,near,near,mid,0.625,5,1,4,0,0,39.16002374,26.50351352
ES2,4,near,near,far,2.5,6,4,0,0,0,23.46471011,7.700955229
ES2,5,near,near,far,1.25,0,9,1,0,0,48.18626753,35.2262511
ES2,6,near,near,far,0.625,1,2,6,1,0,31.25790852,13.18519142
ES2,7,near,near,near,2.5,9,1,0,0,0,47.929058,36.08422057
ES2,8,near,near,near,1.25,10,0,0,0,0,13.83151412,6.078064012
ES2,9,near,near,near,0.625,10,0,0,0,0,82.15884126,44.31911674
ES2,10,far,far,mid,2.5,3,7,0,0,0,18.07009626,10.8162689
ES2,11,far,far,mid,1.25,5,3,2,0,0,19.36453532,6.494489692
ES2,12,far,far,mid,0.625,2,8,0,0,0,10.66714537,4.58463231
ES2,13,far,far,near,2.5,7,3,0,0,0,20.5305255,7.051735259
ES2,14,far,far,near,1.25,3,7,0,0,0,60.90601707,32.63240655
ES2,15,far,far,near,0.625,0,9,1,0,0,21.03348683,9.097013555
ES2,16,far,far,far,2.5,10,0,0,0,0,28.18009002,16.39561231
ES2,17,far,far,far,1.25,10,0,0,0,0,59.99909426,53.04494682
ES2,18,far,far,far,0.625,9,1,0,0,0,72.56451444,46.87036359
ES2,19,near,near,no flankers,Inf,0,0,0,0,10,10.32035042,3.070980375
ES2,20,far,far,no flankers,Inf,1,0,0,0,9,15.11455908,5.15902782
ES4,1,near,near,mid,2.5,7,1,1,0,1,39.31550595,39.42231732
ES4,2,near,near,mid,1.25,2,8,0,0,0,12.9208609,2.992690127
ES4,3,near,near,mid,0.625,4,4,2,0,0,42.77301492,37.91593632
ES4,4,near,near,far,2.5,3,7,0,0,0,16.08263354,6.430329497
ES4,5,near,near,far,1.25,0,5,4,1,0,27.06596494,18.12825959
ES4,6,near,near,far,0.625,1,3,5,1,0,60.57350871,53.27142948
ES4,7,near,near,near,2.5,10,0,0,0,0,12.2874343,5.187392461
ES4,8,near,near,near,1.25,10,0,0,0,0,14.32526405,3.869768735
ES4,9,near,near,near,0.625,10,0,0,0,0,20.92607678,6.87365578
ES4,10,far,far,mid,2.5,4,6,0,0,0,12.53949807,4.740179453
ES4,11,far,far,mid,1.25,1,9,0,0,0,40.52007495,39.84772241
ES4,12,far,far,mid,0.625,4,3,3,0,0,21.55320063,9.087538282
ES4,13,far,far,near,2.5,1,9,0,0,0,11.75729112,4.47128701
ES4,14,far,far,near,1.25,1,8,1,0,0,11.08101038,4.813937421
ES4,15,far,far,near,0.625,1,2,6,1,0,23.95374879,14.93162316
ES4,16,far,far,far,2.5,10,0,0,0,0,20.48493367,7.01408096
ES4,17,far,far,far,1.25,8,1,0,0,1,13.00326496,4.640077116
ES4,18,far,far,far,0.625,9,1,0,0,0,21.64823504,14.25052528
ES4,19,near,near,no flankers,Inf,0,0,0,0,10,7.206836182,3.805187505
ES4,20,far,far,no flankers,Inf,0,0,0,0,10,12.49358201,4.373742103
ES3,1,near,near,mid,2.5,4,0,0,0,6,15.16694099,6.391171353
ES3,2,near,near,mid,1.25,3,1,0,0,6,17.96001361,6.735868531
ES3,3,near,near,mid,0.625,6,0,0,1,3,40.10642065,42.28881726
ES3,4,near,near,far,2.5,0,0,1,1,8,15.25518192,6.142034589
ES3,5,near,near,far,1.25,0,0,0,1,9,41.86535302,28.63092377
ES3,6,near,near,far,0.625,0,0,0,4,6,74.669703,43.93014448
ES3,7,near,near,near,2.5,10,0,0,0,0,12.09548733,3.102287769
ES3,8,near,near,near,1.25,10,0,0,0,0,13.35406233,5.369571989
ES3,9,near,near,near,0.625,9,0,0,0,1,12.57672007,6.787664722
ES3,10,far,far,mid,2.5,1,9,0,0,0,13.88296072,8.964098827
ES3,11,far,far,mid,1.25,3,7,0,0,0,19.3087517,5.625631442
ES3,12,far,far,mid,0.625,5,4,0,0,1,40.21079718,42.33699901
ES3,13,far,far,near,2.5,1,4,0,3,2,14.98611996,4.521787403
ES3,14,far,far,near,1.25,1,4,0,4,1,22.58020687,8.568462193
ES3,15,far,far,near,0.625,0,5,0,5,0,14.33289185,5.183816863
ES3,16,far,far,far,2.5,10,0,0,0,0,16.36834948,6.449518257
ES3,17,far,far,far,1.25,9,0,0,0,1,16.10014662,5.797791683
ES3,18,far,far,far,0.625,10,0,0,0,0,99.11720661,44.35822151
ES3,19,near,near,no flankers,Inf,0,0,0,0,10,10.6417124,3.31140331
ES3,20,far,far,no flankers,Inf,0,0,0,0,10,11.62766026,4.744729256
