ID,Condition_number,Target_Screen,Fixation_Screen,Flanker_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed ,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg,BootStrappedCI
ES1,1,mid,mid,mid,2.5,10,0,0,0,0,14.82044206,5.560426845
ES1,2,mid,mid,mid,1.25,10,0,0,0,0,20.56264964,7.81217383
ES1,3,mid,mid,mid,0.625,10,0,0,0,0,16.90069695,4.878856707
ES1,4,mid,mid,near,2.5,3,7,0,0,0,12.28487594,4.957321112
ES1,5,mid,mid,near,1.25,0,10,0,0,0,21.98323682,10.93402193
ES1,6,mid,mid,near,0.625,0,1,9,0,0,15.97108805,5.426582072
ES1,7,mid,mid,far,2.5,0,9,1,0,0,14.13010011,5.532292008
ES1,8,mid,mid,far,1.25,0,6,4,0,0,33.08432074,31.05922537
ES1,9,mid,mid,far,0.625,0,1,7,2,0,40.77688942,42.71658644
ES1,10,mid,mid,no flankers,Inf,0,0,0,0,10,20.57086759,7.527262809
ES2,1,mid,mid,mid,2.5,10,0,0,0,0,20.53201941,6.996115182
ES2,2,mid,mid,mid,1.25,10,0,0,0,0,14.37983691,6.688266234
ES2,3,mid,mid,mid,0.625,9,1,0,0,0,29.0196307,10.6913715
ES2,4,mid,mid,near,2.5,4,5,0,1,0,19.71635892,6.201178204
ES2,5,mid,mid,near,1.25,3,6,0,1,0,16.36193235,5.9234142
ES2,6,mid,mid,near,0.625,5,4,0,1,0,57.99388446,43.16004636
ES2,7,mid,mid,far,2.5,0,10,0,0,0,24.66663797,19.52757663
ES2,8,mid,mid,far,1.25,0,5,4,1,0,58.94212523,42.649279
ES2,9,mid,mid,far,0.625,0,1,1,8,0,50.87412711,38.93942731
ES2,10,mid,mid,no flankers,inf,0,0,0,0,10,16.90828585,6.350377308
ES3,1,mid,mid,mid,2.5,10,0,0,0,0,11.65498154,5.660656871
ES3,2,mid,mid,mid,1.25,10,0,0,0,0,18.47016887,8.43143941
ES3,3,mid,mid,mid,0.625,10,0,0,0,0,31.30718299,15.57407221
ES3,4,mid,mid,near,2.5,5,4,1,0,0,15.22734299,4.644861639
ES3,5,mid,mid,near,1.25,6,1,1,1,1,15.53981977,6.436069859
ES3,6,mid,mid,near,0.625,9,1,0,0,0,14.73809436,10.59686593
ES3,7,mid,mid,far,2.5,5,4,1,0,0,16.57154243,5.112724381
ES3,8,mid,mid,far,1.25,5,1,4,0,0,12.00103336,3.963051978
ES3,9,mid,mid,far,0.625,5,0,5,0,0,41.26716749,41.10658326
ES3,10,mid,mid,no flankers,Inf,0,0,0,0,10,14.42968273,5.778565633
ES4,1,mid,mid,mid,2.5,10,0,0,0,0,11.598837,4.45289498
ES4,2,mid,mid,mid,1.25,8,2,0,0,0,11.27112994,4.745017416
ES4,3,mid,mid,mid,0.625,10,0,0,0,0,45.31926786,38.42185077
ES4,4,mid,mid,near,2.5,8,2,0,0,0,15.11367277,5.45976816
ES4,5,mid,mid,near,1.25,7,3,0,0,0,14.66086221,5.021191356
ES4,6,mid,mid,near,0.625,10,0,0,0,0,20.23979297,8.245354254
ES4,7,mid,mid,far,2.5,5,5,0,0,0,12.89668673,5.241832395
ES4,8,mid,mid,far,1.25,5,2,3,0,0,13.27408452,4.980773608
ES4,9,mid,mid,far,0.625,2,6,2,0,0,12.81385864,6.644394851
ES4,10,mid,mid,no flankers,Inf,4,0,0,0,6,11.87770229,4.613641177
