ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp4_S10,1,mid,near,near,5,0,3,5,0,0,49.1280713852294
Exp4_S10,2,mid,near,near,2.5,1,1,3,2,1,45.5159294782627
Exp4_S10,3,mid,near,near,1.25,1,1,5,1,0,69.9510148724744
Exp4_S10,4,mid,near,near,0.625,0,0,5,3,0,65.458285838728
Exp4_S10,5,mid,no flankers,near,Inf,0,0,0,0,8,12.0362870280681
Exp4_S10,6,far,near,near,5,1,0,5,2,0,65.0997383247848
Exp4_S10,7,far,near,near,2.5,0,0,3,5,0,50.5716192335144
Exp4_S10,8,far,near,near,1.25,1,0,2,5,0,29.8663393154779
Exp4_S10,9,far,near,near,0.625,0,0,1,7,0,60.780410387586
Exp4_S10,10,far,no flankers,near,Inf,1,0,0,0,7,6.76098741953858
Exp4_S10,11,near,near,near,5,8,0,0,0,0,12.3766704599849
Exp4_S10,12,near,near,near,2.5,8,0,0,0,0,46.8538135702552
Exp4_S10,13,near,near,near,1.25,8,0,0,0,0,31.9582243743244
Exp4_S10,14,near,near,near,0.625,8,0,0,0,0,51.3001912371928
Exp4_S10,15,near,no flankers,near,Inf,0,0,0,0,8,12.2573874683713
Exp4_S10,16,mid,far,far,5,8,0,0,0,0,25.5772843251668
Exp4_S10,17,mid,far,far,2.5,6,1,1,0,0,10.2824982641958
Exp4_S10,18,mid,far,far,1.25,1,2,5,0,0,35.2984470090866
Exp4_S10,19,mid,far,far,0.625,0,0,7,1,0,128.641213720907
Exp4_S10,20,mid,no flankers,far,Inf,0,0,0,0,8,15.690985142592
Exp4_S10,21,near,far,far,5,2,3,3,0,0,25.9313686931484
Exp4_S10,22,near,far,far,2.5,1,2,5,0,0,51.4695920905696
Exp4_S10,23,near,far,far,1.25,1,2,4,1,0,26.7287214000975
Exp4_S10,24,near,far,far,0.625,0,0,2,5,1,33.3259241694652
Exp4_S10,25,near,no flankers,far,Inf,0,0,0,0,8,68.1630996748362
Exp4_S10,26,far,far,far,5,8,0,0,0,0,17.5491685559823
Exp4_S10,27,far,far,far,2.5,6,1,1,0,0,6.34787283021628
Exp4_S10,28,far,far,far,1.25,8,0,0,0,0,40.2487602680911
Exp4_S10,29,far,far,far,0.625,7,0,0,0,1,74.2494902305424
Exp4_S10,30,far,no flankers,far,Inf,0,0,0,0,8,23.092497114964
Exp4_S11,1,mid,near,near,5,1,2,5,0,0,12.986731940552
Exp4_S11,2,mid,near,near,2.5,2,2,3,1,0,10.9564004512872
Exp4_S11,3,mid,near,near,1.25,0,7,1,0,0,14.5607296387679
Exp4_S11,4,mid,near,near,0.625,0,2,6,0,0,15.034553383043
Exp4_S11,5,mid,no flankers,near,Inf,1,0,0,0,7,13.7851616157616
Exp4_S11,6,far,near,near,5,4,3,0,1,0,14.771653508047
Exp4_S11,7,far,near,near,2.5,1,4,2,1,0,49.7378531456395
Exp4_S11,8,far,near,near,1.25,0,6,2,0,0,19.3311090752704
Exp4_S11,9,far,near,near,0.625,0,0,7,0,1,46.1591851055004
Exp4_S11,10,far,no flankers,near,Inf,0,0,1,0,7,23.1391744981311
Exp4_S11,11,near,near,near,5,7,0,0,0,1,12.7157921580395
Exp4_S11,12,near,near,near,2.5,8,0,0,0,0,12.4898440307503
Exp4_S11,13,near,near,near,1.25,8,0,0,0,0,18.8352815206787
Exp4_S11,14,near,near,near,0.625,8,0,0,0,0,12.4315048466378
Exp4_S11,15,near,no flankers,near,Inf,0,0,0,0,8,12.8959628836651
Exp4_S11,16,mid,far,far,5,8,0,0,0,0,16.2431914530947
Exp4_S11,17,mid,far,far,2.5,1,7,0,0,0,7.8532534678506
Exp4_S11,18,mid,far,far,1.25,1,3,4,0,0,8.16433412127652
Exp4_S11,19,mid,far,far,0.625,0,7,1,0,0,10.7939581689121
Exp4_S11,20,mid,no flankers,far,Inf,0,0,0,0,8,12.7854824298276
Exp4_S11,21,near,far,far,5,4,3,0,0,1,7.884145211543
Exp4_S11,22,near,far,far,2.5,3,4,0,1,0,20.3942711267387
Exp4_S11,23,near,far,far,1.25,2,1,3,1,1,21.5699662796209
Exp4_S11,24,near,far,far,0.625,1,0,5,2,0,21.8718334676937
Exp4_S11,25,near,no flankers,far,Inf,1,0,0,0,7,14.5114866440265
Exp4_S11,26,far,far,far,5,8,0,0,0,0,15.6317057004124
Exp4_S11,27,far,far,far,2.5,8,0,0,0,0,11.5876429320428
Exp4_S11,28,far,far,far,1.25,8,0,0,0,0,9.33690635612845
Exp4_S11,29,far,far,far,0.625,8,0,0,0,0,5.77513858111508
Exp4_S11,30,far,no flankers,far,Inf,1,0,0,0,7,9.87185286905192
Exp4_S12,1,mid,near,near,5,1,4,3,0,0,25.3551967632706
Exp4_S12,2,mid,near,near,2.5,1,3,4,0,0,17.0738349626102
Exp4_S12,3,mid,near,near,1.25,3,1,4,0,0,15.1047107421526
Exp4_S12,4,mid,near,near,0.625,1,2,4,1,0,18.5531893994122
Exp4_S12,5,mid,no flankers,near,Inf,0,0,0,0,8,14.102139373848
Exp4_S12,6,far,near,near,5,1,4,3,0,0,16.2666104274057
Exp4_S12,7,far,near,near,2.5,1,5,2,0,0,17.3929607165127
Exp4_S12,8,far,near,near,1.25,1,2,2,3,0,29.7768583789004
Exp4_S12,9,far,near,near,0.625,1,4,2,1,0,12.4389661511967
Exp4_S12,10,far,no flankers,near,Inf,1,0,0,0,7,15.7940352944795
Exp4_S12,11,near,near,near,5,8,0,0,0,0,15.0524730116456
Exp4_S12,12,near,near,near,2.5,6,1,0,1,0,12.74908008409
Exp4_S12,13,near,near,near,1.25,7,1,0,0,0,22.3177780104581
Exp4_S12,14,near,near,near,0.625,8,0,0,0,0,15.4450330761604
Exp4_S12,15,near,no flankers,near,Inf,0,0,0,0,8,20.9351354346567
Exp4_S12,16,mid,far,far,5,3,5,0,0,0,33.7871137955464
Exp4_S12,17,mid,far,far,2.5,1,6,1,0,0,15.6653752905975
Exp4_S12,18,mid,far,far,1.25,0,0,8,0,0,19.8387496627963
Exp4_S12,19,mid,far,far,0.625,2,0,3,2,1,25.58030111467
Exp4_S12,20,mid,no flankers,far,Inf,0,0,0,0,8,14.894306857641
Exp4_S12,21,near,far,far,5,2,5,0,1,0,19.4978781821596
Exp4_S12,22,near,far,far,2.5,0,3,2,3,0,29.2575517472553
Exp4_S12,23,near,far,far,1.25,0,3,1,4,0,12.5477646528555
Exp4_S12,24,near,far,far,0.625,0,0,2,6,0,31.048724169458
Exp4_S12,25,near,no flankers,far,Inf,0,0,0,0,8,16.1118374980769
Exp4_S12,26,far,far,far,5,8,0,0,0,0,27.8914246101978
Exp4_S12,27,far,far,far,2.5,4,3,1,0,0,14.5688735137285
Exp4_S12,28,far,far,far,1.25,6,2,0,0,0,13.5098693578288
Exp4_S12,29,far,far,far,0.625,5,2,0,0,1,25.895611305597
Exp4_S12,30,far,no flankers,far,Inf,0,0,0,0,8,19.4854959140637
Exp4_S13,1,mid,near,near,5,8,0,0,0,0,9.63092874785339
Exp4_S13,2,mid,near,near,2.5,7,1,0,0,0,19.3685812046368
Exp4_S13,3,mid,near,near,1.25,4,3,1,0,0,16.1826931622192
Exp4_S13,4,mid,near,near,0.625,4,3,0,1,0,13.1345443004344
Exp4_S13,5,mid,no flankers,near,Inf,1,0,0,0,7,15.2700150262378
Exp4_S13,6,far,near,near,5,6,2,0,0,0,21.7489463805842
Exp4_S13,7,far,near,near,2.5,7,1,0,0,0,23.925226566846
Exp4_S13,8,far,near,near,1.25,5,3,0,0,0,13.7633541346538
Exp4_S13,9,far,near,near,0.625,3,3,2,0,0,53.3610594709954
Exp4_S13,10,far,no flankers,near,Inf,4,0,0,0,4,17.8017765212443
Exp4_S13,11,near,near,near,5,8,0,0,0,0,23.6259865116179
Exp4_S13,12,near,near,near,2.5,7,0,0,1,0,20.9732331569726
Exp4_S13,13,near,near,near,1.25,8,0,0,0,0,14.3036679762331
Exp4_S13,14,near,near,near,0.625,7,0,0,0,1,23.1557364211855
Exp4_S13,15,near,no flankers,near,Inf,4,0,0,0,4,19.7335362857809
Exp4_S13,16,mid,far,far,5,7,0,0,0,1,22.1782270741912
Exp4_S13,17,mid,far,far,2.5,7,0,0,0,1,12.5026191928202
Exp4_S13,18,mid,far,far,1.25,4,2,1,1,0,33.556161451527
Exp4_S13,19,mid,far,far,0.625,6,2,0,0,0,16.4953393875099
Exp4_S13,20,mid,no flankers,far,Inf,2,1,0,0,5,24.2015829385338
Exp4_S13,21,near,far,far,5,7,1,0,0,0,34.1030508529896
Exp4_S13,22,near,far,far,2.5,7,1,0,0,0,19.913733184887
Exp4_S13,23,near,far,far,1.25,3,4,0,1,0,34.102866513327
Exp4_S13,24,near,far,far,0.625,6,0,2,0,0,16.5258498880824
Exp4_S13,25,near,no flankers,far,Inf,3,0,0,0,5,8.38168620576437
Exp4_S13,26,far,far,far,5,8,0,0,0,0,13.9042185490579
Exp4_S13,27,far,far,far,2.5,8,0,0,0,0,24.6324471251675
Exp4_S13,28,far,far,far,1.25,8,0,0,0,0,25.9350889521465
Exp4_S13,29,far,far,far,0.625,8,0,0,0,0,21.1263827335825
Exp4_S13,30,far,no flankers,far,Inf,3,0,0,0,5,27.2730052880219
Exp4_S14,1,mid,near,near,5,3,1,0,3,1,20.6277250281995
Exp4_S14,2,mid,near,near,2.5,1,1,3,2,1,44.5614811029186
Exp4_S14,3,mid,near,near,1.25,1,3,2,1,1,59.0656223570394
Exp4_S14,4,mid,near,near,0.625,0,1,6,1,0,41.1814449882574
Exp4_S14,5,mid,no flankers,near,Inf,0,0,0,0,8,38.3626713275639
Exp4_S14,6,far,near,near,5,0,1,2,4,1,78.1327864883891
Exp4_S14,7,far,near,near,2.5,1,2,1,3,1,18.712523030191
Exp4_S14,8,far,near,near,1.25,0,1,3,4,0,30.9975779190188
Exp4_S14,9,far,near,near,0.625,0,1,4,2,1,62.8865597239845
Exp4_S14,10,far,no flankers,near,Inf,0,0,0,0,8,13.1497863968909
Exp4_S14,11,near,near,near,5,6,1,0,0,1,13.9026121265466
Exp4_S14,12,near,near,near,2.5,7,1,0,0,0,13.5667268076377
Exp4_S14,13,near,near,near,1.25,6,0,0,0,2,88.3407054235834
Exp4_S14,14,near,near,near,0.625,6,0,1,0,1,65.96524647862
Exp4_S14,15,near,no flankers,near,Inf,0,0,0,0,8,10.2109487642007
Exp4_S14,16,mid,far,far,5,6,2,0,0,0,13.916336234908
Exp4_S14,17,mid,far,far,2.5,0,4,3,0,1,65.5176069655002
Exp4_S14,18,mid,far,far,1.25,0,3,3,1,1,42.0385063116126
Exp4_S14,19,mid,far,far,0.625,0,3,2,3,0,17.7250646867205
Exp4_S14,20,mid,no flankers,far,Inf,0,0,0,0,8,18.5576560880287
Exp4_S14,21,near,far,far,5,1,5,0,1,1,49.0126656101162
Exp4_S14,22,near,far,far,2.5,0,3,3,1,1,21.0081765471966
Exp4_S14,23,near,far,far,1.25,0,1,3,2,2,23.8590811412632
Exp4_S14,24,near,far,far,0.625,0,0,4,4,0,33.699087625993
Exp4_S14,25,near,no flankers,far,Inf,0,1,1,0,6,11.7122584529418
Exp4_S14,26,far,far,far,5,8,0,0,0,0,23.7383663392141
Exp4_S14,27,far,far,far,2.5,8,0,0,0,0,17.0889386898434
Exp4_S14,28,far,far,far,1.25,5,1,1,0,1,25.9729262864242
Exp4_S14,29,far,far,far,0.625,6,2,0,0,0,51.4154127335211
Exp4_S14,30,far,no flankers,far,Inf,0,0,0,0,8,29.3557324269419
Exp4_S15,1,mid,near,near,5,3,4,1,0,0,10.7043836834251
Exp4_S15,2,mid,near,near,2.5,2,2,2,2,0,16.940458137669
Exp4_S15,3,mid,near,near,1.25,0,3,1,4,0,13.1718016313745
Exp4_S15,4,mid,near,near,0.625,1,1,3,2,1,53.6876274692575
Exp4_S15,5,mid,no flankers,near,Inf,0,0,0,0,8,5.67760015186823
Exp4_S15,6,far,near,near,5,0,0,3,5,0,26.8528548284753
Exp4_S15,7,far,near,near,2.5,1,2,1,4,0,47.8834361851764
Exp4_S15,8,far,near,near,1.25,0,4,0,4,0,8.71157761008898
Exp4_S15,9,far,near,near,0.625,0,5,2,1,0,44.8120973366506
Exp4_S15,10,far,no flankers,near,Inf,0,0,0,0,8,44.4824712024693
Exp4_S15,11,near,near,near,5,8,0,0,0,0,18.6044851714297
Exp4_S15,12,near,near,near,2.5,7,0,0,0,1,7.61085079377413
Exp4_S15,13,near,near,near,1.25,8,0,0,0,0,8.45953843195186
Exp4_S15,14,near,near,near,0.625,7,0,0,0,1,10.6136904373164
Exp4_S15,15,near,no flankers,near,Inf,0,0,0,0,8,10.7353916427483
Exp4_S15,16,mid,far,far,5,3,5,0,0,0,7.75792060450646
Exp4_S15,17,mid,far,far,2.5,1,6,1,0,0,12.2666228875646
Exp4_S15,18,mid,far,far,1.25,0,0,7,0,1,40.7939927135891
Exp4_S15,19,mid,far,far,0.625,0,0,4,4,0,14.1509435523004
Exp4_S15,20,mid,no flankers,far,Inf,0,0,0,0,8,6.57403412421084
Exp4_S15,21,near,far,far,5,0,1,3,4,0,13.7188705332015
Exp4_S15,22,near,far,far,2.5,0,0,1,7,0,8.46436783172313
Exp4_S15,23,near,far,far,1.25,0,1,1,6,0,7.65839753921034
Exp4_S15,24,near,far,far,0.625,0,0,6,2,0,32.4196610266783
Exp4_S15,25,near,no flankers,far,Inf,0,0,0,0,8,13.2021211084809
Exp4_S15,26,far,far,far,5,4,4,0,0,0,7.92050426007563
Exp4_S15,27,far,far,far,2.5,5,2,0,0,1,13.6014044900521
Exp4_S15,28,far,far,far,1.25,8,0,0,0,0,10.6412844804034
Exp4_S15,29,far,far,far,0.625,8,0,0,0,0,13.8368734814328
Exp4_S15,30,far,no flankers,far,Inf,0,0,0,0,8,8.13702398385876
Exp4_S16,1,mid,near,near,5,7,0,1,0,0,49.189005452313
Exp4_S16,2,mid,near,near,2.5,8,0,0,0,0,9.54468264124888
Exp4_S16,3,mid,near,near,1.25,4,1,2,1,0,60.7398321920907
Exp4_S16,4,mid,near,near,0.625,0,2,4,2,0,48.1026961023157
Exp4_S16,5,mid,no flankers,near,Inf,0,0,1,0,7,22.5118907509362
Exp4_S16,6,far,near,near,5,4,0,2,2,0,45.3346748964865
Exp4_S16,7,far,near,near,2.5,2,0,4,2,0,83.7621289782507
Exp4_S16,8,far,near,near,1.25,1,1,4,2,0,81.2672439992064
Exp4_S16,9,far,near,near,0.625,1,1,4,2,0,56.0804547653743
