ID,Condition_number,Target_Screen,Fixation_Screen,Flanker_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed ,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg,BootStrappedCI
ES1,1,mid,near,near,2.5,3,4,1,0,0,7.895923502,3.484593305
ES1,2,mid,near,near,1.25,1,7,0,0,0,11.18827478,3.821955085
ES1,3,mid,near,near,0.625,3,0,3,2,0,28.82910428,25.23463027
ES1,4,mid,near,no flankers,Inf,0,0,0,0,8,31.6689284,19.49785746
ES1,5,far,near,near,2.5,3,4,0,1,0,28.90941722,22.84371412
ES1,6,far,near,near,1.25,1,6,0,1,0,29.17963881,19.52221908
ES1,7,far,near,near,0.625,2,2,3,1,0,60.52795899,40.49196317
ES1,8,far,near,no flankers,Inf,0,0,0,0,8,24.75199911,15.26330325
ES1,9,near,near,near,2.5,8,0,0,0,0,8.182401823,2.605794286
ES1,10,near,near,near,1.25,8,0,0,0,0,10.91515964,3.915332083
ES1,11,near,near,near,0.625,7,0,0,0,1,22.50673731,7.493051554
ES1,12,near,near,no flankers,Inf,0,0,0,0,8,18.77171076,9.920708526
ES1,13,mid,far,far,2.5,3,4,1,0,0,49.94618422,46.99054661
ES1,14,mid,far,far,1.25,1,2,4,1,0,11.27576767,4.717155432
ES1,15,mid,far,far,0.625,2,1,0,4,1,12.45909184,4.931367379
ES1,16,mid,far,no flankers,Inf,0,0,0,0,8,9.09503094,5.755613757
ES1,17,near,far,far,2.5,2,2,0,4,0,45.17278588,48.87731732
ES1,18,near,far,far,1.25,1,3,1,3,0,48.3979925,47.02814404
ES1,19,near,far,far,0.625,0,0,5,3,0,20.6368084,9.679336583
ES1,20,near,far,no flankers,Inf,0,0,0,0,8,24.21952539,12.78715611
ES1,21,far,far,far,2.5,8,0,0,0,0,15.12854774,6.805921453
ES1,22,far,far,far,1.25,7,0,0,0,1,43.41638873,46.49889475
ES1,23,far,far,far,0.625,8,0,0,0,0,39.93264234,25.1757314
ES1,24,far,far,no flankers,Inf,0,0,0,0,8,12.38086616,4.221616566
ES2,1,mid,near,near,2.5,4,0,0,4,0,18.33654108,8.096514462
ES2,2,mid,near,near,1.25,2,3,1,2,0,59.22683428,37.78057484
ES2,3,mid,near,near,0.625,2,1,2,3,0,69.45548242,50.3087805
ES2,4,mid,near,no flankers,Inf,0,0,0,1,7,13.49281895,6.7445024
ES2,5,far,near,near,2.5,1,3,0,4,0,44.14279123,45.07706774
ES2,6,far,near,near,1.25,0,5,0,3,0,43.85551887,30.30560274
ES2,7,far,near,near,0.625,0,1,3,4,0,48.8719309,41.84025296
ES2,8,far,near,no flankers,Inf,0,1,0,0,7,19.56101624,6.065871259
ES2,9,near,near,near,2.5,5,2,0,0,1,15.76383255,4.744392902
ES2,10,near,near,near,1.25,7,1,0,0,0,47.5955134,42.4839486
ES2,11,near,near,near,0.625,6,2,0,0,0,86.39243746,42.98292603
ES2,12,near,near,no flankers,Inf,0,0,0,0,8,13.95369798,5.139948945
ES2,13,mid,far,far,2.5,6,2,0,0,0,19.70223367,11.68273467
ES2,14,mid,far,far,1.25,0,3,5,0,0,45.90956951,50.52244341
ES2,15,mid,far,far,0.625,0,1,2,5,0,27.37726983,10.31006982
ES2,16,mid,far,no flankers,Inf,2,0,0,0,6,22.10902759,11.1284562
ES2,17,near,far,far,2.5,2,1,0,5,0,40.39427209,27.86078973
ES2,18,near,far,far,1.25,0,3,0,5,0,88.91757359,47.89699863
ES2,19,near,far,far,0.625,0,1,2,5,0,54.74196598,41.27205022
ES2,20,near,far,no flankers,Inf,1,0,0,0,7,29.20820402,23.19449397
ES2,21,far,far,far,2.5,7,1,0,0,0,34.3424852,27.35143791
ES2,22,far,far,far,1.25,8,0,0,0,0,47.0420012,48.51312178
ES2,23,far,far,far,0.625,8,0,0,0,0,38.96604777,22.24050401
ES2,24,far,far,no flankers,Inf,1,0,0,0,7,15.31952892,7.793690328
ES3,1,mid,near,near,2.5,5,1,0,2,0,22.59092591,7.350321872
ES3,2,mid,near,near,1.25,2,1,4,1,0,56.00638327,48.09400252
ES3,3,mid,near,near,0.625,3,1,1,2,1,70.35221065,40.92522511
ES3,4,mid,near,no flankers,Inf,0,0,0,0,8,10.58457557,4.266544843
ES3,5,far,near,near,2.5,1,1,4,2,0,48.31724982,50.99521391
ES3,6,far,near,near,1.25,0,1,1,4,2,20.8998042,13.41752627
ES3,7,far,near,near,0.625,0,1,3,4,0,90.30165352,42.77516969
ES3,8,far,near,no flankers,Inf,0,0,1,1,6,22.28564589,16.27356359
ES3,9,near,near,near,2.5,7,0,0,0,1,14.41948465,5.859503603
ES3,10,near,near,near,1.25,8,0,0,0,0,20.72629156,6.837522362
ES3,11,near,near,near,0.625,8,0,0,0,0,52.17924341,36.72992221
ES3,12,near,near,no flankers,Inf,1,0,0,0,7,14.9734505,4.838110254
ES3,13,mid,far,far,2.5,3,4,1,0,0,15.24059364,6.993193158
ES3,14,mid,far,far,1.25,0,2,6,0,0,46.48502084,50.65503542
ES3,15,mid,far,far,0.625,2,1,5,0,0,73.20906158,59.7281058
ES3,16,mid,far,no flankers,Inf,0,0,0,0,8,7.755894132,2.703465718
ES3,17,near,far,far,2.5,1,1,2,4,0,10.38549043,4.293410302
ES3,18,near,far,far,1.25,0,3,1,4,0,46.25282246,48.23098146
ES3,19,near,far,far,0.625,0,1,2,5,0,24.6435375,12.08626821
ES3,20,near,far,no flankers,Inf,1,0,0,0,7,14.63357982,8.423625291
ES3,21,far,far,far,2.5,8,0,0,0,0,9.287065199,4.80990528
ES3,22,far,far,far,1.25,8,0,0,0,0,30.55962828,16.46352911
ES3,23,far,far,far,0.625,8,0,0,0,0,88.17736556,51.84774959
ES3,24,far,far,no flankers,Inf,0,0,0,0,8,27.46931689,14.08596717
ES4,1,mid,near,near,2.5,4,0,0,4,0,98.01690784,44.64352104
ES4,2,mid,near,near,1.25,4,0,0,4,0,45.01554155,40.9009941
ES4,3,mid,near,near,0.625,5,0,0,3,0,39.49044308,18.39549034
ES4,4,mid,near,no flankers,Inf,1,0,0,0,7,21.44021069,11.21391758
ES4,5,far,near,near,2.5,4,0,0,4,0,55.65315025,43.40607259
ES4,6,far,near,near,1.25,4,0,0,4,0,109.1603176,46.09305621
ES4,7,far,near,near,0.625,6,0,0,2,0,95.01865082,64.71812583
ES4,8,far,near,no flankers,Inf,0,0,0,1,7,18.54333429,7.011111797
ES4,9,near,near,near,2.5,8,0,0,0,0,20.98746988,8.265235178
ES4,10,near,near,near,1.25,8,0,0,0,0,12.56843562,4.019227913
ES4,11,near,near,near,0.625,8,0,0,0,0,9.782820238,4.455239162
ES4,12,near,near,no flankers,Inf,1,0,0,1,6,17.35864381,7.848588328
ES4,13,mid,far,far,2.5,4,4,0,0,0,19.4459912,9.062076024
ES4,14,mid,far,far,1.25,2,0,5,0,1,48.76744775,44.355659
ES4,15,mid,far,far,0.625,1,0,2,4,1,17.23369614,5.656245659
ES4,16,mid,far,no flankers,Inf,1,0,0,0,7,14.7010475,9.004524914
ES4,17,near,far,far,2.5,2,0,0,6,0,13.78357111,5.313486353
ES4,18,near,far,far,1.25,0,1,0,7,0,13.33029359,8.866798083
