ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg
Exp1_S17,1,mid,mid,mid,5,26.5847678675751
Exp1_S17,2,mid,mid,mid,2.5,16.4056137800189
Exp1_S17,3,mid,mid,mid,1.25,24.8242130413818
Exp1_S17,4,mid,mid,mid,0.625,53.9580993864823
Exp1_S17,5,mid,near,mid,5,22.016547289959
Exp1_S17,6,mid,near,mid,2.5,25.600562379332
Exp1_S17,7,mid,near,mid,1.25,20.8198625079116
Exp1_S17,8,mid,near,mid,0.625,67.398894718436
Exp1_S17,9,mid,far,mid,5,27.5824291576819
Exp1_S17,10,mid,far,mid,2.5,42.6008675709428
Exp1_S17,11,mid,far,mid,1.25,39.9897434462812
Exp1_S17,12,mid,far,mid,0.625,17.3240497292541
Exp1_S17,13,mid,no flankers,mid,Inf,13.1760575149107
Exp1_S18,1,mid,mid,mid,5,13.5866162869892
Exp1_S18,2,mid,mid,mid,2.5,26.5982763798147
Exp1_S18,3,mid,mid,mid,1.25,60.6151628735671
Exp1_S18,4,mid,mid,mid,0.625,39.8061164779353
Exp1_S18,5,mid,near,mid,5,19.5921210126865
Exp1_S18,6,mid,near,mid,2.5,25.9799404823196
Exp1_S18,7,mid,near,mid,1.25,27.6478276131326
Exp1_S18,8,mid,near,mid,0.625,35.3363941969067
Exp1_S18,9,mid,far,mid,5,45.129428624514
Exp1_S18,10,mid,far,mid,2.5,21.5345209223575
Exp1_S18,11,mid,far,mid,1.25,41.1836111115053
Exp1_S18,12,mid,far,mid,0.625,20.5586110628437
Exp1_S18,13,mid,no flankers,mid,Inf,13.1084096182058
Exp1_S19,1,mid,mid,mid,5,67.5052901042582
Exp1_S19,2,mid,mid,mid,2.5,106.206488180658
Exp1_S19,3,mid,mid,mid,1.25,105.393237496918
Exp1_S19,4,mid,mid,mid,0.625,115.86654376259
Exp1_S19,5,mid,near,mid,5,109.206429210601
Exp1_S19,6,mid,near,mid,2.5,63.8240084955155
Exp1_S19,7,mid,near,mid,1.25,73.7082606230683
Exp1_S19,8,mid,near,mid,0.625,61.3373388228403
Exp1_S19,9,mid,far,mid,5,78.191534696335
Exp1_S19,10,mid,far,mid,2.5,70.1339225891871
Exp1_S19,11,mid,far,mid,1.25,60.3682182299175
Exp1_S19,12,mid,far,mid,0.625,49.3998458831618
Exp1_S19,13,mid,no flankers,mid,Inf,91.4738891348252
Exp1_S1,1,mid,mid,mid,5,16.0015982896326
Exp1_S1,2,mid,mid,mid,2.5,12.0723455425052
Exp1_S1,3,mid,mid,mid,1.25,13.4858995223623
Exp1_S1,4,mid,mid,mid,0.625,11.5965569741375
Exp1_S1,5,mid,near,mid,5,11.2847986280754
Exp1_S1,6,mid,near,mid,2.5,10.9321384434023
Exp1_S1,7,mid,near,mid,1.25,7.45957347119997
Exp1_S1,8,mid,near,mid,0.625,14.631783092202
Exp1_S1,9,mid,far,mid,5,9.93001407207082
Exp1_S1,10,mid,far,mid,2.5,7.06041582842117
Exp1_S1,11,mid,far,mid,1.25,14.1558405176762
Exp1_S1,12,mid,far,mid,0.625,58.0039493509928
Exp1_S1,13,mid,no flankers,mid,Inf,10.1355701629429
Exp1_S20,1,mid,mid,mid,5,22.8940889992452
Exp1_S20,2,mid,mid,mid,2.5,25.8578890405934
Exp1_S20,3,mid,mid,mid,1.25,75.5268266149087
Exp1_S20,4,mid,mid,mid,0.625,23.474650407535
Exp1_S20,5,mid,near,mid,5,25.8608139141499
Exp1_S20,6,mid,near,mid,2.5,21.7094527529024
Exp1_S20,7,mid,near,mid,1.25,19.5821378867939
Exp1_S20,8,mid,near,mid,0.625,44.8857452385536
Exp1_S20,9,mid,far,mid,5,21.736351443601
Exp1_S20,10,mid,far,mid,2.5,47.3037010863656
Exp1_S20,11,mid,far,mid,1.25,47.4755092825712
