ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp1_S15,12,mid,far,mid,0.625,5,3,2,0,0,16.590930692223
Exp1_S15,13,mid,no flankers,mid,Inf,1,0,0,1,8,20.0356185070195
Exp1_S16,1,mid,mid,mid,5,10,0,0,0,0,15.0016575375826
Exp1_S16,2,mid,mid,mid,2.5,10,0,0,0,0,19.772593818831
Exp1_S16,3,mid,mid,mid,1.25,10,0,0,0,0,11.0818478562762
Exp1_S16,4,mid,mid,mid,0.625,10,0,0,0,0,8.9340822661529
Exp1_S16,5,mid,near,mid,5,5,5,0,0,0,23.9620225691777
Exp1_S16,6,mid,near,mid,2.5,7,3,0,0,0,22.2938799416649
Exp1_S16,7,mid,near,mid,1.25,8,2,0,0,0,26.9602104184856
Exp1_S16,8,mid,near,mid,0.625,6,2,2,0,0,25.0663832685943
Exp1_S16,9,mid,far,mid,5,5,5,0,0,0,19.0687160839807
Exp1_S16,10,mid,far,mid,2.5,1,9,0,0,0,26.3458691563778
Exp1_S16,11,mid,far,mid,1.25,3,6,1,0,0,46.9793829495441
Exp1_S16,12,mid,far,mid,0.625,1,3,5,1,0,56.9349364572238
Exp1_S16,13,mid,no flankers,mid,Inf,0,0,0,0,10,16.5894833426721
Exp1_S17,1,mid,mid,mid,5,9,0,1,0,0,26.0330188048964
Exp1_S17,2,mid,mid,mid,2.5,10,0,0,0,0,16.4056137800189
Exp1_S17,3,mid,mid,mid,1.25,10,0,0,0,0,24.8242130413818
Exp1_S17,4,mid,mid,mid,0.625,7,3,0,0,0,53.9580993864823
Exp1_S17,5,mid,near,mid,5,8,2,0,0,0,22.016547289959
Exp1_S17,6,mid,near,mid,2.5,9,1,0,0,0,25.600562379332
Exp1_S17,7,mid,near,mid,1.25,7,2,0,1,0,19.7355444582784
Exp1_S17,8,mid,near,mid,0.625,2,5,1,0,2,63.2961017345744
Exp1_S17,9,mid,far,mid,5,8,2,0,0,0,27.5824291576819
Exp1_S17,10,mid,far,mid,2.5,5,4,0,1,0,40.693573661683
Exp1_S17,11,mid,far,mid,1.25,4,3,2,1,0,42.5745255262721
Exp1_S17,12,mid,far,mid,0.625,1,5,3,1,0,21.6615749117643
Exp1_S17,13,mid,no flankers,mid,Inf,1,0,0,0,9,13.1760575149107
Exp1_S18,1,mid,mid,mid,5,10,0,0,0,0,13.5866162869892
Exp1_S18,2,mid,mid,mid,2.5,9,0,1,0,0,36.0908359118034
Exp1_S18,3,mid,mid,mid,1.25,7,1,1,0,1,80.5908783368846
Exp1_S18,4,mid,mid,mid,0.625,10,0,0,0,0,39.8061164779353
Exp1_S18,5,mid,near,mid,5,8,2,0,0,0,19.5921210126865
Exp1_S18,6,mid,near,mid,2.5,8,2,0,0,0,25.9799404823196
Exp1_S18,7,mid,near,mid,1.25,6,4,0,0,0,27.6478276131326
Exp1_S18,8,mid,near,mid,0.625,4,6,0,0,0,35.3363941969067
Exp1_S18,9,mid,far,mid,5,6,3,1,0,0,61.2644583585738
Exp1_S18,10,mid,far,mid,2.5,9,1,0,0,0,21.5345209223575
Exp1_S18,11,mid,far,mid,1.25,6,3,1,0,0,38.9318363771461
Exp1_S18,12,mid,far,mid,0.625,5,3,1,0,1,41.6395147329211
Exp1_S18,13,mid,no flankers,mid,Inf,2,0,0,0,8,13.1084096182058
Exp1_S19,1,mid,mid,mid,5,8,2,0,0,0,67.5052901042582
Exp1_S19,2,mid,mid,mid,2.5,4,6,0,0,0,106.206488180658
Exp1_S19,3,mid,mid,mid,1.25,7,3,0,0,0,105.393237496918
Exp1_S19,4,mid,mid,mid,0.625,7,3,0,0,0,115.86654376259
Exp1_S19,5,mid,near,mid,5,0,8,2,0,0,121.958904421712
Exp1_S19,6,mid,near,mid,2.5,0,10,0,0,0,63.8240084955155
Exp1_S19,7,mid,near,mid,1.25,1,6,3,0,0,94.254126234955
Exp1_S19,8,mid,near,mid,0.625,0,3,7,0,0,100.586379339067
Exp1_S19,9,mid,far,mid,5,0,8,2,0,0,86.9169913065294
Exp1_S19,10,mid,far,mid,2.5,0,10,0,0,0,70.1339225891871
Exp1_S19,11,mid,far,mid,1.25,0,8,2,0,0,69.8712833233043
Exp1_S19,12,mid,far,mid,0.625,1,5,3,1,0,80.8422147237928
Exp1_S19,13,mid,no flankers,mid,Inf,1,1,0,8,0,91.4738891348252
Exp1_S1,1,mid,mid,mid,5,10,0,0,0,0,16.0015982896326
Exp1_S1,2,mid,mid,mid,2.5,10,0,0,0,0,12.0723455425052
Exp1_S1,3,mid,mid,mid,1.25,9,1,0,0,0,13.4858995223623
Exp1_S1,4,mid,mid,mid,0.625,10,0,0,0,0,11.5965569741375
Exp1_S1,5,mid,near,mid,5,9,1,0,0,0,11.2847986280754
Exp1_S1,6,mid,near,mid,2.5,7,3,0,0,0,10.9321384434023
Exp1_S1,7,mid,near,mid,1.25,10,0,0,0,0,7.45957347119997
Exp1_S1,8,mid,near,mid,0.625,5,4,1,0,0,14.9953946062468
Exp1_S1,9,mid,far,mid,5,5,5,0,0,0,9.93001407207082
Exp1_S1,10,mid,far,mid,2.5,5,4,1,0,0,7.3115373944354
Exp1_S1,11,mid,far,mid,1.25,5,5,0,0,0,14.1558405176762
Exp1_S1,12,mid,far,mid,0.625,5,0,5,0,0,42.9522654384264
Exp1_S1,13,mid,no flankers,mid,Inf,1,0,0,0,9,10.1355701629429
Exp1_S20,1,mid,mid,mid,5,10,0,0,0,0,22.8940889992452
Exp1_S20,2,mid,mid,mid,2.5,9,1,0,0,0,25.8578890405934
Exp1_S20,3,mid,mid,mid,1.25,6,3,1,0,0,76.9909352321468
Exp1_S20,4,mid,mid,mid,0.625,8,2,0,0,0,23.474650407535
Exp1_S20,5,mid,near,mid,5,5,5,0,0,0,25.8608139141499
Exp1_S20,6,mid,near,mid,2.5,8,2,0,0,0,21.7094527529024
Exp1_S20,7,mid,near,mid,1.25,8,2,0,0,0,19.5821378867939
Exp1_S20,8,mid,near,mid,0.625,8,2,0,0,0,44.8857452385536
Exp1_S20,9,mid,far,mid,5,5,5,0,0,0,21.736351443601
Exp1_S20,10,mid,far,mid,2.5,5,5,0,0,0,47.3037010863656
Exp1_S20,11,mid,far,mid,1.25,4,5,1,0,0,44.6554298635072
Exp1_S20,12,mid,far,mid,0.625,3,3,3,1,0,54.0228698362218
Exp1_S20,13,mid,no flankers,mid,Inf,0,0,0,1,9,23.0060485488179
Exp1_S21,1,mid,mid,mid,5,9,0,0,1,0,9.79688568455544
Exp1_S21,2,mid,mid,mid,2.5,9,1,0,0,0,17.518331915353
Exp1_S21,3,mid,mid,mid,1.25,10,0,0,0,0,18.371896534523
Exp1_S21,4,mid,mid,mid,0.625,10,0,0,0,0,29.8036602052269
Exp1_S21,5,mid,near,mid,5,6,4,0,0,0,40.1015054331025
Exp1_S21,6,mid,near,mid,2.5,8,1,1,0,0,20.3131780891819
Exp1_S21,7,mid,near,mid,1.25,7,2,0,1,0,40.2274770417762
Exp1_S21,8,mid,near,mid,0.625,7,0,3,0,0,65.8100536400986
Exp1_S21,9,mid,far,mid,5,7,3,0,0,0,22.969616534726
Exp1_S21,10,mid,far,mid,2.5,3,6,1,0,0,18.2847320391773
Exp1_S21,11,mid,far,mid,1.25,3,3,4,0,0,44.5434160465357
Exp1_S21,12,mid,far,mid,0.625,2,1,1,6,0,20.3952779617583
Exp1_S21,13,mid,no flankers,mid,Inf,0,0,0,0,10,18.8637704094115
Exp1_S22,1,mid,mid,mid,5,0,0,9,1,0,11.2253386271687
Exp1_S22,2,mid,mid,mid,2.5,1,0,9,0,0,35.0066583419444
Exp1_S22,3,mid,mid,mid,1.25,1,1,8,0,0,62.2283381917304
Exp1_S22,4,mid,mid,mid,0.625,0,0,9,1,0,59.7154824732551
Exp1_S22,5,mid,near,mid,5,0,0,10,0,0,19.6419082443256
Exp1_S22,6,mid,near,mid,2.5,0,0,10,0,0,18.66037431525
Exp1_S22,7,mid,near,mid,1.25,1,0,9,0,0,37.9644062877754
Exp1_S22,8,mid,near,mid,0.625,0,0,10,0,0,23.3213851686321
Exp1_S22,9,mid,far,mid,5,0,0,10,0,0,11.4975608703542
Exp1_S22,10,mid,far,mid,2.5,0,0,9,1,0,21.2760239663823
Exp1_S22,11,mid,far,mid,1.25,0,0,10,0,0,66.2338878670762
Exp1_S22,12,mid,far,mid,0.625,1,1,7,1,0,54.4532184276862
Exp1_S22,13,mid,no flankers,mid,Inf,0,0,10,0,0,15.7326527315553
Exp1_S2,1,mid,mid,mid,5,9,0,1,0,0,8.96804661475986
Exp1_S2,2,mid,mid,mid,2.5,7,3,0,0,0,14.3872214791363
Exp1_S2,3,mid,mid,mid,1.25,8,0,0,0,2,23.9919736532683
Exp1_S2,4,mid,mid,mid,0.625,10,0,0,0,0,13.0944272107185
Exp1_S2,5,mid,near,mid,5,3,6,0,0,1,17.2126594805836
Exp1_S2,6,mid,near,mid,2.5,2,5,1,1,1,50.8791610799442
Exp1_S2,7,mid,near,mid,1.25,1,7,1,0,1,18.5097779340029
Exp1_S2,8,mid,near,mid,0.625,4,5,0,0,1,25.8436194588336
Exp1_S2,9,mid,far,mid,5,3,5,0,0,2,18.5725400293568
Exp1_S2,10,mid,far,mid,2.5,0,9,1,0,0,20.4805066013892
Exp1_S2,11,mid,far,mid,1.25,2,5,3,0,0,34.6771000232763
Exp1_S2,12,mid,far,mid,0.625,3,2,4,0,1,32.6676512134157
Exp1_S2,13,mid,no flankers,mid,Inf,0,0,0,0,10,13.7822208732198
Exp1_S3,1,mid,mid,mid,5,10,0,0,0,0,18.218448227304
Exp1_S3,2,mid,mid,mid,2.5,10,0,0,0,0,10.3304796159504
Exp1_S3,3,mid,mid,mid,1.25,10,0,0,0,0,23.2048157982908
Exp1_S3,4,mid,mid,mid,0.625,8,1,1,0,0,14.336746558466
Exp1_S3,5,mid,near,mid,5,10,0,0,0,0,16.4023569032262
Exp1_S3,6,mid,near,mid,2.5,9,1,0,0,0,18.6420313894651
Exp1_S3,7,mid,near,mid,1.25,10,0,0,0,0,16.8905936445015
Exp1_S3,8,mid,near,mid,0.625,9,1,0,0,0,26.5435086626052
Exp1_S3,9,mid,far,mid,5,9,1,0,0,0,35.5613038409824
Exp1_S3,10,mid,far,mid,2.5,6,4,0,0,0,40.0372162233589
Exp1_S3,11,mid,far,mid,1.25,9,1,0,0,0,16.2937897127345
Exp1_S3,12,mid,far,mid,0.625,8,1,1,0,0,41.8475463683427
Exp1_S3,13,mid,no flankers,mid,Inf,0,0,0,0,10,14.516588732334
Exp1_S4,1,mid,mid,mid,5,10,0,0,0,0,14.2485428638213
Exp1_S4,2,mid,mid,mid,2.5,10,0,0,0,0,12.1730437407531
Exp1_S4,3,mid,mid,mid,1.25,9,1,0,0,0,32.7541141239791
Exp1_S4,4,mid,mid,mid,0.625,10,0,0,0,0,47.6592515789779
Exp1_S4,5,mid,near,mid,5,9,1,0,0,0,58.6633802858246
Exp1_S4,6,mid,near,mid,2.5,9,1,0,0,0,25.488495417548
Exp1_S4,7,mid,near,mid,1.25,8,2,0,0,0,19.5828215279164
Exp1_S4,8,mid,near,mid,0.625,4,4,2,0,0,42.9764802735449
Exp1_S4,9,mid,far,mid,5,7,3,0,0,0,28.1109005702575
Exp1_S4,10,mid,far,mid,2.5,3,7,0,0,0,20.8276717864148
Exp1_S4,11,mid,far,mid,1.25,2,4,4,0,0,64.0669378625586
Exp1_S4,12,mid,far,mid,0.625,2,4,4,0,0,72.0849461139413
Exp1_S4,13,mid,no flankers,mid,Inf,1,0,0,0,9,16.0537204495831
Exp1_S5,1,mid,mid,mid,5,9,1,0,0,0,11.0699795349494
Exp1_S5,2,mid,mid,mid,2.5,8,2,0,0,0,9.74983905968533
Exp1_S5,3,mid,mid,mid,1.25,10,0,0,0,0,14.5562356523953
Exp1_S5,4,mid,mid,mid,0.625,10,0,0,0,0,16.1761958520848
Exp1_S5,5,mid,near,mid,5,8,2,0,0,0,20.5773870790199
Exp1_S5,6,mid,near,mid,2.5,5,5,0,0,0,9.75114701573205
Exp1_S5,7,mid,near,mid,1.25,9,1,0,0,0,12.4830091237264
Exp1_S5,8,mid,near,mid,0.625,7,3,0,0,0,11.8975257044012
Exp1_S5,9,mid,far,mid,5,4,6,0,0,0,14.0934376805704
Exp1_S5,10,mid,far,mid,2.5,0,10,0,0,0,19.9279811046723
Exp1_S5,11,mid,far,mid,1.25,4,3,0,3,0,13.8267157573726
Exp1_S5,12,mid,far,mid,0.625,0,2,5,3,0,10.9517691993754
Exp1_S5,13,mid,no flankers,mid,Inf,1,0,0,0,9,19.3729774651564
Exp1_S6,1,mid,mid,mid,5,9,1,0,0,0,44.528469149996
Exp1_S6,2,mid,mid,mid,2.5,10,0,0,0,0,50.7247501066563
Exp1_S6,3,mid,mid,mid,1.25,9,1,0,0,0,49.2781973618472
Exp1_S6,4,mid,mid,mid,0.625,10,0,0,0,0,87.9195616246808
Exp1_S6,5,mid,near,mid,5,6,4,0,0,0,111.87316116532
Exp1_S6,6,mid,near,mid,2.5,9,1,0,0,0,99.8378613142878
Exp1_S6,7,mid,near,mid,1.25,10,0,0,0,0,74.4780089971158
Exp1_S6,8,mid,near,mid,0.625,4,2,4,0,0,77.3463739718174
Exp1_S6,9,mid,far,mid,5,8,2,0,0,0,54.9473438795732
Exp1_S6,10,mid,far,mid,2.5,7,3,0,0,0,52.4717880055536
Exp1_S6,11,mid,far,mid,1.25,4,6,0,0,0,84.8110689943048
Exp1_S6,12,mid,far,mid,0.625,3,6,1,0,0,98.2558556336566
Exp1_S6,13,mid,no flankers,mid,Inf,1,0,0,9,0,27.2401908335448
Exp1_S7,1,mid,mid,mid,5,9,1,0,0,0,10.741503562022
Exp1_S7,2,mid,mid,mid,2.5,10,0,0,0,0,25.5874079725924
Exp1_S7,3,mid,mid,mid,1.25,8,2,0,0,0,34.11510943648
Exp1_S7,4,mid,mid,mid,0.625,9,1,0,0,0,59.1381200614747
Exp1_S7,5,mid,near,mid,5,9,1,0,0,0,19.8242301740034
Exp1_S7,6,mid,near,mid,2.5,8,2,0,0,0,19.8278661191231
Exp1_S7,7,mid,near,mid,1.25,6,4,0,0,0,18.7728795038385
Exp1_S7,8,mid,near,mid,0.625,6,4,0,0,0,41.912110824746
Exp1_S7,9,mid,far,mid,5,7,3,0,0,0,10.4623670996504
Exp1_S7,10,mid,far,mid,2.5,6,4,0,0,0,36.6063763716463
Exp1_S7,11,mid,far,mid,1.25,6,4,0,0,0,74.5540343030661
Exp1_S7,12,mid,far,mid,0.625,6,4,0,0,0,55.9249014828304
Exp1_S7,13,mid,no flankers,mid,Inf,0,0,0,0,10,16.4274823689384
Exp1_S8,1,mid,mid,mid,5,10,0,0,0,0,17.7807684596364
Exp1_S8,2,mid,mid,mid,2.5,10,0,0,0,0,22.087170974775
Exp1_S8,3,mid,mid,mid,1.25,9,1,0,0,0,14.8227756303955
Exp1_S8,4,mid,mid,mid,0.625,10,0,0,0,0,74.4884719699641
Exp1_S8,5,mid,near,mid,5,10,0,0,0,0,21.0142082964478
Exp1_S8,6,mid,near,mid,2.5,10,0,0,0,0,21.5667306288877
Exp1_S8,7,mid,near,mid,1.25,6,4,0,0,0,37.6083745156879
Exp1_S8,8,mid,near,mid,0.625,5,3,2,0,0,53.7230628979433
Exp1_S8,9,mid,far,mid,5,9,1,0,0,0,21.0231738843714
Exp1_S8,10,mid,far,mid,2.5,10,0,0,0,0,33.7790490525534
Exp1_S8,11,mid,far,mid,1.25,8,2,0,0,0,45.7254691333517
