ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp3_S10,1,mid,mid,mid,5,8,0,0,0,2,13.4777422172288
Exp3_S10,2,mid,mid,mid,2.5,9,0,0,0,1,9.63045476245223
Exp3_S10,3,mid,mid,mid,1.25,9,0,0,0,1,23.3191272894702
Exp3_S10,4,mid,mid,mid,0.625,10,0,0,0,0,27.924287734242
Exp3_S10,5,near,mid,mid,5,5,0,0,3,2,21.1506486617168
Exp3_S10,6,near,mid,mid,2.5,8,0,0,1,1,9.06657652547835
Exp3_S10,7,near,mid,mid,1.25,7,0,0,0,3,44.3039229567464
Exp3_S10,8,near,mid,mid,0.625,10,0,0,0,0,22.228087083818
Exp3_S10,9,far,mid,mid,5,8,0,0,0,2,16.5048787286195
Exp3_S10,10,far,mid,mid,2.5,10,0,0,0,0,23.885464895065
Exp3_S10,11,far,mid,mid,1.25,6,3,0,0,1,41.8075363710359
Exp3_S10,12,far,mid,mid,0.625,8,1,0,0,1,93.8304283714228
Exp3_S10,13,mid,no flankers,mid,Inf,0,0,0,0,10,12.7235026696071
Exp3_S10,14,near,no flankers,mid,Inf,0,0,0,0,10,57.3678921567079
Exp3_S10,15,far,no flankers,mid,Inf,1,0,0,0,9,14.9712592833186
Exp3_S11,1,mid,mid,mid,5,10,0,0,0,0,26.1722531646133
Exp3_S11,2,mid,mid,mid,2.5,10,0,0,0,0,23.3789604376775
Exp3_S11,3,mid,mid,mid,1.25,10,0,0,0,0,18.6897606385766
Exp3_S11,4,mid,mid,mid,0.625,8,2,0,0,0,41.6524800001963
Exp3_S11,5,near,mid,mid,5,2,3,5,0,0,35.3439750475331
Exp3_S11,6,near,mid,mid,2.5,0,2,4,4,0,72.289555124679
Exp3_S11,7,near,mid,mid,1.25,1,2,3,4,0,70.7567465531167
Exp3_S11,8,near,mid,mid,0.625,0,0,4,6,0,59.7663017875671
Exp3_S11,9,far,mid,mid,5,10,0,0,0,0,42.8586472461908
Exp3_S11,10,far,mid,mid,2.5,9,1,0,0,0,71.1110395238321
Exp3_S11,11,far,mid,mid,1.25,7,1,2,0,0,109.771516037962
Exp3_S11,12,far,mid,mid,0.625,5,3,2,0,0,82.1685557663017
Exp3_S11,13,mid,no flankers,mid,Inf,2,0,0,0,8,20.4096518170921
Exp3_S11,14,near,no flankers,mid,Inf,1,0,0,1,8,17.669675862948
Exp3_S11,15,far,no flankers,mid,Inf,1,1,0,0,8,62.3255869966639
Exp3_S12,1,mid,mid,mid,5,9,0,0,0,1,14.8231475788083
Exp3_S12,2,mid,mid,mid,2.5,9,0,0,1,0,14.2738203804819
Exp3_S12,3,mid,mid,mid,1.25,9,0,0,0,1,11.030807351892
Exp3_S12,4,mid,mid,mid,0.625,10,0,0,0,0,10.7657351351368
Exp3_S12,5,near,mid,mid,5,6,0,2,2,0,34.5808188895248
Exp3_S12,6,near,mid,mid,2.5,5,0,1,2,2,56.3688047643583
Exp3_S12,7,near,mid,mid,1.25,9,0,1,0,0,15.2843600265764
Exp3_S12,8,near,mid,mid,0.625,9,0,0,1,0,42.632436394271
Exp3_S12,9,far,mid,mid,5,10,0,0,0,0,21.5474162577291
Exp3_S12,10,far,mid,mid,2.5,10,0,0,0,0,57.5772269297561
