ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg
Exp3_S10,1,mid,mid,mid,5,12.8049626635066
Exp3_S10,2,mid,mid,mid,2.5,9.89961049174507
Exp3_S10,3,mid,mid,mid,1.25,24.0391896482636
Exp3_S10,4,mid,mid,mid,0.625,27.924287734242
Exp3_S10,5,near,mid,mid,5,3.41098501323241
Exp3_S10,6,near,mid,mid,2.5,9.08876095092823
Exp3_S10,7,near,mid,mid,1.25,22.8048190751615
Exp3_S10,8,near,mid,mid,0.625,22.228087083818
Exp3_S10,9,far,mid,mid,5,18.3958081327915
Exp3_S10,10,far,mid,mid,2.5,23.885464895065
Exp3_S10,11,far,mid,mid,1.25,44.2596261234298
Exp3_S10,12,far,mid,mid,0.625,98.9939434584798
Exp3_S10,13,mid,no flankers,mid,Inf,12.7235026696071
Exp3_S10,14,near,no flankers,mid,Inf,57.3678921567079
Exp3_S10,15,far,no flankers,mid,Inf,14.9712592833186
Exp3_S11,1,mid,mid,mid,5,26.1722531646133
Exp3_S11,2,mid,mid,mid,2.5,23.3789604376775
Exp3_S11,3,mid,mid,mid,1.25,18.6897606385766
Exp3_S11,4,mid,mid,mid,0.625,41.6524800001963
Exp3_S11,5,near,mid,mid,5,31.6868421950612
Exp3_S11,6,near,mid,mid,2.5,NaN
Exp3_S11,7,near,mid,mid,1.25,33.9299360933122
Exp3_S11,8,near,mid,mid,0.625,NaN
Exp3_S11,9,far,mid,mid,5,42.8586472461908
Exp3_S11,10,far,mid,mid,2.5,71.1110395238321
Exp3_S11,11,far,mid,mid,1.25,97.0964150640371
Exp3_S11,12,far,mid,mid,0.625,66.5265218142865
Exp3_S11,13,mid,no flankers,mid,Inf,20.4096518170921
Exp3_S11,14,near,no flankers,mid,Inf,17.669675862948
Exp3_S11,15,far,no flankers,mid,Inf,62.3255869966639
Exp3_S12,1,mid,mid,mid,5,15.6197235794104
Exp3_S12,2,mid,mid,mid,2.5,13.4659817072162
Exp3_S12,3,mid,mid,mid,1.25,11.5022294584047
Exp3_S12,4,mid,mid,mid,0.625,10.7657351351368
Exp3_S12,5,near,mid,mid,5,13.0956432844826
Exp3_S12,6,near,mid,mid,2.5,15.5324531884639
Exp3_S12,7,near,mid,mid,1.25,16.0776646201312
Exp3_S12,8,near,mid,mid,0.625,45.1025743524525
Exp3_S12,9,far,mid,mid,5,21.5474162577291
Exp3_S12,10,far,mid,mid,2.5,57.5772269297561
Exp3_S12,11,far,mid,mid,1.25,44.4734671086994
Exp3_S12,12,far,mid,mid,0.625,49.3466048500163
Exp3_S12,13,mid,no flankers,mid,Inf,19.416537711118
