ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp2_S10,1,near,mid,near,5,6,4,0,0,0,55.5145322481326
Exp2_S10,2,near,mid,near,2.5,6,4,0,0,0,27.3361752867479
Exp2_S10,3,near,mid,near,1.25,4,6,0,0,0,47.7185698049235
Exp2_S10,4,near,mid,near,0.625,5,5,0,0,0,38.3129922609103
Exp2_S10,5,near,far,near,5,8,2,0,0,0,14.4484295049074
Exp2_S10,6,near,far,near,2.5,7,3,0,0,0,10.7069749420795
Exp2_S10,7,near,far,near,1.25,1,9,0,0,0,67.2153483900022
Exp2_S10,8,near,far,near,0.625,2,8,0,0,0,90.9147682511693
Exp2_S10,9,near,near,near,5,9,1,0,0,0,14.3363862604693
Exp2_S10,10,near,near,near,2.5,10,0,0,0,0,16.6695152730108
Exp2_S10,11,near,near,near,1.25,10,0,0,0,0,40.1104619274745
Exp2_S10,12,near,near,near,0.625,10,0,0,0,0,41.6710289240808
Exp2_S10,13,far,mid,far,5,9,0,0,0,1,23.1840380398764
Exp2_S10,14,far,mid,far,2.5,3,7,0,0,0,26.9712752609615
Exp2_S10,15,far,mid,far,1.25,4,6,0,0,0,48.0652301982411
Exp2_S10,16,far,mid,far,0.625,4,6,0,0,0,66.6018511919717
Exp2_S10,17,far,near,far,5,10,0,0,0,0,22.771348741119
Exp2_S10,18,far,near,far,2.5,9,1,0,0,0,12.472447330245
Exp2_S10,19,far,near,far,1.25,4,6,0,0,0,14.5942775771315
Exp2_S10,20,far,near,far,0.625,1,3,6,0,0,54.7598457891045
Exp2_S10,21,far,far,far,5,10,0,0,0,0,21.3911716890073
Exp2_S10,22,far,far,far,2.5,9,0,1,0,0,27.000131748814
Exp2_S10,23,far,far,far,1.25,10,0,0,0,0,47.6022888786695
Exp2_S10,24,far,far,far,0.625,9,1,0,0,0,45.9064015646861
Exp2_S10,25,near,no flankers,near,Inf,1,0,0,0,9,15.3641508963339
Exp2_S10,26,far,no flankers,far,Inf,1,0,0,0,9,19.0623542714937
Exp2_S11,1,near,mid,near,5,10,0,0,0,0,28.6882247520381
