"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_S15",10,238,215.163480341434,"far","far","far",2.5,1,1
"Exp5_S15",1,8,354.063362121582,"mid","mid","mid",5,1,2
"Exp5_S15",13,8,0,"mid","no flankers","mid",Inf,1,3
"Exp5_S15",2,293,309.633691847324,"mid","mid","mid",2.5,1,4
"Exp5_S15",13,295,291.121315002441,"mid","no flankers","mid",Inf,2,5
"Exp5_S15",5,62,69.0287176445127,"near","near","near",5,1,6
"Exp5_S15",4,78,80.3995261192322,"mid","mid","mid",0.625,1,7
"Exp5_S15",14,222,227.764323033392,"near","no flankers","near",Inf,1,8
"Exp5_S15",11,228,230.149535506964,"far","far","far",1.25,1,9
"Exp5_S15",3,162,149.33308839798,"mid","mid","mid",1.25,1,10
"Exp5_S15",4,179,174.283620357513,"mid","mid","mid",0.625,2,11
"Exp5_S15",5,194,202.954024747014,"near","near","near",5,2,12
"Exp5_S15",15,118,133.360399544239,"far","no flankers","far",Inf,1,13
"Exp5_S15",6,44,63.5115301609039,"near","near","near",2.5,1,14
"Exp5_S15",11,210,222.135586760938,"far","far","far",1.25,2,15
"Exp5_S15",15,278,286.141856923699,"far","no flankers","far",Inf,2,16
"Exp5_S15",11,145,133.292784422636,"far","far","far",1.25,3,17
"Exp5_S15",2,134,119.487634778023,"mid","mid","mid",2.5,2,18
"Exp5_S15",7,311,303.66106402874,"near","near","near",1.25,1,19
"Exp5_S15",15,330,307.106308341026,"far","no flankers","far",Inf,3,20
"Exp5_S15",4,30,41.9613575935364,"mid","mid","mid",0.625,3,21
"Exp5_S15",12,63,58.5824327021837,"far","far","far",0.625,1,22
"Exp5_S15",7,31,42.8333330154419,"near","near","near",1.25,2,23
"Exp5_S15",9,347,305.562560588121,"far","far","far",5,1,24
"Exp5_S15",4,315,308.39953327179,"mid","mid","mid",0.625,4,25
"Exp5_S15",3,112,124.415775299072,"mid","mid","mid",1.25,2,26
"Exp5_S15",9,13,26.5932655334473,"far","far","far",5,2,27
"Exp5_S15",3,34,33.1707888543606,"mid","mid","mid",1.25,3,28
"Exp5_S15",12,252,238.929244935513,"far","far","far",0.625,2,29
"Exp5_S15",10,283,284.505401551723,"far","far","far",2.5,2,30
"Exp5_S15",5,259,257.086149692535,"near","near","near",5,3,31
"Exp5_S15",11,18,29.0108013153076,"far","far","far",1.25,4,32
"Exp5_S15",9,186,159.223423808813,"far","far","far",5,3,33
"Exp5_S15",12,341,303.395952820778,"far","far","far",0.625,3,34
