"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_S2",13,16,23.881655216217,"mid","no flankers","mid",Inf,1,1
"Exp5_S2",10,190,218.779718145728,"far","far","far",2.5,1,2
"Exp5_S2",14,259,238.086297765374,"near","no flankers","near",Inf,1,3
"Exp5_S2",13,344,0,"mid","no flankers","mid",Inf,2,4
"Exp5_S2",8,172,150.471207424998,"near","near","near",0.625,1,5
"Exp5_S2",8,78,101.258593797684,"near","near","near",0.625,2,6
"Exp5_S2",11,191,165.875215895474,"far","far","far",1.25,1,7
"Exp5_S2",3,341,340.763306856155,"mid","mid","mid",1.25,1,8
"Exp5_S2",2,99,88.9038562774658,"mid","mid","mid",2.5,1,9
"Exp5_S2",7,181,2.08035469055176,"near","near","near",1.25,1,10
"Exp5_S2",12,277,257.486926794052,"far","far","far",0.625,1,11
"Exp5_S2",10,153,124.012198448181,"far","far","far",2.5,2,12
"Exp5_S2",8,2,0.948218792676926,"near","near","near",0.625,3,13
"Exp5_S2",2,228,221.085018157959,"mid","mid","mid",2.5,2,14
"Exp5_S2",2,50,63.8284277915955,"mid","mid","mid",2.5,3,15
"Exp5_S2",12,121,105.961293816566,"far","far","far",0.625,2,16
"Exp5_S2",13,291,267.851400375366,"mid","no flankers","mid",Inf,3,17
"Exp5_S2",15,235,240.311258286238,"far","no flankers","far",Inf,1,18
"Exp5_S2",2,29,62.4607534408569,"mid","mid","mid",2.5,4,19
"Exp5_S2",14,279,270.678172111511,"near","no flankers","near",Inf,2,20
"Exp5_S2",6,39,56.3678020238876,"near","near","near",2.5,1,21
"Exp5_S2",1,63,54.7529671192169,"mid","mid","mid",5,1,22
"Exp5_S2",9,128,127.978393793106,"far","far","far",5,1,23
"Exp5_S2",7,321,304.522987067699,"near","near","near",1.25,2,24
"Exp5_S2",2,298,303.19455909729,"mid","mid","mid",2.5,5,25
"Exp5_S2",13,272,264.559172391891,"mid","no flankers","mid",Inf,4,26
"Exp5_S2",1,265,270.678270369768,"mid","mid","mid",5,2,27
"Exp5_S2",9,153,137.389693498611,"far","far","far",5,2,28
"Exp5_S2",9,121,146.084696769714,"far","far","far",5,3,29
"Exp5_S2",6,358,51.2987604141235,"near","near","near",2.5,2,30
"Exp5_S2",11,226,242.662602901459,"far","far","far",1.25,2,31
"Exp5_S2",4,224,235.957855224609,"mid","mid","mid",0.625,1,32
"Exp5_S2",6,264,249,"near","near","near",2.5,3,33
"Exp5_S2",5,192,180.281516551971,"near","near","near",5,1,34
"Exp5_S2",2,244,248.182689726353,"mid","mid","mid",2.5,6,35
"Exp5_S2",3,76,94.3121359348297,"mid","mid","mid",1.25,2,36
"Exp5_S2",8,189,218.350686229765,"near","near","near",0.625,4,37
"Exp5_S2",4,313,309.01263999939,"mid","mid","mid",0.625,2,38
"Exp5_S2",5,320,304.396662265062,"near","near","near",5,2,39
"Exp5_S2",10,192,222.066223017871,"far","far","far",2.5,3,40
"Exp5_S2",8,188,174.706888973713,"near","near","near",0.625,5,41
"Exp5_S2",2,66,47.8713092207909,"mid","mid","mid",2.5,7,42
"Exp5_S2",9,203,207.702682971954,"far","far","far",5,4,43
"Exp5_S2",4,169,178.473379135132,"mid","mid","mid",0.625,3,44
"Exp5_S2",4,169,179.419379293919,"mid","mid","mid",0.625,4,45
"Exp5_S2",12,252,228.773446530104,"far","far","far",0.625,3,46
"Exp5_S2",15,346,359.805835723877,"far","no flankers","far",Inf,2,47
"Exp5_S2",7,230,242.316011428833,"near","near","near",1.25,3,48
"Exp5_S2",5,177,179.183901011944,"near","near","near",5,3,49
"Exp5_S2",1,279,268.345458984375,"mid","mid","mid",5,3,50
"Exp5_S2",9,295,261.890553504229,"far","far","far",5,5,51
"Exp5_S2",6,97,90.6952962875366,"near","near","near",2.5,4,52
"Exp5_S2",10,65,93.5423483848572,"far","far","far",2.5,4,53
"Exp5_S2",15,52,62.4451293945312,"far","no flankers","far",Inf,3,54
"Exp5_S2",14,307,298.442493915558,"near","no flankers","near",Inf,3,55
"Exp5_S2",6,160,159.080354355276,"near","near","near",2.5,5,56
"Exp5_S2",13,27,50.9245536327362,"mid","no flankers","mid",Inf,5,57
"Exp5_S2",10,125,131.625655397773,"far","far","far",2.5,5,58
"Exp5_S2",15,228,238.146391987801,"far","no flankers","far",Inf,4,59
