"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_S12",14,25,40.7298090457916,"near","no flankers","near",Inf,1,1
"Exp5_S12",8,238,213.655259862542,"near","near","near",0.625,1,2
"Exp5_S12",14,51,40.6147843599319,"near","no flankers","near",Inf,2,3
"Exp5_S12",11,239,103.164863839746,"far","far","far",1.25,1,4
"Exp5_S12",15,351,317.90135884285,"far","no flankers","far",Inf,1,5
"Exp5_S12",13,141,130.768916130066,"mid","no flankers","mid",Inf,1,6
"Exp5_S12",10,293,301.784243822098,"far","far","far",2.5,1,7
"Exp5_S12",6,276,274.810294151306,"near","near","near",2.5,1,8
"Exp5_S12",13,139,151.306020736694,"mid","no flankers","mid",Inf,2,9
"Exp5_S12",13,146,117.244981527328,"mid","no flankers","mid",Inf,3,10
"Exp5_S12",15,329,306.619375288486,"far","no flankers","far",Inf,2,11
"Exp5_S12",2,357,321.975273132324,"mid","mid","mid",2.5,1,12
"Exp5_S12",4,331,147.959031105042,"mid","mid","mid",0.625,1,13
"Exp5_S12",12,242,91.4189624190331,"far","far","far",0.625,1,14
"Exp5_S12",4,216,67.8786635398865,"mid","mid","mid",0.625,2,15
"Exp5_S12",7,70,66.4655685424805,"near","near","near",1.25,1,16
"Exp5_S12",10,39,321.12477684021,"far","far","far",2.5,2,17
"Exp5_S12",7,261,231.89094543457,"near","near","near",1.25,2,18
"Exp5_S12",14,235,235.321828782558,"near","no flankers","near",Inf,3,19
"Exp5_S12",11,269,62.8567457199097,"far","far","far",1.25,2,20
"Exp5_S12",9,250,209.916691422462,"far","far","far",5,1,21
"Exp5_S12",6,331,305.781721003354,"near","near","near",2.5,2,22
"Exp5_S12",3,280,286.641435623169,"mid","mid","mid",1.25,1,23
"Exp5_S12",9,125,146.254090309143,"far","far","far",5,2,24
"Exp5_S12",11,291,306.225145161152,"far","far","far",1.25,3,25
"Exp5_S12",12,123,125.301848292351,"far","far","far",0.625,2,26
"Exp5_S12",1,141,135.107418686152,"mid","mid","mid",5,1,27
"Exp5_S12",1,43,37.0247322320938,"mid","mid","mid",5,2,28
"Exp5_S12",2,329,310.867845058441,"mid","mid","mid",2.5,2,29
"Exp5_S12",9,122,147.471589073539,"far","far","far",5,3,30
