"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp3_S11",8,28,38.258895277977,"near","mid","mid",0.625,1,1,"target outside ring"
"Exp3_S11",4,196,203.636026382446,"mid","mid","mid",0.625,1,2,"target not in center of ring"
"Exp3_S11",4,225,234.489971101284,"mid","mid","mid",0.625,2,3,"target in center of ring"
"Exp3_S11",4,156,190.980680584908,"mid","mid","mid",0.625,3,4,"target in center of ring"
"Exp3_S11",2,271,296.057952880859,"mid","mid","mid",2.5,1,5,"target in center of ring"
"Exp3_S11",11,334,33.3222627639771,"far","mid","mid",1.25,1,6,"target in center of ring"
"Exp3_S11",6,272,222.148393392563,"near","mid","mid",2.5,1,7,"target outside ring"
"Exp3_S11",14,128,113.542513847351,"near","no flankers","mid",Inf,1,8,"target outside ring"
"Exp3_S11",7,229,219.680063724518,"near","mid","mid",1.25,1,9,"target outside ring"
"Exp3_S11",6,164,236.809892177582,"near","mid","mid",2.5,2,10,"target outside ring"
"Exp3_S11",10,278,87.6252007484436,"far","mid","mid",2.5,1,11,"target in center of ring"
"Exp3_S11",13,168,215.561831474304,"mid","no flankers","mid",Inf,1,12,"unsure or no ring"
"Exp3_S11",3,117,122.482220172882,"mid","mid","mid",1.25,1,13,"target in center of ring"
"Exp3_S11",8,49,32.0881032943726,"near","mid","mid",0.625,2,14,"target outside ring"
"Exp3_S11",9,56,47,"far","mid","mid",5,1,15,"target in center of ring"
"Exp3_S11",2,171,183.889489173889,"mid","mid","mid",2.5,2,16,"target in center of ring"
"Exp3_S11",14,66,54.3029415607452,"near","no flankers","mid",Inf,2,17,"unsure or no ring"
"Exp3_S11",13,33,53.9698549509048,"mid","no flankers","mid",Inf,2,18,"unsure or no ring"
"Exp3_S11",3,49,37.0247411727905,"mid","mid","mid",1.25,2,19,"target in center of ring"
"Exp3_S11",10,74,60.4737424850464,"far","mid","mid",2.5,2,20,"target in center of ring"
"Exp3_S11",4,198,245.597401857376,"mid","mid","mid",0.625,4,21,"target in center of ring"
"Exp3_S11",12,201,275.236507415771,"far","mid","mid",0.625,1,22,"target in center of ring"
"Exp3_S11",7,353,316.391041278839,"near","mid","mid",1.25,2,23,"target outside ring"
"Exp3_S11",7,272,50.6004595756531,"near","mid","mid",1.25,3,24,"target outside ring"
"Exp3_S11",6,52,321.275144457817,"near","mid","mid",2.5,3,25,"ring obstructs target"
"Exp3_S11",15,260,229.969856739044,"far","no flankers","mid",Inf,1,26,"unsure or no ring"
"Exp3_S11",2,326,315.944373607635,"mid","mid","mid",2.5,3,27,"target in center of ring"
"Exp3_S11",11,133,291.820717811584,"far","mid","mid",1.25,2,28,"target in center of ring"
"Exp3_S11",5,313,309.151472121477,"near","mid","mid",5,1,29,"target not in center of ring"
"Exp3_S11",12,80,98.9752713441849,"far","mid","mid",0.625,2,30,"target in center of ring"
"Exp3_S11",14,104,122.980680584908,"near","no flankers","mid",Inf,3,31,"unsure or no ring"
"Exp3_S11",4,43,83.9227223396301,"mid","mid","mid",0.625,5,32,"target not in center of ring"
"Exp3_S11",4,315,121.58114284277,"mid","mid","mid",0.625,6,33,"target in center of ring"
"Exp3_S11",1,53,49.3663144111633,"mid","mid","mid",5,1,34,"target in center of ring"
"Exp3_S11",9,107,126.917313098907,"far","mid","mid",5,2,35,"target in center of ring"
"Exp3_S11",10,43,244.363222718239,"far","mid","mid",2.5,3,36,"target in center of ring"
"Exp3_S11",9,250,223.66925239563,"far","mid","mid",5,3,37,"target in center of ring"
"Exp3_S11",15,244,232.884094238281,"far","no flankers","mid",Inf,2,38,"unsure or no ring"
"Exp3_S11",11,18,246.908821552992,"far","mid","mid",1.25,3,39,"target not in center of ring"
"Exp3_S11",5,291,262.875593304634,"near","mid","mid",5,2,40,"ring obstructs target"
"Exp3_S11",15,287,291.878677845001,"far","no flankers","mid",Inf,3,41,"unsure or no ring"
"Exp3_S11",8,231,221.5811419487,"near","mid","mid",0.625,3,42,"target outside ring"
"Exp3_S11",5,280,240,"near","mid","mid",5,3,43,"ring obstructs target"
"Exp3_S11",10,86,172.248067855835,"far","mid","mid",2.5,4,44,"target in center of ring"
"Exp3_S11",11,101,199.357822418213,"far","mid","mid",1.25,4,45,"target in center of ring"
"Exp3_S11",9,178,223.371725440025,"far","mid","mid",5,4,46,"target in center of ring"
"Exp3_S11",8,173,0,"near","mid","mid",0.625,4,47,"ring obstructs target"
