"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp3_S8",5,0,346.470637381077,"near","mid","mid",5,1,1,"target in center of ring"
"Exp3_S8",10,18,305.931214332581,"far","mid","mid",2.5,1,2,"target not in center of ring"
"Exp3_S8",4,277,266.438172101974,"mid","mid","mid",0.625,1,3,"target in center of ring"
"Exp3_S8",5,5,143.02240216732,"near","mid","mid",5,2,4,"ring obstructs target"
"Exp3_S8",8,229,206.074193567038,"near","mid","mid",0.625,1,5,"target not in center of ring"
"Exp3_S8",11,359,69.1128301620483,"far","mid","mid",1.25,1,6,"target not in center of ring"
"Exp3_S8",14,103,95.0301432609558,"near","no flankers","mid",Inf,1,7,"unsure or no ring"
"Exp3_S8",13,211,220.774339675903,"mid","no flankers","mid",Inf,1,8,"unsure or no ring"
"Exp3_S8",7,183,122.46289896965,"near","mid","mid",1.25,1,9,"ring obstructs target"
"Exp3_S8",1,114,126.013906598091,"mid","mid","mid",5,1,10,"target in center of ring"
"Exp3_S8",14,212,207.044049859047,"near","no flankers","mid",Inf,2,11,"unsure or no ring"
"Exp3_S8",6,3,357.76585483551,"near","mid","mid",2.5,1,12,"unsure or no ring"
"Exp3_S8",2,123,135.617450714111,"mid","mid","mid",2.5,1,13,"target in center of ring"
"Exp3_S8",12,310,310.86784863472,"far","mid","mid",0.625,1,14,"target in center of ring"
"Exp3_S8",9,224,215.873261451721,"far","mid","mid",5,1,15,"target in center of ring"
"Exp3_S8",3,79,62.9420614242554,"mid","mid","mid",1.25,1,16,"target not in center of ring"
"Exp3_S8",11,203,218.306010007858,"far","mid","mid",1.25,2,17,"target not in center of ring"
"Exp3_S8",12,150,136.991500854492,"far","mid","mid",0.625,2,18,"target not in center of ring"
"Exp3_S8",5,25,51.1406469345093,"near","mid","mid",5,3,19,"target in center of ring"
"Exp3_S8",8,336,320.440503954887,"near","mid","mid",0.625,2,20,"ring obstructs target"
"Exp3_S8",15,13,44.4296836853027,"far","no flankers","mid",Inf,1,21,"unsure or no ring"
"Exp3_S8",10,315,315.80447936058,"far","mid","mid",2.5,2,22,"target not in center of ring"
"Exp3_S8",15,247,222.84544467926,"far","no flankers","mid",Inf,2,23,"unsure or no ring"
"Exp3_S8",7,127,121.170788854361,"near","mid","mid",1.25,2,24,"target not in center of ring"
"Exp3_S8",2,90,91.6143715381622,"mid","mid","mid",2.5,2,25,"target in center of ring"
"Exp3_S8",2,83,88.719465970993,"mid","mid","mid",2.5,3,26,"target in center of ring"
"Exp3_S8",1,304,307.165370225906,"mid","mid","mid",5,2,27,"target in center of ring"
"Exp3_S8",8,73,137.595053911209,"near","mid","mid",0.625,3,28,"target outside ring"
"Exp3_S8",7,296,312.319174647331,"near","mid","mid",1.25,3,29,"target outside ring"
"Exp3_S8",3,152,141.788240909576,"mid","mid","mid",1.25,2,30,"target in center of ring"
"Exp3_S8",4,289,297.795990943909,"mid","mid","mid",0.625,2,31,"unsure or no ring"
"Exp3_S8",12,155,265.204009056091,"far","mid","mid",0.625,3,32,"ring obstructs target"
"Exp3_S8",5,82,48.1321522593498,"near","mid","mid",5,4,33,"target outside ring"
"Exp3_S8",13,355,325.1622838974,"mid","no flankers","mid",Inf,2,34,"unsure or no ring"
"Exp3_S8",6,0,0,"near","mid","mid",2.5,2,35,"unsure or no ring"
"Exp3_S8",2,53,51.8346405029297,"mid","mid","mid",2.5,4,36,"target in center of ring"
"Exp3_S8",1,220,221.352398872375,"mid","mid","mid",5,3,37,"target in center of ring"
"Exp3_S8",1,80,54.3029415607452,"mid","mid","mid",5,4,38,"target in center of ring"
"Exp3_S8",15,19,43.1955313682556,"far","no flankers","mid",Inf,3,39,"unsure or no ring"
"Exp3_S8",7,333,299.129073083401,"near","mid","mid",1.25,4,40,"target outside ring"
"Exp3_S8",1,271,313.336167573929,"mid","mid","mid",5,5,41,"target outside ring"
"Exp3_S8",3,211,223.47913607955,"mid","mid","mid",1.25,3,42,"target not in center of ring"
"Exp3_S8",12,20,41.961350440979,"far","mid","mid",0.625,4,43,"target not in center of ring"
"Exp3_S8",8,286,308.39953148365,"near","mid","mid",0.625,4,44,"target outside ring"
"Exp3_S8",9,46,49.366307258606,"far","mid","mid",5,2,45,"target not in center of ring"
"Exp3_S8",12,161,125.744192838669,"far","mid","mid",0.625,5,46,"target not in center of ring"
"Exp3_S8",13,190,217.211762666702,"mid","no flankers","mid",Inf,3,47,"unsure or no ring"
"Exp3_S8",11,21,35.7905745506287,"far","mid","mid",1.25,3,48,"unsure or no ring"
"Exp3_S8",4,264,266.024730443954,"mid","mid","mid",0.625,3,49,"target in center of ring"
"Exp3_S8",15,43,43.1955099105835,"far","no flankers","mid",Inf,4,50,"unsure or no ring"
"Exp3_S8",1,238,224.476800203323,"mid","mid","mid",5,6,51,"unsure or no ring"
"Exp3_S8",6,100,129.446652472019,"near","mid","mid",2.5,3,52,"target in center of ring"
"Exp3_S8",5,14,40.7465229034424,"near","mid","mid",5,5,53,"target in center of ring"
"Exp3_S8",5,189,206.545591235161,"near","mid","mid",5,6,54,"target not in center of ring"
"Exp3_S8",5,101,133.848527431488,"near","mid","mid",5,7,55,"target in center of ring"
"Exp3_S8",13,122,124.649949073792,"mid","no flankers","mid",Inf,4,56,"unsure or no ring"
"Exp3_S8",3,297,297.473728179932,"mid","mid","mid",1.25,4,57,"target in center of ring"
"Exp3_S8",3,110,127.19552063942,"mid","mid","mid",1.25,5,58,"target in center of ring"
"Exp3_S8",10,315,309.633692741394,"far","mid","mid",2.5,3,59,"target in center of ring"
"Exp3_S8",14,180,179.605890274048,"near","no flankers","mid",Inf,3,60,"unsure or no ring"
"Exp3_S8",4,31,63.1901078224182,"mid","mid","mid",0.625,4,61,"target in center of ring"
"Exp3_S8",9,97,124.649941921234,"far","mid","mid",5,3,62,"target not in center of ring"
"Exp3_S8",5,70,45.6638431549072,"near","mid","mid",5,8,63,"target outside ring"
"Exp3_S8",12,189,212.454411447048,"far","mid","mid",0.625,6,64,"ring obstructs target"
"Exp3_S8",1,323,313.834626197815,"mid","mid","mid",5,7,65,"target in center of ring"
"Exp3_S8",12,90,74.3856284618378,"far","mid","mid",0.625,7,66,"target in center of ring"
"Exp3_S8",6,44,59.1267385482788,"near","mid","mid",2.5,4,67,"target outside ring"
"Exp3_S8",5,0,35.7905673980713,"near","mid","mid",5,9,68,"target not in center of ring"
"Exp3_S8",11,186,333.088099271059,"far","mid","mid",1.25,4,69,"target not in center of ring"
"Exp3_S8",6,118,118.6723279953,"near","mid","mid",2.5,5,70,"ring obstructs target"
"Exp3_S8",8,65,102.295187950134,"near","mid","mid",0.625,5,71,"target outside ring"
"Exp3_S8",9,121,118.339237809181,"far","mid","mid",5,4,72,"target outside ring"
"Exp3_S8",9,298,312.102011680603,"far","mid","mid",5,5,73,"target in center of ring"
"Exp3_S8",11,102,124.649931192398,"far","mid","mid",1.25,5,74,"target not in center of ring"
"Exp3_S8",2,118,119.713296890259,"mid","mid","mid",2.5,5,75,"target in center of ring"
"Exp3_S8",7,257,327.553332328796,"near","mid","mid",1.25,5,76,"target in center of ring"
"Exp3_S8",1,320,322.391041278839,"mid","mid","mid",5,8,77,"target in center of ring"
"Exp3_S8",12,353,349.126738995314,"far","mid","mid",0.625,8,78,"target not in center of ring"
"Exp3_S8",13,187,187.727205276489,"mid","no flankers","mid",Inf,5,79,"unsure or no ring"
"Exp3_S8",2,45,46.8980026245117,"mid","mid","mid",2.5,6,80,"target in center of ring"
"Exp3_S8",6,335,325.903404712677,"near","mid","mid",2.5,6,81,"target not in center of ring"
"Exp3_S8",11,97,304.697054862976,"far","mid","mid",1.25,6,82,"target in center of ring"
"Exp3_S8",9,224,220.936630725861,"far","mid","mid",5,6,83,"target not in center of ring"
"Exp3_S8",15,124,123.966773986816,"far","no flankers","mid",Inf,5,84,"unsure or no ring"
"Exp3_S8",14,235,222.00849199295,"near","no flankers","mid",Inf,4,85,"unsure or no ring"
"Exp3_S8",5,103,134.383291244507,"near","mid","mid",5,10,86,"target not in center of ring"
"Exp3_S8",12,151,130.820721387863,"far","mid","mid",0.625,9,87,"target in center of ring"
"Exp3_S8",13,189,180.302946925163,"mid","no flankers","mid",Inf,6,88,"unsure or no ring"
"Exp3_S8",8,70,50.6004738807678,"near","mid","mid",0.625,6,89,"target outside ring"
"Exp3_S8",3,18,41.961350440979,"mid","mid","mid",1.25,6,90,"unsure or no ring"
"Exp3_S8",10,241,221.889489173889,"far","mid","mid",2.5,4,91,"unsure or no ring"
"Exp3_S8",7,239,214.743440151215,"near","mid","mid",1.25,6,92,"target not in center of ring"
"Exp3_S8",14,248,209.448997288942,"near","no flankers","mid",Inf,5,93,"unsure or no ring"
"Exp3_S8",2,73,54.3029165267944,"mid","mid","mid",2.5,7,94,"target in center of ring"
"Exp3_S8",15,338,300.002347946167,"far","no flankers","mid",Inf,6,95,"unsure or no ring"
"Exp3_S8",2,52,56.1267385482788,"mid","mid","mid",2.5,8,96,"target in center of ring"
"Exp3_S8",6,324,317.038637042046,"near","mid","mid",2.5,7,97,"target outside ring"
"Exp3_S8",11,246,224.063369274139,"far","mid","mid",1.25,7,98,"ring obstructs target"
"Exp3_S8",1,197,194.996920824051,"mid","mid","mid",5,9,99,"target not in center of ring"
"Exp3_S8",7,300,314.616723060608,"near","mid","mid",1.25,7,100,"target not in center of ring"
"Exp3_S8",8,35,41.961350440979,"near","mid","mid",0.625,7,101,"ring obstructs target"
"Exp3_S8",8,292,311.630602836609,"near","mid","mid",0.625,8,102,"target outside ring"
"Exp3_S8",4,3,357.765844106674,"mid","mid","mid",0.625,5,103,"target in center of ring"
"Exp3_S8",8,224,196.231074929237,"near","mid","mid",0.625,9,104,"unsure or no ring"
"Exp3_S8",11,145,146.727205276489,"far","mid","mid",1.25,8,105,"ring obstructs target"
"Exp3_S8",14,243,227.829211145639,"near","no flankers","mid",Inf,6,106,"unsure or no ring"
"Exp3_S8",3,254,207.338511943817,"mid","mid","mid",1.25,7,107,"target in center of ring"
"Exp3_S8",13,233,231.429672956467,"mid","no flankers","mid",Inf,7,108,"unsure or no ring"
"Exp3_S8",10,119,70.3469932079315,"far","mid","mid",2.5,5,109,"target in center of ring"
"Exp3_S8",13,168,135.374797463417,"mid","no flankers","mid",Inf,8,110,"unsure or no ring"
"Exp3_S8",9,333,307.42967697978,"far","mid","mid",5,7,111,"target in center of ring"
"Exp3_S8",15,224,215.977599620819,"far","no flankers","mid",Inf,7,112,"unsure or no ring"
"Exp3_S8",10,28,45.6638360023499,"far","mid","mid",2.5,6,113,"unsure or no ring"
"Exp3_S8",7,2,318.66383600235,"near","mid","mid",1.25,8,114,"target outside ring"
"Exp3_S8",10,347,319.506947040558,"far","mid","mid",2.5,7,115,"target outside ring"
"Exp3_S8",2,68,45.663857460022,"mid","mid","mid",2.5,9,116,"target in center of ring"
"Exp3_S8",4,253,239.286701321602,"mid","mid","mid",0.625,6,117,"target in center of ring"
