"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp2_S12",9,347,341.275851964951,"near","near","near",5,1,1,"target in center of ring"
"Exp2_S12",3,340,339.79883992672,"near","mid","near",1.25,1,2,"target in center of ring"
"Exp2_S12",22,357,350.135587096214,"far","far","far",2.5,1,3,"target in center of ring"
"Exp2_S12",23,135,60.1509304046631,"far","far","far",1.25,1,4,"target not in center of ring"
"Exp2_S12",17,329,317.901362419128,"far","near","far",5,1,5,"target in center of ring"
"Exp2_S12",16,234,98.9522491693497,"far","mid","far",0.625,1,6,"unsure or no ring"
"Exp2_S12",18,71,58.8274812698364,"far","near","far",2.5,1,7,"target in center of ring"
"Exp2_S12",5,336,330.936769485474,"near","far","near",5,1,8,"target in center of ring"
"Exp2_S12",2,41,48.7414169311523,"near","mid","near",2.5,1,9,"target in center of ring"
"Exp2_S12",21,207,142.322062730789,"far","far","far",5,1,10,"target in center of ring"
"Exp2_S12",12,228,45.7873821258545,"near","near","near",0.625,1,11,"target in center of ring"
"Exp2_S12",6,176,203.913702011108,"near","far","near",2.5,1,12,"target in center of ring"
"Exp2_S12",20,195,317.901355266571,"far","near","far",0.625,1,13,"target outside ring"
"Exp2_S12",17,100,123.542348384857,"far","near","far",5,2,14,"target in center of ring"
"Exp2_S12",25,294,281.321828000247,"near","no flankers","near",Inf,1,15,"unsure or no ring"
"Exp2_S12",13,272,224.422099232674,"far","mid","far",5,1,16,"target in center of ring"
"Exp2_S12",17,125,128.936920166016,"far","near","far",5,3,17,"target not in center of ring"
"Exp2_S12",6,126,128.500084877014,"near","far","near",2.5,2,18,"target in center of ring"
"Exp2_S12",24,56,70.915299654007,"far","far","far",0.625,1,19,"target in center of ring"
"Exp2_S12",20,153,78.4175664037466,"far","near","far",0.625,2,20,"target in center of ring"
"Exp2_S12",22,208,227.645515441895,"far","far","far",2.5,2,21,"target in center of ring"
"Exp2_S12",12,350,1.47701740264893,"near","near","near",0.625,2,22,"target in center of ring"
"Exp2_S12",13,267,309.036954879761,"far","mid","far",5,2,23,"target in center of ring"
"Exp2_S12",18,253,266.326599359512,"far","near","far",2.5,2,24,"target in center of ring"
