"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp2_S17",20,162,173.65318441391,"far","near","far",0.625,1,1,"target not in center of ring"
"Exp2_S17",1,4,47.2643852233887,"near","mid","near",5,1,2,"target in center of ring"
"Exp2_S17",17,71,78.1680250167847,"far","near","far",5,1,3,"target in center of ring"
"Exp2_S17",16,148,276.802724838257,"far","mid","far",0.625,1,4,"target not in center of ring"
"Exp2_S17",21,74,107.984669208527,"far","far","far",5,1,5,"target in center of ring"
"Exp2_S17",12,144,155.086297988892,"near","near","near",0.625,1,6,"target in center of ring"
"Exp2_S17",2,191,199.482656955719,"near","mid","near",2.5,1,7,"target in center of ring"
"Exp2_S17",9,225,221.637850046158,"near","near","near",5,1,8,"target in center of ring"
"Exp2_S17",13,49,103.955383300781,"far","mid","far",5,1,9,"target in center of ring"
"Exp2_S17",18,327,321.930637598038,"far","near","far",2.5,1,10,"target in center of ring"
"Exp2_S17",5,283,305.827545166016,"near","far","near",5,1,11,"target in center of ring"
"Exp2_S17",17,4,339.659470558167,"far","near","far",5,2,12,"target in center of ring"
"Exp2_S17",19,255,210.328341722488,"far","near","far",1.25,1,13,"target not in center of ring"
"Exp2_S17",1,217,177.327488899231,"near","mid","near",5,2,14,"target in center of ring"
"Exp2_S17",18,38,45.9337717294693,"far","near","far",2.5,2,15,"target in center of ring"
"Exp2_S17",7,283,279.241317749023,"near","far","near",1.25,1,16,"target not in center of ring"
"Exp2_S17",19,357,97.508533000946,"far","near","far",1.25,2,17,"ring obstructs target"
"Exp2_S17",19,90,217.90135884285,"far","near","far",1.25,3,18,"ring obstructs target"
"Exp2_S17",26,46,31.4283800125122,"far","no flankers","far",Inf,1,19,"ring obstructs target"
"Exp2_S17",6,283,82.7126884460449,"near","far","near",2.5,1,20,"target outside ring"
"Exp2_S17",20,314,167.206348419189,"far","near","far",0.625,2,21,"target outside ring"
"Exp2_S17",17,344,308.231090545654,"far","near","far",5,3,22,"ring obstructs target"
"Exp2_S17",4,177,187.580580711365,"near","mid","near",0.625,1,23,"target outside ring"
"Exp2_S17",17,198,242.268038272858,"far","near","far",5,4,24,"target not in center of ring"
"Exp2_S17",21,224,216.194144383073,"far","far","far",5,2,25,"target in center of ring"
"Exp2_S17",1,358,22.3390860557556,"near","mid","near",5,3,26,"target in center of ring"
"Exp2_S17",10,192,188.109210014343,"near","near","near",2.5,1,27,"target in center of ring"
"Exp2_S17",25,226,191.683973819017,"near","no flankers","near",Inf,1,28,"unsure or no ring"
"Exp2_S17",24,4,302.590097427368,"far","far","far",0.625,1,29,"target in center of ring"
"Exp2_S17",8,146,162.471349239349,"near","far","near",0.625,1,30,"target outside ring"
"Exp2_S17",12,340,346.988542199135,"near","near","near",0.625,2,31,"target in center of ring"
"Exp2_S17",11,43,67.9425716400146,"near","near","near",1.25,1,32,"target in center of ring"
"Exp2_S17",22,186,197.82887840271,"far","far","far",2.5,1,33,"target in center of ring"
"Exp2_S17",1,147,138.83914232254,"near","mid","near",5,4,34,"target not in center of ring"
"Exp2_S17",4,167,178.505728118122,"near","mid","near",0.625,2,35,"target outside ring"
"Exp2_S17",6,42,78.2816505432129,"near","far","near",2.5,2,36,"target not in center of ring"
"Exp2_S17",15,196,281.764371596277,"far","mid","far",1.25,1,37,"target not in center of ring"
"Exp2_S17",26,103,147.563959509134,"far","no flankers","far",Inf,2,38,"unsure or no ring"
"Exp2_S17",12,162,169.856414794922,"near","near","near",0.625,3,39,"target in center of ring"
"Exp2_S17",22,225,214.449987336993,"far","far","far",2.5,2,40,"target in center of ring"
"Exp2_S17",8,239,224.591874569654,"near","far","near",0.625,2,41,"target outside ring"
"Exp2_S17",25,162,150.862074017525,"near","no flankers","near",Inf,2,42,"unsure or no ring"
"Exp2_S17",11,201,201.103407636285,"near","near","near",1.25,2,43,"target in center of ring"
"Exp2_S17",12,31,310.258593797684,"near","near","near",0.625,4,44,"target in center of ring"
"Exp2_S17",17,123,259.901358731091,"far","near","far",5,5,45,"ring obstructs target"
"Exp2_S17",22,326,329.989195108414,"far","far","far",2.5,3,46,"target in center of ring"
"Exp2_S17",15,87,90.5454843044281,"far","mid","far",1.25,2,47,"target in center of ring"
"Exp2_S17",21,94,61.9675808548927,"far","far","far",5,3,48,"target in center of ring"
"Exp2_S17",22,261,128.131059408188,"far","far","far",2.5,4,49,"target in center of ring"
"Exp2_S17",2,82,84.9827418327332,"near","mid","near",2.5,2,50,"target in center of ring"
"Exp2_S17",13,52,53.1000204086304,"far","mid","far",5,2,51,"target in center of ring"
"Exp2_S17",2,299,314.689635276794,"near","mid","near",2.5,3,52,"target not in center of ring"
"Exp2_S17",22,291,279.220289230347,"far","far","far",2.5,5,53,"target in center of ring"
"Exp2_S17",22,120,148.27744603157,"far","far","far",2.5,6,54,"target in center of ring"
"Exp2_S17",5,105,102.448296964169,"near","far","near",5,2,55,"target outside ring"
"Exp2_S17",3,236,212.775777816772,"near","mid","near",1.25,1,56,"target not in center of ring"
"Exp2_S17",3,45,39.8793303966522,"near","mid","near",1.25,2,57,"ring obstructs target"
"Exp2_S17",2,90,105.67236995697,"near","mid","near",2.5,4,58,"target not in center of ring"
"Exp2_S17",6,269,304.350556373596,"near","far","near",2.5,3,59,"target not in center of ring"
"Exp2_S17",4,210,214.252780914307,"near","mid","near",0.625,3,60,"ring obstructs target"
"Exp2_S17",7,156,144.459753870964,"near","far","near",1.25,2,61,"ring obstructs target"
"Exp2_S17",14,302,5.64097881317139,"far","mid","far",2.5,1,62,"target not in center of ring"
"Exp2_S17",5,104,131.051781654358,"near","far","near",5,3,63,"target in center of ring"
"Exp2_S17",13,348,7.74415984004736,"far","mid","far",5,3,64,"target in center of ring"
"Exp2_S17",15,254,214.751829147339,"far","mid","far",1.25,3,65,"target not in center of ring"
"Exp2_S17",11,53,62.477012373507,"near","near","near",1.25,3,66,"target in center of ring"
"Exp2_S17",14,54,74.9445927143097,"far","mid","far",2.5,2,67,"target not in center of ring"
"Exp2_S17",12,358,11.8159382864833,"near","near","near",0.625,5,68,"target in center of ring"
"Exp2_S17",10,346,341.275862693787,"near","near","near",2.5,2,69,"target in center of ring"
"Exp2_S17",2,24,33.9712858200073,"near","mid","near",2.5,5,70,"target not in center of ring"
"Exp2_S17",1,191,134.40812587738,"near","mid","near",5,5,71,"target outside ring"
"Exp2_S17",2,122,146.224221289158,"near","mid","near",2.5,6,72,"target not in center of ring"
"Exp2_S17",6,295,285.14935874939,"near","far","near",2.5,4,73,"target not in center of ring"
"Exp2_S17",9,47,90.0977540016174,"near","near","near",5,2,74,"target in center of ring"
"Exp2_S17",16,214,216.637846246362,"far","mid","far",0.625,2,75,"target not in center of ring"
"Exp2_S17",19,27,57.2157669067383,"far","near","far",1.25,4,76,"target outside ring"
"Exp2_S17",26,228,220.392818689346,"far","no flankers","far",Inf,3,77,"unsure or no ring"
"Exp2_S17",26,156,182.123399376869,"far","no flankers","far",Inf,4,78,"unsure or no ring"
"Exp2_S17",22,116,130.497731909156,"far","far","far",2.5,7,79,"target in center of ring"
"Exp2_S17",19,298,299.465320140123,"far","near","far",1.25,5,80,"unsure or no ring"
"Exp2_S17",15,56,319.175670742989,"far","mid","far",1.25,4,81,"target in center of ring"
"Exp2_S17",19,252,223.967582195997,"far","near","far",1.25,6,82,"target outside ring"
"Exp2_S17",18,348,263.909024238586,"far","near","far",2.5,3,83,"target outside ring"
"Exp2_S17",11,220,205.930967330933,"near","near","near",1.25,4,84,"target in center of ring"
"Exp2_S17",23,215,239.02474167943,"far","far","far",1.25,1,85,"target in center of ring"
"Exp2_S17",4,37,96.005802154541,"near","mid","near",0.625,4,86,"target outside ring"
"Exp2_S17",18,342,41.9045162200928,"far","near","far",2.5,4,87,"target not in center of ring"
"Exp2_S17",8,174,178.522987626493,"near","far","near",0.625,3,88,"target outside ring"
"Exp2_S17",3,348,9.59768052399158,"near","mid","near",1.25,3,89,"target not in center of ring"
"Exp2_S17",21,82,62.4221001267433,"far","far","far",5,4,90,"target in center of ring"
"Exp2_S17",24,337,328.377482533455,"far","far","far",0.625,2,91,"target in center of ring"
"Exp2_S17",7,46,67.5575058609247,"near","far","near",1.25,3,92,"target outside ring"
"Exp2_S17",22,7,6.44685029983521,"far","far","far",2.5,8,93,"target in center of ring"
"Exp2_S17",12,276,264.385228157043,"near","near","near",0.625,6,94,"target in center of ring"
"Exp2_S17",9,227,214.442644000053,"near","near","near",5,3,95,"target in center of ring"
"Exp2_S17",26,1,348.523878097534,"far","no flankers","far",Inf,5,96,"unsure or no ring"
"Exp2_S17",23,53,61.9229686260223,"far","far","far",1.25,2,97,"target in center of ring"
"Exp2_S17",21,152,189.523875415325,"far","far","far",5,5,98,"target in center of ring"
"Exp2_S17",8,4,97.4828052520752,"near","far","near",0.625,4,99,"ring obstructs target"
"Exp2_S17",24,66,105.567083358765,"far","far","far",0.625,3,100,"target in center of ring"
"Exp2_S17",5,287,267.425250053406,"near","far","near",5,4,101,"target not in center of ring"
"Exp2_S17",25,295,311.735600471497,"near","no flankers","near",Inf,3,102,"unsure or no ring"
"Exp2_S17",13,244,284.861275196075,"far","mid","far",5,4,103,"target not in center of ring"
