"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp2_S19",3,207,236.689628012478,"near","mid","near",1.25,1,1,"target in center of ring"
"Exp2_S19",9,132,147.701239585876,"near","near","near",5,1,2,"target in center of ring"
"Exp2_S19",12,133,113.729953765869,"near","near","near",0.625,1,3,"target in center of ring"
"Exp2_S19",5,276,302.873524665833,"near","far","near",5,1,4,"target in center of ring"
"Exp2_S19",25,28,39.8793303966522,"near","no flankers","near",Inf,1,5,"unsure or no ring"
"Exp2_S19",21,124,141.38515150547,"far","far","far",5,1,6,"target in center of ring"
"Exp2_S19",8,298,316.166638374329,"near","far","near",0.625,1,7,"ring obstructs target"
"Exp2_S19",11,24,33.9712929725647,"near","near","near",1.25,1,8,"target in center of ring"
"Exp2_S19",7,349,359,"near","far","near",1.25,1,9,"target not in center of ring"
"Exp2_S19",13,351,347.662603795528,"far","mid","far",5,1,10,"target in center of ring"
"Exp2_S19",12,129,150.988543987274,"near","near","near",0.625,2,11,"target in center of ring"
"Exp2_S19",8,337,353.091951847076,"near","far","near",0.625,2,12,"ring obstructs target"
"Exp2_S19",23,165,164.201810002327,"far","far","far",1.25,1,13,"target in center of ring"
"Exp2_S19",11,317,333.42537599802,"near","near","near",1.25,2,14,"target in center of ring"
"Exp2_S19",26,175,183.026146411896,"far","no flankers","far",Inf,1,15,"unsure or no ring"
"Exp2_S19",3,188,165.511378735304,"near","mid","near",1.25,2,16,"target in center of ring"
"Exp2_S19",15,110,138.241894990206,"far","mid","far",1.25,1,17,"target in center of ring"
"Exp2_S19",4,4,355.867870807648,"near","mid","near",0.625,1,18,"target not in center of ring"
"Exp2_S19",11,41,49.5344475507736,"near","near","near",1.25,3,19,"target in center of ring"
"Exp2_S19",11,41,47.2643934935331,"near","near","near",1.25,4,20,"target in center of ring"
"Exp2_S19",13,152,136.776577979326,"far","mid","far",5,2,21,"target in center of ring"
"Exp2_S19",8,4,356.04597234726,"near","far","near",0.625,3,22,"target not in center of ring"
"Exp2_S19",23,107,123.252700552344,"far","far","far",1.25,2,23,"target in center of ring"
"Exp2_S19",24,115,136.249566532671,"far","far","far",0.625,1,24,"target in center of ring"
"Exp2_S19",13,138,158.255839824677,"far","mid","far",5,3,25,"target in center of ring"
"Exp2_S19",14,73,80.754969984293,"far","mid","far",2.5,1,26,"target in center of ring"
"Exp2_S19",8,213,201.706888973713,"near","far","near",0.625,4,27,"target not in center of ring"
"Exp2_S19",16,184,160.819797545671,"far","mid","far",0.625,1,28,"target not in center of ring"
"Exp2_S19",14,71,62.8027176856995,"far","mid","far",2.5,2,29,"target in center of ring"
"Exp2_S19",17,48,71.534678965807,"far","near","far",5,1,30,"target in center of ring"
"Exp2_S19",3,244,243.79303508997,"near","mid","near",1.25,3,31,"target in center of ring"
"Exp2_S19",26,280,261.34367609024,"far","no flankers","far",Inf,2,32,"unsure or no ring"
"Exp2_S19",20,126,146.665739268064,"far","near","far",0.625,1,33,"ring obstructs target"
"Exp2_S19",2,171,156.804640293121,"near","mid","near",2.5,1,34,"target in center of ring"
