"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp2_S11",2,353,10.3390789031982,"near","mid","near",2.5,1,1,"target in center of ring"
"Exp2_S11",3,226,247.683970689774,"near","mid","near",1.25,1,2,"target in center of ring"
"Exp2_S11",11,212,206.660913944244,"near","near","near",1.25,1,3,"target in center of ring"
"Exp2_S11",5,4,0,"near","far","near",5,1,4,"target in center of ring"
"Exp2_S11",8,28,35.2471359968185,"near","far","near",0.625,1,5,"target not in center of ring"
"Exp2_S11",23,193,155.527015917003,"far","far","far",1.25,1,6,"target in center of ring"
"Exp2_S11",24,126,35.4576444625854,"far","far","far",0.625,1,7,"target in center of ring"
"Exp2_S11",14,91,85.1247826516628,"far","mid","far",2.5,1,8,"target in center of ring"
"Exp2_S11",7,202,116.683959960938,"near","far","near",1.25,1,9,"target in center of ring"
"Exp2_S11",23,204,287.369816578925,"far","far","far",1.25,2,10,"target in center of ring"
"Exp2_S11",4,78,67.9425573348999,"near","mid","near",0.625,1,11,"target not in center of ring"
"Exp2_S11",20,263,262.984662055969,"far","near","far",0.625,1,12,"target not in center of ring"
"Exp2_S11",6,349,4.43103700876236,"near","far","near",2.5,1,13,"target in center of ring"
"Exp2_S11",18,116,118.460791110992,"far","near","far",2.5,1,14,"target in center of ring"
"Exp2_S11",8,48,35.4482746124268,"near","far","near",0.625,2,15,"target in center of ring"
"Exp2_S11",12,216,223.695430502295,"near","near","near",0.625,1,16,"target in center of ring"
"Exp2_S11",13,1,7.01533883810043,"far","mid","far",5,1,17,"target in center of ring"
"Exp2_S11",24,245,20.9522473812103,"far","far","far",0.625,2,18,"target in center of ring"
"Exp2_S11",8,347,306.247135996819,"near","far","near",0.625,3,19,"target in center of ring"
"Exp2_S11",20,218,253.432902336121,"far","near","far",0.625,2,20,"target in center of ring"
"Exp2_S11",1,354,19.2011547088623,"near","mid","near",5,1,21,"target in center of ring"
"Exp2_S11",17,201,228.057169318199,"far","near","far",5,1,22,"target in center of ring"
"Exp2_S11",8,132,134.408140182495,"near","far","near",0.625,4,23,"target in center of ring"
"Exp2_S11",5,189,201,"near","far","near",5,2,24,"target in center of ring"
"Exp2_S11",24,78,58.8274624943733,"far","far","far",0.625,3,25,"target in center of ring"
"Exp2_S11",6,53,39.8793411254883,"near","far","near",2.5,2,26,"target in center of ring"
"Exp2_S11",23,294,294.531554222107,"far","far","far",1.25,3,27,"target in center of ring"
"Exp2_S11",14,308,314.984662503004,"far","mid","far",2.5,2,28,"target in center of ring"
"Exp2_S11",18,121,135.383761525154,"far","near","far",2.5,2,29,"target in center of ring"
"Exp2_S11",16,122,136.300452277064,"far","mid","far",0.625,1,30,"target in center of ring"
"Exp2_S11",18,192,243.271174304187,"far","near","far",2.5,3,31,"target in center of ring"
"Exp2_S11",13,31,45.1279234886169,"far","mid","far",5,2,32,"target in center of ring"
"Exp2_S11",4,274,286.626404762268,"near","mid","near",0.625,2,33,"target in center of ring"
"Exp2_S11",11,162,128.500077724457,"near","near","near",1.25,2,34,"target in center of ring"
"Exp2_S11",22,22,38.6810740828514,"far","far","far",2.5,1,35,"target in center of ring"
"Exp2_S11",26,201,217.793651580811,"far","no flankers","far",Inf,1,36,"target outside ring"
"Exp2_S11",20,147,141.830606460571,"far","near","far",0.625,3,37,"target not in center of ring"
"Exp2_S11",26,154,135.383749008179,"far","no flankers","far",Inf,2,38,"target outside ring"
"Exp2_S11",4,323,299.459752418101,"near","mid","near",0.625,3,39,"target not in center of ring"
"Exp2_S11",7,94,96.827555783093,"near","far","near",1.25,2,40,"target in center of ring"
"Exp2_S11",11,317,298.080492146313,"near","near","near",1.25,3,41,"target in center of ring"
"Exp2_S11",17,140,129.366677641869,"far","near","far",5,2,42,"target in center of ring"
"Exp2_S11",16,193,238.34367609024,"far","mid","far",0.625,2,43,"target in center of ring"
"Exp2_S11",16,87,71.7211537063122,"far","mid","far",0.625,3,44,"target in center of ring"
"Exp2_S11",20,305,129.53154706955,"far","near","far",0.625,4,45,"target not in center of ring"
"Exp2_S11",24,356,325.154055595398,"far","far","far",0.625,4,46,"target in center of ring"
"Exp2_S11",24,147,325.154084205627,"far","far","far",0.625,5,47,"target in center of ring"
"Exp2_S11",3,55,50.2184200286865,"near","mid","near",1.25,2,48,"target in center of ring"
"Exp2_S11",7,29,39.6723701804876,"near","far","near",1.25,3,49,"target in center of ring"
"Exp2_S11",15,267,284.875216007233,"far","mid","far",1.25,1,50,"target in center of ring"
"Exp2_S11",21,305,285.667132377625,"far","far","far",5,1,51,"target in center of ring"
"Exp2_S11",10,106,139.925309896469,"near","near","near",2.5,1,52,"target in center of ring"
"Exp2_S11",19,126,121.682472221553,"far","near","far",1.25,1,53,"target in center of ring"
"Exp2_S11",1,299,314.689628124237,"near","mid","near",5,2,54,"target in center of ring"
"Exp2_S11",21,126,120.725689888,"far","far","far",5,2,55,"target in center of ring"
"Exp2_S11",25,64,78.2816541194916,"near","no flankers","near",Inf,1,56,"unsure or no ring"
"Exp2_S11",3,58,51.0688924193382,"near","mid","near",1.25,3,57,"target in center of ring"
"Exp2_S11",21,344,12.3882885426283,"far","far","far",5,3,58,"target in center of ring"
"Exp2_S11",11,341,322.074679374695,"near","near","near",1.25,4,59,"target in center of ring"
"Exp2_S11",7,161,163.339086055756,"near","far","near",1.25,4,60,"target not in center of ring"
"Exp2_S11",21,89,83.816660284996,"far","far","far",5,4,61,"target in center of ring"
"Exp2_S11",1,110,69.6034823432565,"near","mid","near",5,3,62,"target in center of ring"
"Exp2_S11",4,320,312.833356261253,"near","mid","near",0.625,4,63,"target not in center of ring"
"Exp2_S11",19,25,25.5824327021837,"far","near","far",1.25,2,64,"target in center of ring"
"Exp2_S11",9,255,245.270056962967,"near","near","near",5,1,65,"target in center of ring"
"Exp2_S11",26,108,101.380624376237,"far","no flankers","far",Inf,3,66,"unsure or no ring"
"Exp2_S11",9,216,236.660913944244,"near","near","near",5,2,67,"target in center of ring"
"Exp2_S11",4,21,89.3218280002475,"near","mid","near",0.625,5,68,"target not in center of ring"
"Exp2_S11",14,84,95.7765770852566,"far","mid","far",2.5,3,69,"target in center of ring"
"Exp2_S11",10,285,314.689635276794,"near","near","near",2.5,2,70,"target in center of ring"
"Exp2_S11",5,18,48.7414169311523,"near","far","near",5,3,71,"target in center of ring"
"Exp2_S11",16,91,86.1247844398022,"far","mid","far",0.625,4,72,"target in center of ring"
"Exp2_S11",4,87,93.166641280055,"near","mid","near",0.625,6,73,"target not in center of ring"
"Exp2_S11",11,188,194.522987626493,"near","near","near",1.25,5,74,"target in center of ring"
"Exp2_S11",17,119,83.010803103447,"far","near","far",5,3,75,"target in center of ring"
"Exp2_S11",14,4,10.0554182380438,"far","mid","far",2.5,4,76,"target in center of ring"
"Exp2_S11",9,104,130.79883992672,"near","near","near",5,3,77,"target in center of ring"
"Exp2_S11",20,163,202.663985729218,"far","near","far",0.625,5,78,"target in center of ring"
"Exp2_S11",24,107,136.189613342285,"far","far","far",0.625,6,79,"target in center of ring"
"Exp2_S11",5,345,335.367803812027,"near","far","near",5,4,80,"target in center of ring"
"Exp2_S11",6,300,330.971281349659,"near","far","near",2.5,3,81,"target in center of ring"
"Exp2_S11",6,188,172.896438926458,"near","far","near",2.5,4,82,"target in center of ring"
"Exp2_S11",18,6,10.9675826430321,"far","near","far",2.5,4,83,"target in center of ring"
"Exp2_S11",17,260,263.103174209595,"far","near","far",5,4,84,"target in center of ring"
"Exp2_S11",26,201,242.150925040245,"far","no flankers","far",Inf,4,85,"unsure or no ring"
"Exp2_S11",6,162,140.402179002762,"near","far","near",2.5,5,86,"target in center of ring"
"Exp2_S11",9,235,241.672524735332,"near","near","near",5,4,87,"target in center of ring"
"Exp2_S11",17,147,144.545484304428,"far","near","far",5,5,88,"target in center of ring"
"Exp2_S11",14,12,29.6779371574521,"far","mid","far",2.5,5,89,"target in center of ring"
"Exp2_S11",25,81,76.8046474456787,"near","no flankers","near",Inf,2,90,"unsure or no ring"
"Exp2_S11",3,157,145.224075675011,"near","mid","near",1.25,4,91,"target in center of ring"
"Exp2_S11",20,199,217.550009869039,"far","near","far",0.625,6,92,"target not in center of ring"
"Exp2_S11",13,113,130.531546622515,"far","mid","far",5,3,93,"target in center of ring"
"Exp2_S11",18,235,239.36981434375,"far","near","far",2.5,5,94,"target in center of ring"
"Exp2_S11",13,56,32.2711741924286,"far","mid","far",5,4,95,"target in center of ring"
"Exp2_S11",14,263,256.395958185196,"far","mid","far",2.5,6,96,"target in center of ring"
"Exp2_S11",19,83,52.5054015517235,"far","near","far",1.25,3,97,"target in center of ring"
"Exp2_S11",11,10,70.8965957164764,"near","near","near",1.25,6,98,"target in center of ring"
