"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S7",7,297,312.102004528046,"mid","near","mid",1.25,1,1,"target in center of ring"
"Exp1_S7",5,105,109.700128674507,"mid","near","mid",5,1,2,"target in center of ring"
"Exp1_S7",3,357,314.570337772369,"mid","mid","mid",1.25,1,3,"target not in center of ring"
"Exp1_S7",13,157,130.820716023445,"mid","no flankers","mid",Inf,1,4,"unsure or no ring"
"Exp1_S7",7,122,120.807560324669,"mid","near","mid",1.25,2,5,"target in center of ring"
"Exp1_S7",7,49,51.2233338356018,"mid","near","mid",1.25,3,6,"target not in center of ring"
"Exp1_S7",6,322,297.292112350464,"mid","near","mid",2.5,1,7,"target not in center of ring"
"Exp1_S7",10,117,99.4930453598499,"mid","far","mid",2.5,1,8,"target in center of ring"
"Exp1_S7",2,62,62.5564173161983,"mid","mid","mid",2.5,1,9,"target in center of ring"
"Exp1_S7",4,288,235.584239006042,"mid","mid","mid",0.625,1,10,"target in center of ring"
"Exp1_S7",9,123,112.308354377747,"mid","far","mid",5,1,11,"target not in center of ring"
"Exp1_S7",8,21,304.837002754211,"mid","near","mid",0.625,1,12,"target not in center of ring"
"Exp1_S7",1,300,287.360895335674,"mid","mid","mid",5,1,13,"target in center of ring"
"Exp1_S7",2,71,103.669248819351,"mid","mid","mid",2.5,2,14,"target in center of ring"
"Exp1_S7",2,295,292.355460166931,"mid","mid","mid",2.5,3,15,"target in center of ring"
"Exp1_S7",4,21,56.4435831308365,"mid","mid","mid",0.625,2,16,"target in center of ring"
"Exp1_S7",12,249,265.614371538162,"mid","far","mid",0.625,1,17,"target not in center of ring"
"Exp1_S7",8,226,215.093516111374,"mid","near","mid",0.625,2,18,"target in center of ring"
"Exp1_S7",13,301,290.966773986816,"mid","no flankers","mid",Inf,2,19,"unsure or no ring"
"Exp1_S7",7,74,112.308340072632,"mid","near","mid",1.25,4,20,"target not in center of ring"
"Exp1_S7",4,355,240.520862579346,"mid","mid","mid",0.625,3,21,"target in center of ring"
"Exp1_S7",4,66,118.479162454605,"mid","mid","mid",0.625,4,22,"target in center of ring"
"Exp1_S7",11,274,221.07727766037,"mid","far","mid",1.25,1,23,"target in center of ring"
"Exp1_S7",2,325,300.853943824768,"mid","mid","mid",2.5,4,24,"target in center of ring"
"Exp1_S7",11,274,242.258889913559,"mid","far","mid",1.25,2,25,"target not in center of ring"
"Exp1_S7",6,47,62.9420471191406,"mid","near","mid",2.5,2,26,"target in center of ring"
"Exp1_S7",3,296,294.049462676048,"mid","mid","mid",1.25,2,27,"target in center of ring"
"Exp1_S7",1,332,317.038635253906,"mid","mid","mid",5,2,28,"target in center of ring"
"Exp1_S7",10,113,219.462902545929,"mid","far","mid",2.5,2,29,"target in center of ring"
"Exp1_S7",4,185,176.344655990601,"mid","mid","mid",0.625,5,30,"target in center of ring"
"Exp1_S7",8,79,138.22567820549,"mid","near","mid",0.625,3,31,"target in center of ring"
"Exp1_S7",11,135,267.672324419022,"mid","far","mid",1.25,3,32,"target in center of ring"
"Exp1_S7",9,214,205.063369274139,"mid","far","mid",5,2,33,"target in center of ring"
"Exp1_S7",12,220,232.385626673698,"mid","far","mid",0.625,2,34,"target not in center of ring"
"Exp1_S7",9,296,276.311444282532,"mid","far","mid",5,3,35,"target not in center of ring"
"Exp1_S7",3,135,161.674665212631,"mid","mid","mid",1.25,3,36,"target in center of ring"
"Exp1_S7",6,293,313.33616399765,"mid","near","mid",2.5,3,37,"target in center of ring"
"Exp1_S7",4,212,144.424265503883,"mid","mid","mid",0.625,6,38,"target in center of ring"
"Exp1_S7",5,132,115.570324361324,"mid","near","mid",5,2,39,"target in center of ring"
"Exp1_S7",1,48,53.0687856674194,"mid","mid","mid",5,3,40,"target not in center of ring"
"Exp1_S7",11,21,222.008470535278,"mid","far","mid",1.25,4,41,"target in center of ring"
"Exp1_S7",9,244,214.146056175232,"mid","far","mid",5,4,42,"target in center of ring"
"Exp1_S7",3,311,306.156884491444,"mid","mid","mid",1.25,4,43,"target in center of ring"
"Exp1_S7",12,59,235.132154941559,"mid","far","mid",0.625,3,44,"target in center of ring"
"Exp1_S7",4,295,293.19552063942,"mid","mid","mid",0.625,7,45,"target in center of ring"
"Exp1_S7",6,53,62.9420417547226,"mid","near","mid",2.5,4,46,"target in center of ring"
"Exp1_S7",2,219,235.724128335714,"mid","mid","mid",2.5,5,47,"target in center of ring"
"Exp1_S7",2,102,130.820724964142,"mid","mid","mid",2.5,6,48,"target in center of ring"
"Exp1_S7",2,70,46.8980026245117,"mid","mid","mid",2.5,7,49,"target in center of ring"
"Exp1_S7",6,316,285.859351277351,"mid","near","mid",2.5,5,50,"target in center of ring"
"Exp1_S7",9,143,133.005409240723,"mid","far","mid",5,5,51,"target not in center of ring"
"Exp1_S7",12,196,230.787491798401,"mid","far","mid",0.625,4,52,"target not in center of ring"
"Exp1_S7",13,99,95.0301432609558,"mid","no flankers","mid",Inf,3,53,"unsure or no ring"
"Exp1_S7",4,73,165.396457672119,"mid","mid","mid",0.625,8,54,"target not in center of ring"
"Exp1_S7",13,241,211.884094238281,"mid","no flankers","mid",Inf,4,55,"unsure or no ring"
"Exp1_S7",7,32,73.7411136627197,"mid","near","mid",1.25,5,56,"target in center of ring"
"Exp1_S7",8,93,117.105072975159,"mid","near","mid",0.625,4,57,"target not in center of ring"
"Exp1_S7",5,184,179.732621669769,"mid","near","mid",5,3,58,"target in center of ring"
"Exp1_S7",6,38,64.1761922836304,"mid","near","mid",2.5,6,59,"target in center of ring"
"Exp1_S7",10,261,229.391041725874,"mid","far","mid",2.5,3,60,"target in center of ring"
"Exp1_S7",11,32,58.0054146051407,"mid","far","mid",1.25,5,61,"target in center of ring"
"Exp1_S7",3,14,85.1568853855133,"mid","mid","mid",1.25,5,62,"target in center of ring"
"Exp1_S7",2,177,140.399529695511,"mid","mid","mid",2.5,8,63,"target in center of ring"
"Exp1_S7",6,221,233.255821466446,"mid","near","mid",2.5,7,64,"target in center of ring"
"Exp1_S7",3,207,150.697054862976,"mid","mid","mid",1.25,6,65,"target not in center of ring"
"Exp1_S7",11,87,69.1128319501877,"mid","far","mid",1.25,6,66,"target in center of ring"
"Exp1_S7",3,284,284.897995471954,"mid","mid","mid",1.25,7,67,"target in center of ring"
"Exp1_S7",1,201,225.850864648819,"mid","mid","mid",5,4,68,"target in center of ring"
"Exp1_S7",5,237,202.261983394623,"mid","near","mid",5,4,69,"target in center of ring"
"Exp1_S7",2,276,266.438168525696,"mid","mid","mid",2.5,9,70,"target in center of ring"
"Exp1_S7",1,134,138.225667476654,"mid","mid","mid",5,5,71,"target in center of ring"
"Exp1_S7",6,84,60.4737281799316,"mid","near","mid",2.5,8,72,"target in center of ring"
"Exp1_S7",2,104,145.630609989166,"mid","mid","mid",2.5,10,73,"target in center of ring"
"Exp1_S7",11,323,302.228743076324,"mid","far","mid",1.25,7,74,"target not in center of ring"
"Exp1_S7",1,242,238.3910394907,"mid","mid","mid",5,6,75,"target in center of ring"
"Exp1_S7",10,164,159.322259187698,"mid","far","mid",2.5,4,76,"target in center of ring"
"Exp1_S7",9,54,46.939711689949,"mid","far","mid",5,6,77,"target in center of ring"
"Exp1_S7",5,269,306.118253707886,"mid","near","mid",5,5,78,"target not in center of ring"
"Exp1_S7",5,150,138.085762500763,"mid","near","mid",5,6,79,"target in center of ring"
"Exp1_S7",3,233,230.170788407326,"mid","mid","mid",1.25,8,80,"target in center of ring"
"Exp1_S7",9,132,108.60588312149,"mid","far","mid",5,7,81,"target in center of ring"
"Exp1_S7",3,98,64.4049443006516,"mid","mid","mid",1.25,9,82,"target in center of ring"
"Exp1_S7",12,12,91.1321549415588,"mid","far","mid",0.625,5,83,"target in center of ring"
"Exp1_S7",8,337,282.165375590324,"mid","near","mid",0.625,5,84,"target in center of ring"
"Exp1_S7",1,239,242.795991390944,"mid","mid","mid",5,7,85,"target in center of ring"
"Exp1_S7",11,140,141.859353065491,"mid","far","mid",1.25,8,86,"target in center of ring"
"Exp1_S7",8,16,55.9064874649048,"mid","near","mid",0.625,6,87,"target in center of ring"
"Exp1_S7",1,123,129.688570022583,"mid","mid","mid",5,8,88,"target in center of ring"
"Exp1_S7",8,167,215.837701797485,"mid","near","mid",0.625,7,89,"target in center of ring"
"Exp1_S7",12,166,199.950539112091,"mid","far","mid",0.625,6,90,"target in center of ring"
"Exp1_S7",7,22,49.366307258606,"mid","near","mid",1.25,6,91,"target in center of ring"
"Exp1_S7",5,32,38.258900642395,"mid","near","mid",5,7,92,"target in center of ring"
"Exp1_S7",5,236,212.098921775818,"mid","near","mid",5,8,93,"target in center of ring"
"Exp1_S7",10,319,291.121322154999,"mid","far","mid",2.5,5,94,"target not in center of ring"
"Exp1_S7",10,256,225.710977554321,"mid","far","mid",2.5,6,95,"target in center of ring"
"Exp1_S7",13,69,88.8593673706055,"mid","no flankers","mid",Inf,5,96,"unsure or no ring"
"Exp1_S7",7,117,146.864765882492,"mid","near","mid",1.25,7,97,"target in center of ring"
"Exp1_S7",4,10,29.9945907592773,"mid","mid","mid",0.625,9,98,"target in center of ring"
"Exp1_S7",10,235,248.253477096558,"mid","far","mid",2.5,7,99,"target in center of ring"
"Exp1_S7",12,178,221.721790671349,"mid","far","mid",0.625,7,100,"target in center of ring"
"Exp1_S7",13,104,82.8979950249195,"mid","no flankers","mid",Inf,6,101,"unsure or no ring"
"Exp1_S7",9,356,338.019314050674,"mid","far","mid",5,8,102,"target in center of ring"
"Exp1_S7",7,197,182.655365467072,"mid","near","mid",1.25,8,103,"target in center of ring"
"Exp1_S7",13,136,118.339243173599,"mid","no flankers","mid",Inf,7,104,"unsure or no ring"
"Exp1_S7",11,67,71.5811491012573,"mid","far","mid",1.25,9,105,"target not in center of ring"
"Exp1_S7",12,263,192.837717890739,"mid","far","mid",0.625,8,106,"target in center of ring"
"Exp1_S7",13,266,251.628290653229,"mid","no flankers","mid",Inf,8,107,"unsure or no ring"
"Exp1_S7",8,135,138.429676532745,"mid","near","mid",0.625,8,108,"target in center of ring"
"Exp1_S7",5,35,49.0440480709076,"mid","near","mid",5,9,109,"target in center of ring"
"Exp1_S7",8,134,124.658422291279,"mid","near","mid",0.625,9,110,"target not in center of ring"
"Exp1_S7",13,317,293.58963394165,"mid","no flankers","mid",Inf,9,111,"unsure or no ring"
"Exp1_S7",10,201,222.008495569229,"mid","far","mid",2.5,8,112,"target not in center of ring"
