"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S3",4,230,220.479140996933,"mid","mid","mid",0.625,1,1,"ring obstructs target"
"Exp1_S3",9,81,182.655331492424,"mid","far","mid",5,1,2,"target in center of ring"
"Exp1_S3",11,243,246.831543445587,"mid","far","mid",1.25,1,3,"target in center of ring"
"Exp1_S3",8,170,169.848527431488,"mid","near","mid",0.625,1,4,"target in center of ring"
"Exp1_S3",6,191,177.269719570875,"mid","near","mid",2.5,1,5,"target in center of ring"
"Exp1_S3",9,256,242.269719570875,"mid","far","mid",5,2,6,"target in center of ring"
"Exp1_S3",3,146,135.757357478142,"mid","mid","mid",1.25,1,7,"target in center of ring"
"Exp1_S3",8,338,26.4049460887909,"mid","near","mid",0.625,2,8,"target in center of ring"
"Exp1_S3",12,111,119.005409240723,"mid","far","mid",0.625,1,9,"target in center of ring"
"Exp1_S3",13,302,309.633678436279,"mid","no flankers","mid",Inf,1,10,"unsure or no ring"
"Exp1_S3",11,51,89.3168445825577,"mid","far","mid",1.25,2,11,"target in center of ring"
"Exp1_S3",5,134,124.867846846581,"mid","near","mid",5,1,12,"target in center of ring"
"Exp1_S3",9,48,60.4737424850464,"mid","far","mid",5,3,13,"target in center of ring"
"Exp1_S3",2,114,117.105081915855,"mid","mid","mid",2.5,1,14,"target in center of ring"
"Exp1_S3",3,167,182.79057097435,"mid","mid","mid",1.25,2,15,"target in center of ring"
"Exp1_S3",13,355,351.595053911209,"mid","no flankers","mid",Inf,2,16,"unsure or no ring"
"Exp1_S3",1,74,32.0881032943726,"mid","mid","mid",5,1,17,"target in center of ring"
"Exp1_S3",7,6,28.3856248855591,"mid","near","mid",1.25,1,18,"target in center of ring"
"Exp1_S3",8,212,180.187032222748,"mid","near","mid",0.625,3,19,"target in center of ring"
"Exp1_S3",10,201,187.452084064484,"mid","far","mid",2.5,1,20,"target in center of ring"
"Exp1_S3",4,278,292.355474472046,"mid","mid","mid",0.625,2,21,"target in center of ring"
"Exp1_S3",4,349,2.46833324432373,"mid","mid","mid",0.625,3,22,"target in center of ring"
"Exp1_S3",7,131,127.688570022583,"mid","near","mid",1.25,2,23,"target in center of ring"
"Exp1_S3",2,322,320.741127967834,"mid","mid","mid",2.5,2,24,"target in center of ring"
"Exp1_S3",3,11,359,"mid","mid","mid",1.25,3,25,"target in center of ring"
"Exp1_S3",11,91,95.5455858707428,"mid","far","mid",1.25,3,26,"target in center of ring"
"Exp1_S3",3,106,129.446667671204,"mid","mid","mid",1.25,4,27,"target in center of ring"
"Exp1_S3",12,356,0,"mid","far","mid",0.625,2,28,"target in center of ring"
"Exp1_S3",9,29,67.3663108348846,"mid","far","mid",5,4,29,"target in center of ring"
"Exp1_S3",2,227,214.333097338676,"mid","mid","mid",2.5,3,30,"target in center of ring"
"Exp1_S3",7,351,0,"mid","near","mid",1.25,3,31,"target in center of ring"
"Exp1_S3",9,96,117.975267767906,"mid","far","mid",5,5,32,"target in center of ring"
"Exp1_S3",12,80,71.7495985031128,"mid","far","mid",0.625,3,33,"target in center of ring"
"Exp1_S3",5,345,309.595053911209,"mid","near","mid",5,2,34,"target in center of ring"
"Exp1_S3",11,133,135.617461442947,"mid","far","mid",1.25,4,35,"target in center of ring"
"Exp1_S3",9,329,308.547921746969,"mid","far","mid",5,6,36,"target in center of ring"
"Exp1_S3",8,312,323.209418296814,"mid","near","mid",0.625,4,37,"target in center of ring"
"Exp1_S3",1,209,216.785161733627,"mid","mid","mid",5,2,38,"target in center of ring"
"Exp1_S3",4,275,251.341577708721,"mid","mid","mid",0.625,4,39,"target not in center of ring"
"Exp1_S3",2,247,235.961361169815,"mid","mid","mid",2.5,4,40,"target in center of ring"
