"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S21",1,146,139.707889437675,"mid","mid","mid",5,1,1,"target outside ring"
"Exp1_S21",2,16,0,"mid","mid","mid",2.5,1,2,"target not in center of ring"
"Exp1_S21",12,238,224.190107822418,"mid","far","mid",0.625,1,3,"target in center of ring"
"Exp1_S21",13,205,207.338508367538,"mid","no flankers","mid",Inf,1,4,"unsure or no ring"
"Exp1_S21",9,233,215.922725021839,"mid","far","mid",5,1,5,"target not in center of ring"
"Exp1_S21",5,317,314.639104664326,"mid","near","mid",5,1,6,"target not in center of ring"
"Exp1_S21",4,224,230.5811419487,"mid","mid","mid",0.625,1,7,"target in center of ring"
"Exp1_S21",8,203,229.019319415092,"mid","near","mid",0.625,1,8,"ring obstructs target"
"Exp1_S21",13,236,232.762764930725,"mid","no flankers","mid",Inf,2,9,"unsure or no ring"
"Exp1_S21",7,152,130.809892177582,"mid","near","mid",1.25,1,10,"target in center of ring"
"Exp1_S21",12,221,219.102004528046,"mid","far","mid",0.625,2,11,"target outside ring"
"Exp1_S21",4,117,132.98609161377,"mid","mid","mid",0.625,2,12,"target in center of ring"
"Exp1_S21",9,24,44.4296908378601,"mid","far","mid",5,2,13,"target not in center of ring"
"Exp1_S21",4,158,154.098921775818,"mid","mid","mid",0.625,3,14,"target in center of ring"
"Exp1_S21",5,90,88.1128373146057,"mid","near","mid",5,2,15,"target in center of ring"
"Exp1_S21",9,26,27.151472568512,"mid","far","mid",5,3,16,"target not in center of ring"
"Exp1_S21",5,80,102.435085773468,"mid","near","mid",5,3,17,"target in center of ring"
"Exp1_S21",2,161,144.396452307701,"mid","mid","mid",2.5,2,18,"target in center of ring"
"Exp1_S21",11,30,40.7272052764893,"mid","far","mid",1.25,1,19,"target in center of ring"
"Exp1_S21",2,296,314.570316314697,"mid","mid","mid",2.5,3,20,"target in center of ring"
"Exp1_S21",8,306,324.443577766418,"mid","near","mid",0.625,2,21,"ring obstructs target"
"Exp1_S21",3,327,304.697058439255,"mid","mid","mid",1.25,1,22,"target in center of ring"
"Exp1_S21",12,231,224.616680145264,"mid","far","mid",0.625,3,23,"target outside ring"
"Exp1_S21",5,213,206.892580866814,"mid","near","mid",5,4,24,"target not in center of ring"
"Exp1_S21",1,303,302.228750228882,"mid","mid","mid",5,2,25,"target in center of ring"
"Exp1_S21",6,12,359,"mid","near","mid",2.5,1,26,"target in center of ring"
"Exp1_S21",7,0,357.426608085632,"mid","near","mid",1.25,2,27,"target in center of ring"
"Exp1_S21",13,208,219.19552063942,"mid","no flankers","mid",Inf,3,28,"unsure or no ring"
"Exp1_S21",7,240,245.322259187698,"mid","near","mid",1.25,3,29,"target in center of ring"
"Exp1_S21",8,34,63.6777408123016,"mid","near","mid",0.625,3,30,"target in center of ring"
"Exp1_S21",1,353,3.70247840881348,"mid","mid","mid",5,3,31,"target in center of ring"
"Exp1_S21",6,180,177.718711495399,"mid","near","mid",2.5,2,32,"target in center of ring"
"Exp1_S21",3,121,134.523224830627,"mid","mid","mid",1.25,2,33,"target in center of ring"
"Exp1_S21",7,314,90.09352684021,"mid","near","mid",1.25,4,34,"target in center of ring"
"Exp1_S21",3,242,230.732618093491,"mid","mid","mid",1.25,3,35,"target in center of ring"
"Exp1_S21",9,281,237.867845058441,"mid","far","mid",5,4,36,"target in center of ring"
"Exp1_S21",9,33,32.0881032943726,"mid","far","mid",5,5,37,"target in center of ring"
"Exp1_S21",4,73,61.7078733444214,"mid","mid","mid",0.625,4,38,"target in center of ring"
"Exp1_S21",7,190,174.016234874725,"mid","near","mid",1.25,5,39,"target in center of ring"
"Exp1_S21",2,297,278.779727458954,"mid","mid","mid",2.5,4,40,"target in center of ring"
"Exp1_S21",10,314,317.038635253906,"mid","far","mid",2.5,1,41,"ring obstructs target"
"Exp1_S21",12,240,210.901076436043,"mid","far","mid",0.625,4,42,"target outside ring"
"Exp1_S21",11,89,92.5316846370697,"mid","far","mid",1.25,2,43,"ring obstructs target"
"Exp1_S21",11,165,177.718702554703,"mid","far","mid",1.25,3,44,"ring obstructs target"
"Exp1_S21",3,309,307.165377378464,"mid","mid","mid",1.25,4,45,"target in center of ring"
"Exp1_S21",12,103,101.200940608978,"mid","far","mid",0.625,5,46,"target outside ring"
"Exp1_S21",5,135,319.506939888,"mid","near","mid",5,5,47,"target in center of ring"
"Exp1_S21",6,198,177.718698978424,"mid","near","mid",2.5,3,48,"target in center of ring"
"Exp1_S21",11,187,180.410358905792,"mid","far","mid",1.25,4,49,"ring obstructs target"
"Exp1_S21",4,272,169.079611301422,"mid","mid","mid",0.625,5,50,"target in center of ring"
"Exp1_S21",4,5,359,"mid","mid","mid",0.625,6,51,"target in center of ring"
"Exp1_S21",10,239,206.104341745377,"mid","far","mid",2.5,2,52,"target not in center of ring"
"Exp1_S21",9,318,305.931221485138,"mid","far","mid",5,6,53,"target in center of ring"
"Exp1_S21",9,68,46.8980026245117,"mid","far","mid",5,7,54,"target in center of ring"
"Exp1_S21",3,13,59.2395830154419,"mid","mid","mid",1.25,5,55,"target in center of ring"
"Exp1_S21",2,246,201.46831536293,"mid","mid","mid",2.5,5,56,"target in center of ring"
