"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S8",7,73,96.264306306839,"mid","near","mid",1.25,1,1,"target not in center of ring"
"Exp1_S8",4,195,93.7959909439087,"mid","mid","mid",0.625,1,2,"target in center of ring"
"Exp1_S8",2,238,270.140661239624,"mid","mid","mid",2.5,1,3,"target in center of ring"
"Exp1_S8",10,188,95.5015377998352,"mid","far","mid",2.5,1,4,"target in center of ring"
"Exp1_S8",10,319,322.39645409584,"mid","far","mid",2.5,2,5,"target in center of ring"
"Exp1_S8",11,250,85.4737281799316,"mid","far","mid",1.25,1,6,"target in center of ring"
"Exp1_S8",3,187,179.137573122978,"mid","mid","mid",1.25,1,7,"target in center of ring"
"Exp1_S8",8,79,90.0935196876526,"mid","near","mid",0.625,1,8,"target in center of ring"
"Exp1_S8",8,125,145.63061401248,"mid","near","mid",0.625,2,9,"target not in center of ring"
"Exp1_S8",13,269,267.019321203232,"mid","no flankers","mid",Inf,1,10,"target in center of ring"
"Exp1_S8",2,163,151.801385879517,"mid","mid","mid",2.5,2,11,"target in center of ring"
"Exp1_S8",3,38,39.4466676712036,"mid","mid","mid",1.25,2,12,"target in center of ring"
"Exp1_S8",9,338,310.867837905884,"mid","far","mid",5,1,13,"target in center of ring"
"Exp1_S8",5,339,321.975265979767,"mid","near","mid",5,1,14,"target in center of ring"
"Exp1_S8",7,93,124.779747128487,"mid","near","mid",1.25,2,15,"target in center of ring"
"Exp1_S8",12,280,344.190107822418,"mid","far","mid",0.625,1,16,"ring obstructs target"
"Exp1_S8",9,136,148.653010368347,"mid","far","mid",5,2,17,"target in center of ring"
"Exp1_S8",5,235,173.584224253893,"mid","near","mid",5,2,18,"target in center of ring"
"Exp1_S8",11,146,141.788240909576,"mid","far","mid",1.25,2,19,"target in center of ring"
"Exp1_S8",1,322,311.421186327934,"mid","mid","mid",5,1,20,"target in center of ring"
"Exp1_S8",10,309,324.443582236767,"mid","far","mid",2.5,3,21,"target in center of ring"
"Exp1_S8",2,262,215.776664376259,"mid","mid","mid",2.5,3,22,"target in center of ring"
"Exp1_S8",6,72,45.5842296183109,"mid","near","mid",2.5,1,23,"target in center of ring"
"Exp1_S8",10,208,207.41578245163,"mid","far","mid",2.5,4,24,"target in center of ring"
"Exp1_S8",11,70,55.2318115234375,"mid","far","mid",1.25,3,25,"target in center of ring"
"Exp1_S8",9,175,183.628276348114,"mid","far","mid",5,3,26,"target in center of ring"
"Exp1_S8",8,95,110.110510826111,"mid","near","mid",0.625,3,27,"ring obstructs target"
"Exp1_S8",10,337,339.591981887817,"mid","far","mid",2.5,5,28,"target in center of ring"
"Exp1_S8",6,324,323.209425449371,"mid","near","mid",2.5,2,29,"target in center of ring"
"Exp1_S8",11,5,40.0139119625092,"mid","far","mid",1.25,4,30,"target in center of ring"
"Exp1_S8",1,229,227.085009813309,"mid","mid","mid",5,2,31,"target in center of ring"
"Exp1_S8",9,244,223.702473044395,"mid","far","mid",5,4,32,"target in center of ring"
"Exp1_S8",3,24,20.9806823730469,"mid","mid","mid",1.25,3,33,"target in center of ring"
"Exp1_S8",11,85,46.2866959571838,"mid","far","mid",1.25,5,34,"target in center of ring"
"Exp1_S8",8,22,22.2148418426514,"mid","near","mid",0.625,4,35,"target not in center of ring"
"Exp1_S8",8,246,218.200940608978,"mid","near","mid",0.625,5,36,"target in center of ring"
"Exp1_S8",1,233,215.837705373764,"mid","mid","mid",5,3,37,"target in center of ring"
"Exp1_S8",12,96,95.6035423278809,"mid","far","mid",0.625,2,38,"target in center of ring"
"Exp1_S8",9,249,209.785161733627,"mid","far","mid",5,5,39,"target in center of ring"
"Exp1_S8",6,101,139.077281236649,"mid","near","mid",2.5,3,40,"target in center of ring"
"Exp1_S8",10,77,93.7959855794907,"mid","far","mid",2.5,6,41,"target in center of ring"
"Exp1_S8",9,107,137.749598503113,"mid","far","mid",5,6,42,"target in center of ring"
"Exp1_S8",7,227,221.826127052307,"mid","near","mid",1.25,3,43,"target in center of ring"
"Exp1_S8",13,15,9.87327575683594,"mid","no flankers","mid",Inf,2,44,"target in center of ring"
"Exp1_S8",12,118,136.570323467255,"mid","far","mid",0.625,3,45,"target in center of ring"
"Exp1_S8",1,130,125.765841424465,"mid","mid","mid",5,4,46,"target in center of ring"
"Exp1_S8",8,146,54.3029406666756,"mid","near","mid",0.625,6,47,"target in center of ring"
"Exp1_S8",4,224,129.58655834198,"mid","mid","mid",0.625,2,48,"target in center of ring"
"Exp1_S8",3,293,310.867866516113,"mid","mid","mid",1.25,4,49,"target not in center of ring"
"Exp1_S8",12,32,34.5564222335815,"mid","far","mid",0.625,4,50,"target not in center of ring"
"Exp1_S8",11,114,95.0301575660706,"mid","far","mid",1.25,6,51,"target not in center of ring"
"Exp1_S8",12,231,228.179278612137,"mid","far","mid",0.625,5,52,"target in center of ring"
"Exp1_S8",13,29,35.7905673980713,"mid","no flankers","mid",Inf,3,53,"unsure or no ring"
"Exp1_S8",5,264,275.077270507812,"mid","near","mid",5,3,54,"target in center of ring"
"Exp1_S8",11,59,37.0247411727905,"mid","far","mid",1.25,7,55,"target in center of ring"
"Exp1_S8",13,87,46.8979811668396,"mid","no flankers","mid",Inf,4,56,"unsure or no ring"
"Exp1_S8",6,327,307.1653881073,"mid","near","mid",2.5,4,57,"target in center of ring"
"Exp1_S8",3,67,35.4961357116699,"mid","mid","mid",1.25,5,58,"target in center of ring"
"Exp1_S8",4,75,87.6251980662346,"mid","mid","mid",0.625,3,59,"target in center of ring"
"Exp1_S8",9,268,271.59739112854,"mid","far","mid",5,7,60,"target in center of ring"
"Exp1_S8",6,88,95.0301432609558,"mid","near","mid",2.5,5,61,"target in center of ring"
"Exp1_S8",4,42,44.4296836853027,"mid","mid","mid",0.625,4,62,"target in center of ring"
"Exp1_S8",4,285,298.021636962891,"mid","mid","mid",0.625,5,63,"target in center of ring"
"Exp1_S8",8,94,128.352398872375,"mid","near","mid",0.625,7,64,"target in center of ring"
"Exp1_S8",12,297,303.602814674377,"mid","far","mid",0.625,6,65,"target outside ring"
"Exp1_S8",9,53,59.2395758628845,"mid","far","mid",5,8,66,"target in center of ring"
"Exp1_S8",4,110,211.040968894958,"mid","mid","mid",0.625,6,67,"target in center of ring"
"Exp1_S8",10,261,229.167721748352,"mid","far","mid",2.5,7,68,"target in center of ring"
"Exp1_S8",4,202,207.1622838974,"mid","mid","mid",0.625,7,69,"target in center of ring"
"Exp1_S8",4,14,50.6004810333252,"mid","mid","mid",0.625,8,70,"target in center of ring"
"Exp1_S8",13,168,181.50386428833,"mid","no flankers","mid",Inf,5,71,"unsure or no ring"
"Exp1_S8",13,195,194.996933341026,"mid","no flankers","mid",Inf,6,72,"unsure or no ring"
"Exp1_S8",5,318,325.699389398098,"mid","near","mid",5,4,73,"target in center of ring"
"Exp1_S8",2,324,324.443577766418,"mid","mid","mid",2.5,4,74,"target in center of ring"
"Exp1_S8",12,67,53.0687999725342,"mid","far","mid",0.625,7,75,"target in center of ring"
"Exp1_S8",4,231,65.4103606939316,"mid","mid","mid",0.625,9,76,"target in center of ring"
"Exp1_S8",2,82,59.2395687103271,"mid","mid","mid",2.5,5,77,"target in center of ring"
"Exp1_S8",5,37,41.9613718986511,"mid","near","mid",5,5,78,"target in center of ring"
"Exp1_S8",5,125,123.415768146515,"mid","near","mid",5,6,79,"target in center of ring"
"Exp1_S8",2,257,232.859353065491,"mid","mid","mid",2.5,6,80,"target in center of ring"
"Exp1_S8",8,271,238.234159469604,"mid","near","mid",0.625,8,81,"target in center of ring"
"Exp1_S8",7,246,230.936630725861,"mid","near","mid",1.25,4,82,"target in center of ring"
"Exp1_S8",10,104,134.383284091949,"mid","far","mid",2.5,8,83,"target in center of ring"
"Exp1_S8",3,34,32.3747992515564,"mid","mid","mid",1.25,6,84,"target in center of ring"
"Exp1_S8",1,58,54.9312116503716,"mid","mid","mid",5,5,85,"target in center of ring"
"Exp1_S8",7,21,41.9613647460938,"mid","near","mid",1.25,5,86,"target in center of ring"
"Exp1_S8",2,166,161.674653589725,"mid","mid","mid",2.5,7,87,"target in center of ring"
"Exp1_S8",5,89,91.327668428421,"mid","near","mid",5,7,88,"target in center of ring"
"Exp1_S8",1,107,110.760431289673,"mid","mid","mid",5,6,89,"target in center of ring"
"Exp1_S8",1,151,160.281293869019,"mid","mid","mid",5,7,90,"target in center of ring"
"Exp1_S8",7,257,153.677740812302,"mid","near","mid",1.25,6,91,"target in center of ring"
"Exp1_S8",6,195,177.033225119114,"mid","near","mid",2.5,6,92,"target in center of ring"
"Exp1_S8",5,225,222.008483052254,"mid","near","mid",5,8,93,"target in center of ring"
"Exp1_S8",2,143,161.371723651886,"mid","mid","mid",2.5,8,94,"target in center of ring"
"Exp1_S8",12,25,41.1267385482788,"mid","far","mid",0.625,8,95,"ring obstructs target"
"Exp1_S8",13,35,43.5842247009277,"mid","no flankers","mid",Inf,7,96,"unsure or no ring"
"Exp1_S8",13,228,219.649936556816,"mid","no flankers","mid",Inf,8,97,"unsure or no ring"
"Exp1_S8",8,59,51.8346235156059,"mid","near","mid",0.625,9,98,"ring obstructs target"
"Exp1_S8",6,326,319.054877281189,"mid","near","mid",2.5,7,99,"target in center of ring"
"Exp1_S8",2,331,314.570323467255,"mid","mid","mid",2.5,9,100,"target in center of ring"
"Exp1_S8",7,91,39.4930422306061,"mid","near","mid",1.25,7,101,"target not in center of ring"
"Exp1_S8",6,276,305.445925712585,"mid","near","mid",2.5,8,102,"target in center of ring"
"Exp1_S8",9,31,51.8346190452576,"mid","far","mid",5,9,103,"target in center of ring"
"Exp1_S8",12,269,99.9667811393738,"mid","far","mid",0.625,9,104,"target not in center of ring"
"Exp1_S8",11,341,334.357822418213,"mid","far","mid",1.25,8,105,"target in center of ring"
"Exp1_S8",13,77,90.741110086441,"mid","no flankers","mid",Inf,9,106,"target in center of ring"
"Exp1_S8",13,163,141.107419133186,"mid","no flankers","mid",Inf,10,107,"unsure or no ring"
