"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S5",12,211,230.787498950958,"mid","far","mid",0.625,1,1,"ring obstructs target"
"Exp1_S5",9,87,90.6584222912788,"mid","far","mid",5,1,2,"target in center of ring"
"Exp1_S5",3,282,269.605890274048,"mid","mid","mid",1.25,1,3,"target in center of ring"
"Exp1_S5",7,295,307.165379166603,"mid","near","mid",1.25,1,4,"target in center of ring"
"Exp1_S5",7,216,225.850875377655,"mid","near","mid",1.25,2,5,"target in center of ring"
"Exp1_S5",6,15,25.9173059463501,"mid","near","mid",2.5,1,6,"target not in center of ring"
"Exp1_S5",5,163,146.864776611328,"mid","near","mid",5,1,7,"target not in center of ring"
"Exp1_S5",5,78,82.3856302499771,"mid","near","mid",5,2,8,"target in center of ring"
"Exp1_S5",2,81,79.3222609758377,"mid","mid","mid",2.5,1,9,"target in center of ring"
"Exp1_S5",8,149,135.424264162779,"mid","near","mid",0.625,1,10,"target in center of ring"
"Exp1_S5",2,179,178.795990943909,"mid","mid","mid",2.5,2,11,"target in center of ring"
"Exp1_S5",6,80,63.7217915654182,"mid","near","mid",2.5,2,12,"target in center of ring"
"Exp1_S5",6,32,43.195538520813,"mid","near","mid",2.5,3,13,"target not in center of ring"
"Exp1_S5",10,97,95.0301432609558,"mid","far","mid",2.5,1,14,"target not in center of ring"
"Exp1_S5",6,309,308.39953327179,"mid","near","mid",2.5,4,15,"target not in center of ring"
"Exp1_S5",5,255,215.46831536293,"mid","near","mid",5,3,16,"target not in center of ring"
"Exp1_S5",13,143,124.561831474304,"mid","no flankers","mid",Inf,1,17,"unsure or no ring"
"Exp1_S5",6,226,226.864776611328,"mid","near","mid",2.5,5,18,"target in center of ring"
"Exp1_S5",7,359,357.765840530396,"mid","near","mid",1.25,3,19,"target in center of ring"
"Exp1_S5",7,21,0,"mid","near","mid",1.25,4,20,"target in center of ring"
"Exp1_S5",13,56,42.8817427158356,"mid","no flankers","mid",Inf,2,21,"unsure or no ring"
"Exp1_S5",7,119,117.24497795105,"mid","near","mid",1.25,5,22,"target in center of ring"
"Exp1_S5",1,10,355.297528743744,"mid","mid","mid",5,1,23,"target in center of ring"
"Exp1_S5",12,263,252.980680584908,"mid","far","mid",0.625,2,24,"target not in center of ring"
"Exp1_S5",10,337,293.58966255188,"mid","far","mid",2.5,2,25,"target not in center of ring"
"Exp1_S5",4,153,153.035556077957,"mid","mid","mid",0.625,1,26,"target in center of ring"
"Exp1_S5",10,223,208.556418657303,"mid","far","mid",2.5,3,27,"target not in center of ring"
"Exp1_S5",12,188,190.776666164398,"mid","far","mid",0.625,3,28,"target not in center of ring"
"Exp1_S5",1,117,134.523185491562,"mid","mid","mid",5,2,29,"target in center of ring"
"Exp1_S5",9,283,295.176199436188,"mid","far","mid",5,2,30,"target not in center of ring"
"Exp1_S5",8,62,68.8322782516479,"mid","near","mid",0.625,2,31,"target in center of ring"
"Exp1_S5",2,129,143.162294626236,"mid","mid","mid",2.5,3,32,"target in center of ring"
"Exp1_S5",13,286,312.101997375488,"mid","no flankers","mid",Inf,3,33,"unsure or no ring"
