"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S11",2,80,80.220251083374,"mid","mid","mid",2.5,1,1,"target in center of ring"
"Exp1_S11",10,75,91.0386397242546,"mid","far","mid",2.5,1,2,"target in center of ring"
"Exp1_S11",8,267,268.192437887192,"mid","near","mid",0.625,1,3,"unsure or no ring"
"Exp1_S11",12,78,273.843111038208,"mid","far","mid",0.625,1,4,"target in center of ring"
"Exp1_S11",4,274,89.3222591876984,"mid","mid","mid",0.625,1,5,"target in center of ring"
"Exp1_S11",13,267,273.917313098907,"mid","no flankers","mid",Inf,1,6,"unsure or no ring"
"Exp1_S11",10,120,125.884094238281,"mid","far","mid",2.5,2,7,"target in center of ring"
"Exp1_S11",11,177,81.4544034004211,"mid","far","mid",1.25,1,8,"target in center of ring"
"Exp1_S11",1,92,86.9312143325806,"mid","mid","mid",5,1,9,"target in center of ring"
"Exp1_S11",3,60,61.7078733444214,"mid","mid","mid",1.25,1,10,"target in center of ring"
"Exp1_S11",1,45,22.9064892530441,"mid","mid","mid",5,2,11,"target in center of ring"
"Exp1_S11",1,265,59.159957408905,"mid","mid","mid",5,3,12,"ring obstructs target"
"Exp1_S11",13,253,226.435092926025,"mid","no flankers","mid",Inf,2,13,"unsure or no ring"
"Exp1_S11",5,5,335.550998687744,"mid","near","mid",5,1,14,"ring obstructs target"
"Exp1_S11",11,163,130.820717811584,"mid","far","mid",1.25,2,15,"ring obstructs target"
"Exp1_S11",7,323,326.911903858185,"mid","near","mid",1.25,1,16,"ring obstructs target"
"Exp1_S11",8,72,300.20942902565,"mid","near","mid",0.625,2,17,"ring obstructs target"
"Exp1_S11",11,253,88.0687856674194,"mid","far","mid",1.25,3,18,"ring obstructs target"
"Exp1_S11",2,97,122.697056651115,"mid","mid","mid",2.5,2,19,"ring obstructs target"
"Exp1_S11",3,25,359,"mid","mid","mid",1.25,2,20,"target in center of ring"
"Exp1_S11",8,143,200.479137420654,"mid","near","mid",0.625,3,21,"ring obstructs target"
"Exp1_S11",7,79,265.713304042816,"mid","near","mid",1.25,2,22,"target not in center of ring"
"Exp1_S11",5,20,11.1074066162109,"mid","near","mid",5,2,23,"target in center of ring"
"Exp1_S11",5,351,339.074194908142,"mid","near","mid",5,3,24,"target in center of ring"
"Exp1_S11",3,76,68.1707879602909,"mid","mid","mid",1.25,3,25,"target in center of ring"
"Exp1_S11",11,125,131.914963364601,"mid","far","mid",1.25,4,26,"target in center of ring"
"Exp1_S11",9,344,350.952866047621,"mid","far","mid",5,1,27,"target in center of ring"
"Exp1_S11",7,352,231.625200748444,"mid","near","mid",1.25,3,28,"unsure or no ring"
"Exp1_S11",9,78,55.537097454071,"mid","far","mid",5,2,29,"target in center of ring"
"Exp1_S11",13,130,129.586563706398,"mid","no flankers","mid",Inf,3,30,"unsure or no ring"
"Exp1_S11",4,51,1.23414516448975,"mid","mid","mid",0.625,2,31,"unsure or no ring"
"Exp1_S11",13,208,212.493045806885,"mid","no flankers","mid",Inf,4,32,"unsure or no ring"
"Exp1_S11",2,76,88.8593673706055,"mid","mid","mid",2.5,3,33,"unsure or no ring"
"Exp1_S11",10,282,279.578071713448,"mid","far","mid",2.5,3,34,"target not in center of ring"
"Exp1_S11",2,4,3.70247840881348,"mid","mid","mid",2.5,4,35,"target in center of ring"
"Exp1_S11",10,182,173.355481624603,"mid","far","mid",2.5,4,36,"target in center of ring"
"Exp1_S11",13,301,315.80448114872,"mid","no flankers","mid",Inf,5,37,"unsure or no ring"
"Exp1_S11",1,43,46.4489977359772,"mid","mid","mid",5,4,38,"target in center of ring"
"Exp1_S11",11,317,309.633699893951,"mid","far","mid",1.25,5,39,"target in center of ring"
"Exp1_S11",12,31,52.9258050918579,"mid","far","mid",0.625,2,40,"target in center of ring"
"Exp1_S11",7,100,222.008484840393,"mid","near","mid",1.25,4,41,"ring obstructs target"
"Exp1_S11",9,31,54.4435804486275,"mid","far","mid",5,3,42,"target in center of ring"
"Exp1_S11",5,291,223.5811419487,"mid","near","mid",5,4,43,"target in center of ring"
"Exp1_S11",3,194,176.484559178352,"mid","mid","mid",1.25,4,44,"target in center of ring"
"Exp1_S11",6,248,224.616715908051,"mid","near","mid",2.5,1,45,"ring obstructs target"
"Exp1_S11",7,59,42.9837579727173,"mid","near","mid",1.25,5,46,"ring obstructs target"
"Exp1_S11",11,276,73.6584222912788,"mid","far","mid",1.25,6,47,"unsure or no ring"
"Exp1_S11",9,95,85.4683153629303,"mid","far","mid",5,4,48,"target in center of ring"
"Exp1_S11",3,114,132.242646098137,"mid","mid","mid",1.25,5,49,"target in center of ring"
"Exp1_S11",10,181,242.878677845001,"mid","far","mid",2.5,5,50,"ring obstructs target"
