"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_S13",1,180,178.942047119141,"mid","mid","mid",5,1,1,"target in center of ring"
"Exp1_S13",12,50,44.0386388301849,"mid","far","mid",0.625,1,2,"target in center of ring"
"Exp1_S13",8,27,51.8346244096756,"mid","near","mid",0.625,1,3,"target in center of ring"
"Exp1_S13",12,194,225.710963249207,"mid","far","mid",0.625,2,4,"target outside ring"
"Exp1_S13",4,115,78.9860916137695,"mid","mid","mid",0.625,1,5,"target in center of ring"
"Exp1_S13",13,64,54.1213221549988,"mid","no flankers","mid",Inf,1,6,"unsure or no ring"
"Exp1_S13",7,255,221.049460887909,"mid","near","mid",1.25,1,7,"target not in center of ring"
"Exp1_S13",2,196,239.286695957184,"mid","mid","mid",2.5,1,8,"target in center of ring"
"Exp1_S13",6,314,312.102004528046,"mid","near","mid",2.5,1,9,"target in center of ring"
"Exp1_S13",3,149,142.12131947279,"mid","mid","mid",1.25,1,10,"target in center of ring"
"Exp1_S13",1,281,315.360895782709,"mid","mid","mid",5,2,11,"target in center of ring"
"Exp1_S13",8,260,56.1267394423485,"mid","near","mid",0.625,2,12,"target in center of ring"
"Exp1_S13",2,25,42.5649052858353,"mid","mid","mid",2.5,2,13,"target in center of ring"
"Exp1_S13",10,230,220.112839102745,"mid","far","mid",2.5,1,14,"target not in center of ring"
"Exp1_S13",2,221,219.394109725952,"mid","mid","mid",2.5,3,15,"target in center of ring"
"Exp1_S13",7,170,209.806823730469,"mid","near","mid",1.25,2,16,"target in center of ring"
"Exp1_S13",3,163,156.867845058441,"mid","mid","mid",1.25,2,17,"target in center of ring"
"Exp1_S13",3,124,158.799059391022,"mid","mid","mid",1.25,3,18,"target in center of ring"
"Exp1_S13",7,18,31.8678450584412,"mid","near","mid",1.25,3,19,"target in center of ring"
"Exp1_S13",13,201,207.198599815369,"mid","no flankers","mid",Inf,2,20,"unsure or no ring"
"Exp1_S13",6,354,354.063365697861,"mid","near","mid",2.5,2,21,"target not in center of ring"
"Exp1_S13",7,308,303.462902545929,"mid","near","mid",1.25,4,22,"target in center of ring"
"Exp1_S13",7,251,236.410358905792,"mid","near","mid",1.25,5,23,"target in center of ring"
"Exp1_S13",1,162,171.074194908142,"mid","mid","mid",5,3,24,"target in center of ring"
"Exp1_S13",12,209,216.867845058441,"mid","far","mid",0.625,3,25,"target in center of ring"
"Exp1_S13",10,247,226.945122718811,"mid","far","mid",2.5,2,26,"target in center of ring"
"Exp1_S13",12,287,300.994587182999,"mid","far","mid",0.625,4,27,"target outside ring"
"Exp1_S13",11,216,213.369390010834,"mid","far","mid",1.25,1,28,"target in center of ring"
"Exp1_S13",7,296,317.038642406464,"mid","near","mid",1.25,6,29,"target not in center of ring"
"Exp1_S13",7,249,250.394109725952,"mid","near","mid",1.25,7,30,"target in center of ring"
"Exp1_S13",4,271,277.545603752136,"mid","mid","mid",0.625,2,31,"target in center of ring"
"Exp1_S13",7,350,334.316842794418,"mid","near","mid",1.25,8,32,"target in center of ring"
"Exp1_S13",5,112,135.757355690002,"mid","near","mid",5,1,33,"target in center of ring"
"Exp1_S13",8,151,129.132154941559,"mid","near","mid",0.625,3,34,"target in center of ring"
"Exp1_S13",10,27,25.6476011276245,"mid","far","mid",2.5,3,35,"target in center of ring"
"Exp1_S13",11,341,307.57264995575,"mid","far","mid",1.25,2,36,"target outside ring"
"Exp1_S13",5,239,230.713304489851,"mid","near","mid",5,2,37,"target not in center of ring"
"Exp1_S13",12,328,50.6004667282104,"mid","far","mid",0.625,5,38,"target in center of ring"
"Exp1_S13",10,287,325.677739024162,"mid","far","mid",2.5,4,39,"target in center of ring"
"Exp1_S13",2,224,228.098923563957,"mid","mid","mid",2.5,4,40,"target in center of ring"
"Exp1_S13",3,248,225.098921775818,"mid","mid","mid",1.25,4,41,"target in center of ring"
"Exp1_S13",11,110,145.884094238281,"mid","far","mid",1.25,3,42,"target in center of ring"
"Exp1_S13",2,153,164.142951965332,"mid","mid","mid",2.5,5,43,"target in center of ring"
"Exp1_S13",6,292,298.575736284256,"mid","near","mid",2.5,3,44,"target in center of ring"
"Exp1_S13",13,24,50.6004667282104,"mid","no flankers","mid",Inf,3,45,"unsure or no ring"
"Exp1_S13",4,186,177.118254601955,"mid","mid","mid",0.625,3,46,"target in center of ring"
"Exp1_S13",3,300,326.911900281906,"mid","mid","mid",1.25,5,47,"target in center of ring"
"Exp1_S13",11,184,175.030143260956,"mid","far","mid",1.25,4,48,"target in center of ring"
"Exp1_S13",4,17,43.7465229034424,"mid","mid","mid",0.625,4,49,"target in center of ring"
"Exp1_S13",13,150,133.653010368347,"mid","no flankers","mid",Inf,4,50,"unsure or no ring"
"Exp1_S13",8,49,54.3029415607452,"mid","near","mid",0.625,4,51,"target in center of ring"
"Exp1_S13",11,174,206.049460887909,"mid","far","mid",1.25,5,52,"target outside ring"
"Exp1_S13",7,144,143.162298202515,"mid","near","mid",1.25,9,53,"target not in center of ring"
"Exp1_S13",12,329,303.873261451721,"mid","far","mid",0.625,6,54,"target outside ring"
"Exp1_S13",6,322,314.253477096558,"mid","near","mid",2.5,4,55,"target not in center of ring"
"Exp1_S13",10,281,330.614375114441,"mid","far","mid",2.5,5,56,"target not in center of ring"
"Exp1_S13",8,3,341.721788883209,"mid","near","mid",0.625,5,57,"ring obstructs target"
"Exp1_S13",7,333,299.760424137115,"mid","near","mid",1.25,10,58,"target in center of ring"
"Exp1_S13",4,299,317.751932144165,"mid","mid","mid",0.625,5,59,"target in center of ring"
